Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_isolation_forest,anomaly_vote_count
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,0.624590902139957,5
1554,2d89d03f-edc5-3c16-9b5c-c182f7493060,9.253941176470589,0.7647058823529411,17.0,9440,default,2.0,1.0,13.0,F,outlier,0.6232658595123614,2
1238,a45d01bf-d3d2-3151-9d8c-600edee2a287,45.74734782608696,0.5217391304347826,23.0,63132,default,2.0,1.0,12.0,E,outlier,0.6147867852861391,2
1689,66c6e740-0b41-3402-9ee4-b0e181bf9ba3,0.0793333333333333,0.6666666666666666,3.0,15,datacenter,2.0,1.0,2.0,F,outlier,0.6143353113804603,3
1555,8f8b1e7f-1e9a-3c9c-9ca2-b6b3d5ff63e6,7.797227272727273,0.8181818181818182,11.0,5147,default,2.0,1.0,9.0,F,outlier,0.6132967822600524,2
1538,b497f68a-657d-3d72-8b87-3461d13573a4,4.76825,1.0,2.0,573,default,2.0,1.0,2.0,F,outlier,0.6069226837035283,3
1209,19d60885-2ef2-3629-85d5-bb196ffa2ee8,46.98109090909091,0.4090909090909091,22.0,62016,default,2.0,1.0,9.0,E,outlier,0.6009150208948884,2
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,0.60069188040903,5
1365,827b8eff-9ca2-3f56-8269-eff6ae25c42f,0.309114006514658,0.1498371335504886,614.0,11388,datacenter,3.0,1.0,92.0,E,outlier,0.5999882377853615,4
1233,2b0f40be-ab62-3ef1-b5c8-fdc72f9d1458,10.25305,0.2666666666666666,270.0,166100,default,2.0,1.0,72.0,E,outlier,0.5992691888853244,3
101,1f82b7eb-3bad-3fdd-91a4-9bb4ae7d4686,5.9494309838472834e-05,0.0025353340675477,15.686161597984524,312,default,6024.0,5557.0,221.0,E,normal,0.5963521159619894,5
