Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_hbos,anomaly_vote_count
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,0.7576578272763159,6
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,0.7576578272763159,5
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,0.7563113721403283,5
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,0.7563113721403283,5
206,b427b6cb-2e15-3767-a499-b4870fd2f10a,8.060268799841006e-05,0.0034531587707748,17.68585237258348,390,default,5097.0,4552.0,278.0,E,normal,0.7563113721403283,3
381,f8b3a76e-2948-3252-b85e-fa99951ba0da,0.0007873606564795,0.0019836181798983,30.500575109270763,6264,default,5106.0,4347.0,263.0,E,normal,0.7563113721403283,4
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,0.7563113721403283,5
583,429f155a-1c58-3437-b1f5-8538e06e8170,0.0009740273525209,0.002212696468667,28.871994342291373,7158,default,4906.0,4242.0,271.0,E,normal,0.7563113721403283,4
418,c6ad5186-3fa2-338c-a45e-4cd375a85118,8.134200196270854e-05,0.0031157998037291,15.764842390253335,398,default,5576.0,5171.0,254.0,E,normal,0.7556456443746866,4
295,4a100b7d-885d-354c-9500-85e37f106f87,0.0008980619711364,0.0024566563058581,30.22059606173497,6120,default,4430.0,3758.0,279.0,E,normal,0.755033943652103,3
254,ac6e2c42-460a-30c1-ba92-a5fd2102dbca,0.0008931685283098,0.0026611576035575,30.317409766454357,6122,default,4615.0,3768.0,304.0,E,normal,0.755033943652103,3
398,c7865e57-ad1f-3be7-a51c-67a61230577e,0.0009034234069746,0.0025013693627898,28.73557187827912,5938,default,4553.0,3812.0,274.0,E,normal,0.755033943652103,3
321,4862b58d-5b2b-3a3e-b917-ad4e7d24758c,0.0008935898612513,0.0025613856512343,29.44166052566937,6427,default,4749.0,4071.0,307.0,E,normal,0.7550339406948039,4
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,0.7550339406948039,5
1585,290fe43b-8b93-3049-935e-53589639e529,1.448434599156118,0.2531645569620253,237.0,20597,datacenter,2.0,1.0,60.0,E,outlier,0.7545695632565168,1
268,c52eac81-cb43-3e8b-8ceb-bd8727167eb5,0.0010475375724823,0.0026527553153721,31.355596784168213,6374,default,3765.0,3234.0,269.0,E,normal,0.7543992175522112,2
365,5a192abe-adff-30ed-8644-74e257706692,0.0008846545683055,0.0025231366873595,31.258333333333333,5575,default,3999.0,3360.0,265.0,E,normal,0.7543992175522112,2
166,d94602ce-8c8b-3cc3-ba30-ee2848967193,7.316289653326194e-05,0.0028510239593093,16.822787660436838,328,default,4890.0,4441.0,213.0,E,normal,0.7543574224475489,3
327,ab50a726-f316-36f9-8bf0-84522255a4d9,0.0010549088068209,0.0024691119877315,30.061177152797917,6563,default,3968.0,3449.0,256.0,E,normal,0.7530799939593238,2
195,33f1ff34-282f-3722-838b-2da79297a581,0.0009452799412796,0.0020796803001264,29.688861985472155,6955,default,4862.0,4130.0,255.0,E,normal,0.7530799910020243,4
310,28660e09-7e96-3a2d-89d7-a90b36e6e9b0,0.0007625546889861,0.0020448925242533,30.76517922457937,5773,default,5134.0,4101.0,258.0,E,normal,0.7530799910020243,4
160,d4da3385-5626-3728-a524-1be862cbb118,0.0010539198924667,0.0028062397566353,27.59876342336479,5364,default,3575.0,3073.0,238.0,E,normal,0.7456603918581275,2
422,4a1bc462-0be4-33fc-a2a8-c94ee65e3a29,0.0014155185238639,0.0028088328355889,32.38870909744696,7650,default,3295.0,2781.0,253.0,E,normal,0.7456603918581275,2
474,8f91f452-03ef-3469-8660-e0877282a6c7,0.001227755440679,0.0027315080732656,29.552998868351565,5772,default,3117.0,2651.0,214.0,E,normal,0.7456603918581275,1
432,ab42aa51-6f81-333b-ba7e-cd5d64a45244,0.0010209334286185,0.0028255730855917,28.65626969124133,5572,default,3711.0,3174.0,257.0,E,normal,0.7456603918581275,2
523,02f1356d-6319-3be9-a183-27f1dff739ef,0.0014752482734284,0.0026843776780763,30.8147572815534,7024,default,3017.0,2575.0,213.0,E,normal,0.7456603918581275,1
269,e2e6f20a-0f19-340a-baeb-8c61fa4da5d3,0.002034318655269,0.004256159758638,31.58479863868406,6797,default,2122.0,1763.0,237.0,E,normal,0.7389994034952738,1
404,df00ca60-d1f0-34dd-8155-025b87707dc8,0.0014088716014458,0.0038189533239038,28.93587994542974,5379,default,2505.0,2199.0,243.0,E,normal,0.7389994034952738,1
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,0.7302729642258323,5
290,56ec9d87-951d-3b84-8b7c-29207480e443,7.937681976143515e-05,0.002195454118531,15.424846070264396,406,default,5886.0,5522.0,187.0,E,normal,0.7299492023392082,4
517,549839ff-b2af-326a-8d62-e2bdc746803c,8.447219887114208e-05,0.0024378527681037,15.270493306436824,423,default,5880.0,5453.0,203.0,E,normal,0.7299492023392082,3
519,bd8e10d5-b814-3192-8897-0c2e750aeaee,3.231435403606282e-06,0.0109868803722613,8.278758694489031,3,default,6065.0,1869.0,170.0,E,normal,0.7277019049232889,4
185,f35810c4-e428-3894-9a1d-d51e0e29c59b,5.950166857926741e-05,0.0023083112394971,14.90621313409359,271,default,5513.0,5086.0,175.0,E,normal,0.7249714268908272,3
326,9b24d9c6-42d4-300f-9fcf-3d1f42baa49a,8.983481766758935e-05,0.0030840052954627,14.877350044762755,359,default,4799.0,4468.0,205.0,E,normal,0.7236832049636897,3
1564,5c72a3f4-3e96-38ba-a56f-eeda710f52d8,0.0018571428571428,0.8571428571428571,7.0,1,datacenter,7.0,1.0,6.0,E,outlier,0.7226907870166688,2
575,1551e943-4cba-3a23-b608-5f27bf680152,9.21001521380248e-05,0.0029294662221215,15.571068548387096,342,default,4250.0,3968.0,181.0,E,normal,0.7224057764754643,3
553,0f78b45f-48be-3399-bfc9-29cb7af8772c,6.906012947653462e-05,0.003371411150763,15.873327640193567,232,default,3857.0,3513.0,188.0,E,normal,0.7224057764754643,3
875,9674f6c1-b236-35eb-9b44-3698d85e85f2,0.0001141803387768,0.0031748445847037,15.31770529994176,361,default,3732.0,3434.0,167.0,E,normal,0.7224057764754643,2
193,10934e63-2f6e-391e-a870-bdbc5b494f6e,8.468588397931494e-05,0.0027989691601385,15.066340961686809,298,default,4208.0,3889.0,164.0,E,normal,0.7224057764754643,3
25,1e1ef442-ec30-3853-8da4-80e9344746d6,0.0012406642161453,0.0022593182243865,28.50316983650317,6359,default,3510.0,2997.0,193.0,E,normal,0.714986174374268,2
687,810a4856-ba10-3ab1-8b62-3e1a0638c83f,8.110454301186391e-05,0.0040510933818362,16.805140673845084,236,default,3217.0,2879.0,196.0,E,normal,0.714986174374268,1
508,366f3b54-dde7-3436-82b7-5d0f70ac0bae,0.0011945881514432,0.0025560047679319,28.83664068036853,5833,default,3349.0,2822.0,208.0,E,normal,0.714986174374268,2
758,298ae519-c652-3a11-b168-5a2ed663e702,9.519876097057305e-05,0.0040784718637067,14.99806426635695,222,default,2814.0,2583.0,158.0,E,normal,0.714986174374268,1
542,82140914-334a-39e4-b4e8-0f6c048b4079,0.0011470083073363,0.0023251194690782,30.04106704106704,5891,default,3312.0,2849.0,199.0,E,normal,0.714986174374268,1
1424,3fe80bde-95c1-3f11-a834-c4e53b407349,3.076923076923077e-05,0.378021978021978,455.0,1,default,350.0,1.0,172.0,E,outlier,0.7109935659015785,2
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,0.7089196024303095,4
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,0.7089196024303095,3
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,0.7089196024303095,3
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,0.7089196024303095,3
80,45f01370-2f35-30d2-8315-05ad09a08579,0.0001370687132125,0.0060485837858931,16.84986301369863,253,default,1995.0,1825.0,186.0,E,normal,0.7083251860114146,1
218,3f76358f-35dd-3bee-b76f-484b9019132a,0.0016827816696441,0.0033922800537947,27.677222222222223,5031,default,2067.0,1800.0,169.0,E,normal,0.7083251860114146,1
267,9c62989e-eadb-3538-8361-7059cf060b83,0.0001133932016697,0.0059283684709018,15.68041804180418,194,default,2001.0,1818.0,169.0,E,normal,0.7083251860114146,1
410,1bb62bc1-3259-39ec-a307-2ba0dfd8234a,0.0001181815428415,0.0049065632855801,15.180229885057472,235,default,2381.0,2175.0,162.0,E,normal,0.7083251860114146,1
635,9ab7feb2-ade4-3038-85fd-bbfde7a87a92,0.0016237016564605,0.0034502068317708,28.668565510098396,5394,default,2220.0,1931.0,191.0,E,normal,0.7083251860114146,1
641,074e10a4-6513-333a-a925-c88a19f5f66e,0.0012945414995581,0.0030249473183332,26.351992834751456,4571,default,2612.0,2233.0,178.0,E,normal,0.7083251860114146,1
668,e3d15762-9f64-33f5-b6ed-79963697b08f,0.0015786555521566,0.0042635362496176,32.029393753827314,4955,default,2093.0,1633.0,223.0,E,normal,0.7043661147986033,1
