Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_isolation_forest,anomaly_vote_count
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,265,1312,0.0187535734705546,93,84,73,0.8476184553150334,5
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,287,1291,0.015728174264759632,84,78,69,0.8448028335465948,5
70,9ace1862-8306-3df1-99f3-42c47eaa0b98,0.0016984406510069,0.0056806884994461,91.9242819843342,7176,default,867.0,766.0,400.0,E,normal,396,2367,0.015132336018411968,113,132,101,0.8413913115189227,5
30,a966db41-094d-3bd0-8b5a-b2a0efa33754,0.0024981281737647,0.0079320953334074,102.58174904942966,8088,default,604.0,526.0,428.0,E,normal,424,2271,0.01266225076943664,113,126,101,0.8352830575065238,5
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,1,1,0.0,1,1,1,0.8318041883090148,4
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,280,1310,0.016769073220686125,90,67,72,0.831523542081563,5
172,8a989644-d121-315b-8206-deae986adcdd,0.0013581131426606,0.0060468848512638,81.91079812206573,5687,default,931.0,852.0,422.0,E,normal,416,2396,0.013878591288229842,122,130,110,0.8288162910860957,5
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,267,1289,0.018149305848891892,87,69,69,0.8284036835562838,5
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,265,1238,0.017695826186392222,82,70,76,0.8238588155544122,5
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,265,1314,0.018782161234991424,78,63,74,0.8193118465427832,5
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,249,1116,0.018072289156626505,76,63,63,0.8072413868250559,5
1693,d8ac0f74-473a-32c2-b79f-d00d051ddd80,159.78385714285713,0.3571428571428571,14.0,134219,datacenter,2.0,1.0,5.0,F,outlier,5,6,0.3,2,2,3,0.7844984299934575,2
132,f06fbc92-2a0e-3a73-9b74-90daae4334e3,0.0030679652407539,0.0082700138533226,99.25416666666666,8770,default,549.0,480.0,394.0,E,normal,391,2100,0.013771394845563643,106,121,91,0.7827179036961147,5
137,5558267a-be79-3af7-b980-2c16cfda42d0,0.0014038182239154,0.0086720410869519,79.44648829431438,4002,default,676.0,598.0,412.0,E,normal,410,2104,0.012546961655435625,119,119,99,0.782526782507153,5
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,262,1136,0.01661255886051885,66,70,72,0.7807757415831409,5
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,319,1572,0.015496539894718164,97,80,74,0.7713655447012202,5
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,225,1007,0.01998015873015873,62,60,56,0.767234944764247,5
6,886654dc-3acf-3d11-9da7-2380dbe5b11d,0.0047980674746151,0.012119226989846,100.09836065573772,8790,default,342.0,305.0,370.0,E,normal,369,1809,0.01332184517497349,98,97,93,0.7551063916552672,5
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,222,1084,0.022094492682727975,71,60,61,0.7510984470428953,4
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,268,1122,0.015680026832131478,69,60,68,0.7397449833365656,5
1694,3653d165-4b93-346b-9543-f1d4f5bf4831,45.603433333333335,0.8,15.0,41044,datacenter,2.0,1.0,12.0,F,outlier,12,12,0.09090909090909091,2,2,1,0.7359978164257269,1
1696,0ecdc692-df55-3990-815e-a30f1ee63f5f,59.243,0.8,5.0,17773,datacenter,3.0,1.0,4.0,F,outlier,4,3,0.25,1,1,2,0.7319551447883212,1
603,ffbf4937-68e6-3d12-b817-dd3c5c14a782,6.58922914466737e-05,0.002463921154523,16.542172683413742,394,default,6842.0,6011.0,245.0,E,normal,238,1165,0.020653831152714252,82,63,81,0.7311740914300717,4
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,230,1035,0.019650655021834062,67,53,66,0.729992924012189,4
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,260,1431,0.021250371250371252,85,76,71,0.7182868331054788,5
145,93ab48e1-669b-3925-b50e-e266897b0b5c,0.0023391715073637,0.0107962213225371,84.58064516129032,4784,default,449.0,403.0,368.0,E,normal,366,1775,0.013286922673852833,107,82,92,0.7156641977294366,4
1698,2854b436-7d8b-3f2c-8139-3340ad2cd45a,66.93485714285714,0.4285714285714285,7.0,28113,datacenter,3.0,1.0,3.0,F,outlier,3,3,0.5,1,2,2,0.713177672580576,1
170,f4c0b94b-7954-3934-8b81-d5c7e278e9fd,0.0052085911513287,0.0132336635788118,102.41391941391942,8738,default,301.0,273.0,370.0,E,normal,366,1749,0.013092297327644284,92,90,84,0.7109745451137974,4
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,284,1465,0.018227741004329865,84,67,78,0.7109293215716508,5
149,0365c7d9-f00a-36ab-8eed-d669e4aedbea,0.0013453185800308,0.0083476446164213,78.36626916524702,3714,default,665.0,587.0,384.0,E,normal,381,1876,0.012957590827462357,86,100,92,0.7084378145467943,4
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,276,1380,0.01818181818181818,83,69,69,0.6993789599523946,5
100,0c7a6b93-222a-361a-aa9f-1f76800ede85,0.000952355646595,0.0068408440905928,68.54039735099337,2957,default,833.0,755.0,354.0,E,normal,353,1893,0.015234676796291527,88,97,94,0.6993260208262546,4
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,286,1498,0.01837811311495522,84,73,79,0.6950817986756467,5
1666,d735b3d8-2d08-3d97-94f0-6712201696c1,0.003342287694974,0.0363951473136915,2308.0,463,datacenter,170.0,1.0,84.0,E,outlier,82,288,0.04336043360433604,37,23,17,0.6871969875664153,2
2,7e5838fc-bce1-371f-a3ac-d8a0b2a05d9a,0.0044809964936582,0.0153240119475347,99.57327586206895,6211,default,255.0,232.0,354.0,E,normal,354,1589,0.012715865623149438,79,93,67,0.6839525382774517,4
1602,0274e020-cf32-34dc-9bd9-521dca48e532,0.0033227659574468,0.0357446808510638,2350.0,469,datacenter,176.0,1.0,84.0,E,outlier,82,292,0.04396266184884071,38,26,17,0.6807038579251398,2
1596,6267c784-baa1-3a82-aeb5-bf74ee70e979,0.0033930514859773,0.0351611552951025,2389.0,487,datacenter,183.0,1.0,84.0,E,outlier,82,319,0.04802770249924721,30,34,20,0.6751393381350095,2
332,e6edb227-731e-3e81-a565-34c7bc2c3626,0.0010168194695398,0.0077182181177362,67.81996974281392,2735,default,738.0,661.0,346.0,E,normal,344,1699,0.014399281307207268,96,89,83,0.6716124952795329,4
124,d30a052d-dca2-3387-a0a2-d49f53bea098,0.0046187072359619,0.01334046863652,96.18014705882354,7250,default,308.0,272.0,349.0,E,normal,348,1621,0.013423763622511511,93,86,84,0.6706488039347509,4
1633,83d6afd0-ea25-33e8-8cb3-7ec8ce294039,0.0037791912766924,0.0381644706951385,2201.0,500,datacenter,167.0,1.0,84.0,E,outlier,82,280,0.04215597711532671,36,25,15,0.6699977449097432,2
1626,e3af9271-2a84-3ca7-80eb-f426b97f23f7,0.0053905508072174,0.0384615384615384,2106.0,682,datacenter,154.0,1.0,81.0,E,outlier,79,264,0.042843232716650435,33,27,13,0.6569620549217541,2
254,ac6e2c42-460a-30c1-ba92-a5fd2102dbca,0.0008931685283098,0.0026611576035575,30.317409766454357,6122,default,4615.0,3768.0,304.0,E,normal,280,1376,0.017613927291346646,83,70,73,0.6528124388185707,5
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,235,1022,0.018585197308601562,58,59,55,0.6525927866956623,4
321,4862b58d-5b2b-3a3e-b917-ad4e7d24758c,0.0008935898612513,0.0025613856512343,29.44166052566937,6427,default,4749.0,4071.0,307.0,E,normal,284,1317,0.01638630368785149,83,66,63,0.6519568967263077,4
243,8aed7a21-4002-3a0c-94de-4b0be8139189,0.0085211795151184,0.022745845818578,77.6931216931217,7508,default,204.0,189.0,334.0,E,normal,331,1363,0.012478256889133022,93,84,63,0.6517829319898423,4
381,f8b3a76e-2948-3252-b85e-fa99951ba0da,0.0007873606564795,0.0019836181798983,30.500575109270763,6264,default,5106.0,4347.0,263.0,E,normal,240,1351,0.02355299860529986,69,82,69,0.6413839578870596,4
206,b427b6cb-2e15-3767-a499-b4870fd2f10a,8.060268799841006e-05,0.0034531587707748,17.68585237258348,390,default,5097.0,4552.0,278.0,E,normal,271,1172,0.016017493508268418,80,70,60,0.6363647264509533,4
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,25,88,0.14666666666666667,14,11,3,0.6351649466773196,2
662,941a563b-a45d-333f-864c-416085626953,4.774875903688904e-05,0.0022038680974645,15.90011462256427,279,default,6842.0,6107.0,214.0,E,normal,196,868,0.02271062271062271,54,51,62,0.6346345808183179,4
583,429f155a-1c58-3437-b1f5-8538e06e8170,0.0009740273525209,0.002212696468667,28.871994342291373,7158,default,4906.0,4242.0,271.0,E,normal,250,1261,0.0202570281124498,75,71,63,0.6343080743870951,4
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,29,107,0.13177339901477833,17,13,4,0.6335571221548439,2
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,195,886,0.023420565688606926,53,53,46,0.6321290772845979,4
195,33f1ff34-282f-3722-838b-2da79297a581,0.0009452799412796,0.0020796803001264,29.688861985472155,6955,default,4862.0,4130.0,255.0,E,normal,231,1271,0.023922454357236965,77,68,72,0.619945107901234,4
310,28660e09-7e96-3a2d-89d7-a90b36e6e9b0,0.0007625546889861,0.0020448925242533,30.76517922457937,5773,default,5134.0,4101.0,258.0,E,normal,236,1318,0.023764875586007934,77,59,78,0.6198782096134599,4
418,c6ad5186-3fa2-338c-a45e-4cd375a85118,8.134200196270854e-05,0.0031157998037291,15.764842390253335,398,default,5576.0,5171.0,254.0,E,normal,242,1004,0.017214773155927437,70,60,54,0.616042206035373,4
295,4a100b7d-885d-354c-9500-85e37f106f87,0.0008980619711364,0.0024566563058581,30.22059606173497,6120,default,4430.0,3758.0,279.0,E,normal,257,1295,0.019683244163424124,81,72,63,0.6115932839315488,4
1697,468a84b3-2885-30d6-b1a8-6cf2e44577cd,0.754,0.6666666666666666,3.0,136,datacenter,2.0,1.0,2.0,F,outlier,2,2,1.0,1,1,2,0.6100001996565213,2
89,91d013a0-e8cd-3385-98dd-3a85abb1fa92,0.0016362967730072,0.0148478440746529,66.12158054711246,2136,default,366.0,329.0,323.0,E,normal,321,1451,0.014125778816199377,81,84,73,0.6089210668823042,4
84,5d0c46cd-c453-37d1-ae96-a4163dfb9069,0.0019899827829081,0.0129519486617624,68.14933333333333,3052,default,409.0,375.0,331.0,E,normal,330,1366,0.012581744496638113,91,74,67,0.6083262578656022,4
398,c7865e57-ad1f-3be7-a51c-67a61230577e,0.0009034234069746,0.0025013693627898,28.73557187827912,5938,default,4553.0,3812.0,274.0,E,normal,255,1272,0.019638721630384437,72,63,68,0.6039746919627884,4
422,4a1bc462-0be4-33fc-a2a8-c94ee65e3a29,0.0014155185238639,0.0028088328355889,32.38870909744696,7650,default,3295.0,2781.0,253.0,E,normal,243,1280,0.02176648641295106,80,65,73,0.5954806050092943,4
268,c52eac81-cb43-3e8b-8ceb-bd8727167eb5,0.0010475375724823,0.0026527553153721,31.355596784168213,6374,default,3765.0,3234.0,269.0,E,normal,254,1323,0.020587594534872865,77,68,70,0.5916541575432951,4
1532,6bed6a43-8511-30c8-b660-1cff60423667,84.04507407407408,0.2777777777777778,54.0,272307,default,2.0,1.0,15.0,E,outlier,15,24,0.11428571428571428,6,6,1,0.5854505225377228,2
280,b95d425f-632b-3f1e-8cda-b7bf0b5c555f,0.0153030102859299,0.0273662357270925,88.30833333333334,9730,default,133.0,120.0,290.0,E,normal,290,1109,0.013232311180050114,84,77,46,0.5827198606768513,2
432,ab42aa51-6f81-333b-ba7e-cd5d64a45244,0.0010209334286185,0.0028255730855917,28.65626969124133,5572,default,3711.0,3174.0,257.0,E,normal,242,1234,0.021158396488460615,75,62,72,0.5774719284008155,4
1689,66c6e740-0b41-3402-9ee4-b0e181bf9ba3,0.0793333333333333,0.6666666666666666,3.0,15,datacenter,2.0,1.0,2.0,F,outlier,2,2,1.0,1,1,2,0.575930896910373,2
327,ab50a726-f316-36f9-8bf0-84522255a4d9,0.0010549088068209,0.0024691119877315,30.061177152797917,6563,default,3968.0,3449.0,256.0,E,normal,238,1199,0.02125660390738574,75,65,68,0.5736151204429234,4
517,549839ff-b2af-326a-8d62-e2bdc746803c,8.447219887114208e-05,0.0024378527681037,15.270493306436824,423,default,5880.0,5453.0,203.0,E,normal,184,791,0.023491328106438582,51,55,56,0.5725744980263361,4
228,5c0cbfaa-9448-3ead-a0bb-ad8e2a240290,0.0080436604323536,0.0180349769249453,103.57232704402516,7948,default,188.0,159.0,297.0,E,normal,296,1301,0.014899221255153458,71,76,71,0.5720381717555555,3
425,33e6999c-6329-3c7b-8652-77f76b572821,0.0020369776609724,0.0161892247043364,62.377049180327866,2326,default,338.0,305.0,308.0,E,normal,307,1202,0.012795128909327031,75,80,60,0.5624484739867871,3
101,1f82b7eb-3bad-3fdd-91a4-9bb4ae7d4686,5.9494309838472834e-05,0.0025353340675477,15.686161597984524,312,default,6024.0,5557.0,221.0,E,normal,217,915,0.019521249359959036,59,45,47,0.5606571245736749,4
365,5a192abe-adff-30ed-8644-74e257706692,0.0008846545683055,0.0025231366873595,31.258333333333333,5575,default,3999.0,3360.0,265.0,E,normal,253,1237,0.019402095489052012,73,60,59,0.5604923617391765,4
1691,9f51e315-1a53-3118-8d5d-5c6e45b81dab,0.287,1.0,2.0,35,datacenter,2.0,1.0,2.0,F,outlier,2,1,0.5,1,1,0,0.5588154332167933,1
1538,b497f68a-657d-3d72-8b87-3461d13573a4,4.76825,1.0,2.0,573,default,2.0,1.0,2.0,F,outlier,2,2,1.0,1,1,2,0.5572386409220789,1
333,21c01ca8-b9f9-3f75-9512-b86180ea8fe4,0.001977637678472,0.0109030224364917,76.82336182336182,3200,default,387.0,351.0,294.0,E,normal,293,1426,0.016667445883398007,80,81,61,0.5544605250347341,3
290,56ec9d87-951d-3b84-8b7c-29207480e443,7.937681976143515e-05,0.002195454118531,15.424846070264396,406,default,5886.0,5522.0,187.0,E,normal,172,803,0.027301781585747312,57,53,48,0.5357662377983179,4
1369,2a0e5f64-7376-3236-a55f-a72d0d15a68d,81.1654117647059,0.5882352941176471,17.0,82789,default,2.0,1.0,10.0,E,outlier,10,12,0.13333333333333333,2,2,0,0.5351779225021546,1
437,0d5906fb-0aa9-3f32-9c37-8b09c266e270,0.0105028357235984,0.016818774445893,100.26143790849672,9667,default,170.0,153.0,258.0,E,normal,258,1173,0.017690706723373452,72,64,63,0.5315813384248177,1
1283,a56fd266-8a26-3ddf-9709-915dfb33884d,19.12683333333333,0.6666666666666666,3.0,3443,default,2.0,1.0,2.0,E,outlier,2,2,1.0,1,2,1,0.5218365266353795,1
353,e2f9de98-0509-32d6-b995-2268d0bbd354,0.0110985548935004,0.0197246763920279,97.34,9723,default,172.0,150.0,288.0,E,normal,285,1096,0.01354089448974549,78,69,48,0.5178747546509771,1
166,d94602ce-8c8b-3cc3-ba30-ee2848967193,7.316289653326194e-05,0.0028510239593093,16.822787660436838,328,default,4890.0,4441.0,213.0,E,normal,206,908,0.021501302391664694,59,56,49,0.5147478309458018,4
393,da4c951b-0bc0-34bc-bfc5-4fedaf228c15,0.0090213669012551,0.021765943553653,90.08496732026144,7461,default,176.0,153.0,300.0,E,normal,298,1195,0.013501909475063837,75,67,57,0.5133475564990856,1
1690,f41ffc10-2fd6-3675-9f9b-2f81959c783b,1.3799230769230768,0.7692307692307693,13.0,1077,datacenter,3.0,1.0,10.0,F,outlier,10,10,0.1111111111111111,2,2,2,0.510160845687568,1
185,f35810c4-e428-3894-9a1d-d51e0e29c59b,5.950166857926741e-05,0.0023083112394971,14.90621313409359,271,default,5513.0,5086.0,175.0,E,normal,166,736,0.026871120847024463,53,47,48,0.5040962308926378,4
160,d4da3385-5626-3728-a524-1be862cbb118,0.0010539198924667,0.0028062397566353,27.59876342336479,5364,default,3575.0,3073.0,238.0,E,normal,223,1099,0.022199329374217265,78,57,51,0.5008951794260059,4
274,51d4268f-832c-3121-a949-76a74132d864,0.0084214316330904,0.0252036005143591,81.00694444444444,5895,default,163.0,144.0,294.0,E,normal,292,1088,0.012804217860000942,75,68,51,0.4986620903630462,1
285,6b37637c-d364-3d8f-9fb1-32c749ce7862,0.0142923011393887,0.0300287509317431,87.76635514018692,8054,default,114.0,107.0,282.0,E,normal,280,1019,0.013044034818228366,74,58,46,0.4982317962485425,1
314,59a3333b-8c27-37dc-a792-67a666d30182,0.0082378802132329,0.0077767325180307,91.90201729106629,15763,default,370.0,347.0,248.0,E,normal,248,1171,0.019116494710722215,66,70,59,0.49779301459675296,2
25,1e1ef442-ec30-3853-8da4-80e9344746d6,0.0012406642161453,0.0022593182243865,28.50316983650317,6359,default,3510.0,2997.0,193.0,E,normal,179,973,0.030537944887326595,59,48,62,0.4971090940628148,3
523,02f1356d-6319-3be9-a183-27f1dff739ef,0.0014752482734284,0.0026843776780763,30.8147572815534,7024,default,3017.0,2575.0,213.0,E,normal,203,1152,0.028093449739062575,61,60,56,0.4949428200757213,3
508,366f3b54-dde7-3436-82b7-5d0f70ac0bae,0.0011945881514432,0.0025560047679319,28.83664068036853,5833,default,3349.0,2822.0,208.0,E,normal,200,1009,0.02535175879396985,64,58,57,0.49371221383959296,3
1550,cb33922e-97e1-3de1-8780-dd8318e283a1,2.40195,0.2,10.0,1442,default,10.0,1.0,2.0,F,outlier,2,2,1.0,1,1,2,0.4933950104008802,1
1502,61fe9fed-b843-3337-a19d-9e32d32c8243,48.83175,1.0,6.0,17580,default,2.0,1.0,6.0,E,outlier,6,4,0.13333333333333333,1,1,0,0.4915010628322435,1
326,9b24d9c6-42d4-300f-9fcf-3d1f42baa49a,8.983481766758935e-05,0.0030840052954627,14.877350044762755,359,default,4799.0,4468.0,205.0,E,normal,197,842,0.02180669222003522,58,46,52,0.48959007045024083,4
1546,cb6350fb-48b9-3f3d-b96a-67a9c54ba787,0.011,1.0,2.0,2,default,2.0,1.0,2.0,F,outlier,2,2,1.0,1,1,2,0.488888944744297,1
1365,827b8eff-9ca2-3f56-8269-eff6ae25c42f,0.309114006514658,0.1498371335504886,614.0,11388,datacenter,3.0,1.0,92.0,E,outlier,92,240,0.02866698518872432,32,20,7,0.4885087221649137,1
404,df00ca60-d1f0-34dd-8155-025b87707dc8,0.0014088716014458,0.0038189533239038,28.93587994542974,5379,default,2505.0,2199.0,243.0,E,normal,224,1124,0.022501601537475976,71,60,57,0.48681096161125065,3
703,ec33a2f6-643c-34cb-bdc9-e5b69df80746,0.0071541654939487,0.0201942020827469,94.74666666666668,6101,default,174.0,150.0,287.0,E,normal,285,1103,0.013627378304917222,68,62,53,0.48336473918451356,1
