Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_ecod,anomaly_vote_count
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,319,1572,0.015496539894718164,97,80,74,0.6439413910257286,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,265,1312,0.0187535734705546,93,84,73,0.6431129180542813,5
113,6cd9d528-f610-38c0-8abf-c0b0dfc93c61,0.0010156193721774,0.0062200426675532,82.02954545454546,4399,default,976.0,880.0,449.0,E,normal,445,2447,0.012384856766879239,118,132,109,0.6398009005295595,5
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,249,1116,0.018072289156626505,76,63,63,0.639169935138047,5
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,265,1238,0.017695826186392222,82,70,76,0.6387319397229413,5
108,77733e8d-0dfe-30be-8abc-d5a290565272,0.0014914648953646,0.0063138347260909,93.21571238348868,6265,default,861.0,751.0,442.0,E,normal,436,2536,0.01337129600337446,126,131,114,0.6379994759989155,5
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,225,1007,0.01998015873015873,62,60,56,0.6342677449138204,5
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,280,1310,0.016769073220686125,90,67,72,0.6328997015364309,5
30,a966db41-094d-3bd0-8b5a-b2a0efa33754,0.0024981281737647,0.0079320953334074,102.58174904942966,8088,default,604.0,526.0,428.0,E,normal,424,2271,0.01266225076943664,113,126,101,0.626046610319988,5
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,284,1465,0.018227741004329865,84,67,78,0.6231159091033585,5
70,9ace1862-8306-3df1-99f3-42c47eaa0b98,0.0016984406510069,0.0056806884994461,91.9242819843342,7176,default,867.0,766.0,400.0,E,normal,396,2367,0.015132336018411968,113,132,101,0.6164693446221262,5
172,8a989644-d121-315b-8206-deae986adcdd,0.0013581131426606,0.0060468848512638,81.91079812206573,5687,default,931.0,852.0,422.0,E,normal,416,2396,0.013878591288229842,122,130,110,0.6103957468691807,5
6,886654dc-3acf-3d11-9da7-2380dbe5b11d,0.0047980674746151,0.012119226989846,100.09836065573772,8790,default,342.0,305.0,370.0,E,normal,369,1809,0.01332184517497349,98,97,93,0.6023166928539272,5
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,286,1498,0.01837811311495522,84,73,79,0.5983875552490774,5
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,262,1136,0.01661255886051885,66,70,72,0.5963200177811169,5
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,260,1431,0.021250371250371252,85,76,71,0.5843111805603952,5
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,276,1380,0.01818181818181818,83,69,69,0.5825932517993326,5
137,5558267a-be79-3af7-b980-2c16cfda42d0,0.0014038182239154,0.0086720410869519,79.44648829431438,4002,default,676.0,598.0,412.0,E,normal,410,2104,0.012546961655435625,119,119,99,0.5795230888593541,5
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,268,1122,0.015680026832131478,69,60,68,0.5746888990054919,5
132,f06fbc92-2a0e-3a73-9b74-90daae4334e3,0.0030679652407539,0.0082700138533226,99.25416666666666,8770,default,549.0,480.0,394.0,E,normal,391,2100,0.013771394845563643,106,121,91,0.5689953676229633,5
254,ac6e2c42-460a-30c1-ba92-a5fd2102dbca,0.0008931685283098,0.0026611576035575,30.317409766454357,6122,default,4615.0,3768.0,304.0,E,normal,280,1376,0.017613927291346646,83,70,73,0.5689272560159074,5
