Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_hbos,anomaly_vote_count
254,ac6e2c42-460a-30c1-ba92-a5fd2102dbca,0.0008931685283098,0.0026611576035575,30.317409766454357,6122,default,4615.0,3768.0,304.0,E,normal,280,1376,0.017613927291346646,83,70,73,0.9423507215420817,5
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,286,1498,0.01837811311495522,84,73,79,0.9423507205275612,5
381,f8b3a76e-2948-3252-b85e-fa99951ba0da,0.0007873606564795,0.0019836181798983,30.500575109270763,6264,default,5106.0,4347.0,263.0,E,normal,240,1351,0.02355299860529986,69,82,69,0.9406250323927752,4
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,276,1380,0.01818181818181818,83,69,69,0.9386331946183655,5
321,4862b58d-5b2b-3a3e-b917-ad4e7d24758c,0.0008935898612513,0.0025613856512343,29.44166052566937,6427,default,4749.0,4071.0,307.0,E,normal,284,1317,0.01638630368785149,83,66,63,0.9381489510294052,4
268,c52eac81-cb43-3e8b-8ceb-bd8727167eb5,0.0010475375724823,0.0026527553153721,31.355596784168213,6374,default,3765.0,3234.0,269.0,E,normal,254,1323,0.020587594534872865,77,68,70,0.937863442358158,4
310,28660e09-7e96-3a2d-89d7-a90b36e6e9b0,0.0007625546889861,0.0020448925242533,30.76517922457937,5773,default,5134.0,4101.0,258.0,E,normal,236,1318,0.023764875586007934,77,59,78,0.937337904637364,4
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,280,1310,0.016769073220686125,90,67,72,0.9360735025342135,5
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,265,1238,0.017695826186392222,82,70,76,0.9360735025342135,5
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,267,1289,0.018149305848891892,87,69,69,0.9323367059180361,5
603,ffbf4937-68e6-3d12-b817-dd3c5c14a782,6.58922914466737e-05,0.002463921154523,16.542172683413742,394,default,6842.0,6011.0,245.0,E,normal,238,1165,0.020653831152714252,82,63,81,0.9322918907357352,4
206,b427b6cb-2e15-3767-a499-b4870fd2f10a,8.060268799841006e-05,0.0034531587707748,17.68585237258348,390,default,5097.0,4552.0,278.0,E,normal,271,1172,0.016017493508268418,80,70,60,0.9306480743087717,4
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,280,1270,0.016257040450588837,76,65,72,0.9305742811501188,5
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,262,1136,0.01661255886051885,66,70,72,0.9294988225600214,5
195,33f1ff34-282f-3722-838b-2da79297a581,0.0009452799412796,0.0020796803001264,29.688861985472155,6955,default,4862.0,4130.0,255.0,E,normal,231,1271,0.023922454357236965,77,68,72,0.9293527999580109,4
422,4a1bc462-0be4-33fc-a2a8-c94ee65e3a29,0.0014155185238639,0.0028088328355889,32.38870909744696,7650,default,3295.0,2781.0,253.0,E,normal,243,1280,0.02176648641295106,80,65,73,0.9265869965301898,4
295,4a100b7d-885d-354c-9500-85e37f106f87,0.0008980619711364,0.0024566563058581,30.22059606173497,6120,default,4430.0,3758.0,279.0,E,normal,257,1295,0.019683244163424124,81,72,63,0.9259173148819975,4
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,268,1122,0.015680026832131478,69,60,68,0.9252970530618652,5
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,249,1116,0.018072289156626505,76,63,63,0.9221259947996283,5
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,225,1007,0.01998015873015873,62,60,56,0.9213596957617656,5
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,222,1084,0.022094492682727975,71,60,61,0.9202842528019091,4
432,ab42aa51-6f81-333b-ba7e-cd5d64a45244,0.0010209334286185,0.0028255730855917,28.65626969124133,5572,default,3711.0,3174.0,257.0,E,normal,242,1234,0.021158396488460615,75,62,72,0.9200123165559977,4
583,429f155a-1c58-3437-b1f5-8538e06e8170,0.0009740273525209,0.002212696468667,28.871994342291373,7158,default,4906.0,4242.0,271.0,E,normal,250,1261,0.0202570281124498,75,71,63,0.9198268618520047,4
398,c7865e57-ad1f-3be7-a51c-67a61230577e,0.0009034234069746,0.0025013693627898,28.73557187827912,5938,default,4553.0,3812.0,274.0,E,normal,255,1272,0.019638721630384437,72,63,68,0.9193426505380462,4
365,5a192abe-adff-30ed-8644-74e257706692,0.0008846545683055,0.0025231366873595,31.258333333333333,5575,default,3999.0,3360.0,265.0,E,normal,253,1237,0.019402095489052012,73,60,59,0.9191019038366974,4
327,ab50a726-f316-36f9-8bf0-84522255a4d9,0.0010549088068209,0.0024691119877315,30.061177152797917,6563,default,3968.0,3449.0,256.0,E,normal,238,1199,0.02125660390738574,75,65,68,0.9185763515001832,4
160,d4da3385-5626-3728-a524-1be862cbb118,0.0010539198924667,0.0028062397566353,27.59876342336479,5364,default,3575.0,3073.0,238.0,E,normal,223,1099,0.022199329374217265,78,57,51,0.9162499739816259,4
418,c6ad5186-3fa2-338c-a45e-4cd375a85118,8.134200196270854e-05,0.0031157998037291,15.764842390253335,398,default,5576.0,5171.0,254.0,E,normal,242,1004,0.017214773155927437,70,60,54,0.9134132784517877,4
404,df00ca60-d1f0-34dd-8155-025b87707dc8,0.0014088716014458,0.0038189533239038,28.93587994542974,5379,default,2505.0,2199.0,243.0,E,normal,224,1124,0.022501601537475976,71,60,57,0.913323553979329,3
269,e2e6f20a-0f19-340a-baeb-8c61fa4da5d3,0.002034318655269,0.004256159758638,31.58479863868406,6797,default,2122.0,1763.0,237.0,E,normal,228,1074,0.020751217250173894,61,56,61,0.9133235383490883,2
523,02f1356d-6319-3be9-a183-27f1dff739ef,0.0014752482734284,0.0026843776780763,30.8147572815534,7024,default,3017.0,2575.0,213.0,E,normal,203,1152,0.028093449739062575,61,60,56,0.9051679017770966,3
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,235,1022,0.018585197308601562,58,59,55,0.9020348062936767,4
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,230,1035,0.019650655021834062,67,53,66,0.899140514720665,4
166,d94602ce-8c8b-3cc3-ba30-ee2848967193,7.316289653326194e-05,0.0028510239593093,16.822787660436838,328,default,4890.0,4441.0,213.0,E,normal,206,908,0.021501302391664694,59,56,49,0.8953975143538442,4
508,366f3b54-dde7-3436-82b7-5d0f70ac0bae,0.0011945881514432,0.0025560047679319,28.83664068036853,5833,default,3349.0,2822.0,208.0,E,normal,200,1009,0.02535175879396985,64,58,57,0.893059573548517,3
172,8a989644-d121-315b-8206-deae986adcdd,0.0013581131426606,0.0060468848512638,81.91079812206573,5687,default,931.0,852.0,422.0,E,normal,416,2396,0.013878591288229842,122,130,110,0.8890978573070076,5
517,549839ff-b2af-326a-8d62-e2bdc746803c,8.447219887114208e-05,0.0024378527681037,15.270493306436824,423,default,5880.0,5453.0,203.0,E,normal,184,791,0.023491328106438582,51,55,56,0.8811140772343411,4
101,1f82b7eb-3bad-3fdd-91a4-9bb4ae7d4686,5.9494309838472834e-05,0.0025353340675477,15.686161597984524,312,default,6024.0,5557.0,221.0,E,normal,217,915,0.019521249359959036,59,45,47,0.8765860908724956,4
668,e3d15762-9f64-33f5-b6ed-79963697b08f,0.0015786555521566,0.0042635362496176,32.029393753827314,4955,default,2093.0,1633.0,223.0,E,normal,215,982,0.021343186263855684,65,50,57,0.8747318600603688,1
662,941a563b-a45d-333f-864c-416085626953,4.774875903688904e-05,0.0022038680974645,15.90011462256427,279,default,6842.0,6107.0,214.0,E,normal,196,868,0.02271062271062271,54,51,62,0.8722012624915081,4
474,8f91f452-03ef-3469-8660-e0877282a6c7,0.001227755440679,0.0027315080732656,29.552998868351565,5772,default,3117.0,2651.0,214.0,E,normal,205,1041,0.024892395982783356,59,52,62,0.8706787817765502,2
179,5ba8e424-26c6-3f6f-8f86-f01f2080113c,0.0038247807729782,0.0067318196580944,34.41971544715447,7773,default,1181.0,984.0,228.0,E,normal,224,971,0.019438661114670082,65,43,62,0.862358169745125,1
542,82140914-334a-39e4-b4e8-0f6c048b4079,0.0011470083073363,0.0023251194690782,30.04106704106704,5891,default,3312.0,2849.0,199.0,E,normal,188,917,0.026083741039936284,62,54,50,0.8615981845565184,1
485,e22ba257-2ac6-3e9c-a101-73858e26475c,0.0030203767078554,0.0059040204812037,38.24075924075924,6938,default,1183.0,1001.0,226.0,E,normal,222,1031,0.02101422689657984,67,54,50,0.860405361445786,1
635,9ab7feb2-ade4-3038-85fd-bbfde7a87a92,0.0016237016564605,0.0034502068317708,28.668565510098396,5394,default,2220.0,1931.0,191.0,E,normal,178,912,0.028946867263378404,64,52,55,0.8591111914780059,1
641,074e10a4-6513-333a-a925-c88a19f5f66e,0.0012945414995581,0.0030249473183332,26.351992834751456,4571,default,2612.0,2233.0,178.0,E,normal,171,860,0.02958376332989336,64,48,49,0.8591111914780059,1
25,1e1ef442-ec30-3853-8da4-80e9344746d6,0.0012406642161453,0.0022593182243865,28.50316983650317,6359,default,3510.0,2997.0,193.0,E,normal,179,973,0.030537944887326595,59,48,62,0.8543880087969014,3
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,195,886,0.023420565688606926,53,53,46,0.8539576812125207,4
290,56ec9d87-951d-3b84-8b7c-29207480e443,7.937681976143515e-05,0.002195454118531,15.424846070264396,406,default,5886.0,5522.0,187.0,E,normal,172,803,0.027301781585747312,57,53,48,0.8538351173631709,4
549,42ce62a7-8e8c-370a-a52a-ebf7c948baea,0.0021085331966439,0.0061510238217282,33.91308325709058,4690,default,1444.0,1093.0,228.0,E,normal,224,1031,0.020639814221652786,56,48,60,0.8531951700559284,1
185,f35810c4-e428-3894-9a1d-d51e0e29c59b,5.950166857926741e-05,0.0023083112394971,14.90621313409359,271,default,5513.0,5086.0,175.0,E,normal,166,736,0.026871120847024463,53,47,48,0.8519907401908475,4
326,9b24d9c6-42d4-300f-9fcf-3d1f42baa49a,8.983481766758935e-05,0.0030840052954627,14.877350044762755,359,default,4799.0,4468.0,205.0,E,normal,197,842,0.02180669222003522,58,46,52,0.8515028183935165,4
193,10934e63-2f6e-391e-a870-bdbc5b494f6e,8.468588397931494e-05,0.0027989691601385,15.066340961686809,298,default,4208.0,3889.0,164.0,E,normal,159,665,0.02647082238675265,54,42,43,0.8510185914493171,1
553,0f78b45f-48be-3399-bfc9-29cb7af8772c,6.906012947653462e-05,0.003371411150763,15.873327640193567,232,default,3857.0,3513.0,188.0,E,normal,181,675,0.020718232044198894,57,37,47,0.8510185914493171,1
80,45f01370-2f35-30d2-8315-05ad09a08579,0.0001370687132125,0.0060485837858931,16.84986301369863,253,default,1995.0,1825.0,186.0,E,normal,184,780,0.02316464718460442,50,42,49,0.8457657782982217,1
218,3f76358f-35dd-3bee-b76f-484b9019132a,0.0016827816696441,0.0033922800537947,27.677222222222223,5031,default,2067.0,1800.0,169.0,E,normal,164,816,0.0305252132275924,56,50,48,0.8457657782982217,1
354,28f705d3-1fc7-3f51-8eb7-5abedb3bd091,0.0025206725809779,0.0041881576232721,30.52267002518892,7331,default,1822.0,1588.0,203.0,E,normal,197,1026,0.026572050139852896,63,47,53,0.8376543879364615,1
875,9674f6c1-b236-35eb-9b44-3698d85e85f2,0.0001141803387768,0.0031748445847037,15.31770529994176,361,default,3732.0,3434.0,167.0,E,normal,163,694,0.0262819056275089,50,45,41,0.8254672015557709,1
575,1551e943-4cba-3a23-b608-5f27bf680152,9.21001521380248e-05,0.0029294662221215,15.571068548387096,342,default,4250.0,3968.0,181.0,E,normal,172,762,0.0259077927376581,53,51,39,0.8254671859255303,1
687,810a4856-ba10-3ab1-8b62-3e1a0638c83f,8.110454301186391e-05,0.0040510933818362,16.805140673845084,236,default,3217.0,2879.0,196.0,E,normal,187,786,0.022597895463170606,50,43,41,0.8230128267104251,1
137,5558267a-be79-3af7-b980-2c16cfda42d0,0.0014038182239154,0.0086720410869519,79.44648829431438,4002,default,676.0,598.0,412.0,E,normal,410,2104,0.012546961655435625,119,119,99,0.8218441021128275,5
132,f06fbc92-2a0e-3a73-9b74-90daae4334e3,0.0030679652407539,0.0082700138533226,99.25416666666666,8770,default,549.0,480.0,394.0,E,normal,391,2100,0.013771394845563643,106,121,91,0.8206465974209536,5
447,3155b7ab-b778-3fea-8e3b-6bcfa250529e,0.0023061844017439,0.0058130146940093,26.856027753686035,4285,default,1287.0,1153.0,180.0,E,normal,173,786,0.026414840704395752,60,43,42,0.8201265612660902,1
459,eb81bce8-c6a1-3781-a61a-7437d400eb22,0.0017345642365233,0.0051650439325575,25.253373313343328,3507,default,1568.0,1334.0,174.0,E,normal,172,791,0.026893784849721204,54,43,47,0.8201265612660902,1
6,886654dc-3acf-3d11-9da7-2380dbe5b11d,0.0047980674746151,0.012119226989846,100.09836065573772,8790,default,342.0,305.0,370.0,E,normal,369,1809,0.01332184517497349,98,97,93,0.8194262644320871,5
70,9ace1862-8306-3df1-99f3-42c47eaa0b98,0.0016984406510069,0.0056806884994461,91.9242819843342,7176,default,867.0,766.0,400.0,E,normal,396,2367,0.015132336018411968,113,132,101,0.8179891769410232,5
30,a966db41-094d-3bd0-8b5a-b2a0efa33754,0.0024981281737647,0.0079320953334074,102.58174904942966,8088,default,604.0,526.0,428.0,E,normal,424,2271,0.01266225076943664,113,126,101,0.817183810398997,5
40,aa99f37a-888f-3c35-9e12-ee042ac2d241,0.0018160005379564,0.0057708060789084,102.36670838548186,8912,default,912.0,799.0,472.0,E,normal,467,2787,0.012806609625865032,129,137,119,0.8167626117502915,5
145,93ab48e1-669b-3925-b50e-e266897b0b5c,0.0023391715073637,0.0107962213225371,84.58064516129032,4784,default,449.0,403.0,368.0,E,normal,366,1775,0.013286922673852833,107,82,92,0.8147818331605781,4
170,f4c0b94b-7954-3934-8b81-d5c7e278e9fd,0.0052085911513287,0.0132336635788118,102.41391941391942,8738,default,301.0,273.0,370.0,E,normal,366,1749,0.013092297327644284,92,90,84,0.8147818331605781,4
332,e6edb227-731e-3e81-a565-34c7bc2c3626,0.0010168194695398,0.0077182181177362,67.81996974281392,2735,default,738.0,661.0,346.0,E,normal,344,1699,0.014399281307207268,96,89,83,0.8138349469334503,4
5,45d84ed6-043b-39ba-9247-0e5c36c48889,0.0016601732773791,0.005821036956816,92.22222222222224,7359,default,897.0,801.0,430.0,E,normal,425,2520,0.013984461709211986,127,137,114,0.812370363399519,5
108,77733e8d-0dfe-30be-8abc-d5a290565272,0.0014914648953646,0.0063138347260909,93.21571238348868,6265,default,861.0,751.0,442.0,E,normal,436,2536,0.01337129600337446,126,131,114,0.812370363399519,5
124,d30a052d-dca2-3387-a0a2-d49f53bea098,0.0046187072359619,0.01334046863652,96.18014705882354,7250,default,308.0,272.0,349.0,E,normal,348,1621,0.013423763622511511,93,86,84,0.810665040631187,4
149,0365c7d9-f00a-36ab-8eed-d669e4aedbea,0.0013453185800308,0.0083476446164213,78.36626916524702,3714,default,665.0,587.0,384.0,E,normal,381,1876,0.012957590827462357,86,100,92,0.8091176072590631,4
383,05ad6b0e-9a79-3f7e-975f-8b2d04400865,0.0001487076811066,0.0176556243174372,9.723893805309734,99,default,1420.0,1130.0,194.0,E,normal,191,626,0.01724993111049876,68,45,43,0.808550967875711,1
100,0c7a6b93-222a-361a-aa9f-1f76800ede85,0.000952355646595,0.0068408440905928,68.54039735099337,2957,default,833.0,755.0,354.0,E,normal,353,1893,0.015234676796291527,88,97,94,0.8081707210319351,4
243,8aed7a21-4002-3a0c-94de-4b0be8139189,0.0085211795151184,0.022745845818578,77.6931216931217,7508,default,204.0,189.0,334.0,E,normal,331,1363,0.012478256889133022,93,84,63,0.8007905373091411,4
2,7e5838fc-bce1-371f-a3ac-d8a0b2a05d9a,0.0044809964936582,0.0153240119475347,99.57327586206895,6211,default,255.0,232.0,354.0,E,normal,354,1589,0.012715865623149438,79,93,67,0.7951263114076261,4
709,22a90529-64a2-3495-9241-680bf4851b63,0.0026239333604225,0.005108260289081,34.18055555555556,5425,default,1255.0,1008.0,176.0,E,normal,169,846,0.029797125950972104,58,45,41,0.7948866009695397,1
89,91d013a0-e8cd-3385-98dd-3a85abb1fa92,0.0016362967730072,0.0148478440746529,66.12158054711246,2136,default,366.0,329.0,323.0,E,normal,321,1451,0.014125778816199377,81,84,73,0.7946836496342728,4
502,9db546de-e27e-3f5b-8ad3-14106ec5dcde,0.0036886803473384,0.0066196799190062,21.91211604095563,5684,default,1308.0,1172.0,170.0,E,normal,166,660,0.024096385542168676,48,45,41,0.7945751557423033,1
84,5d0c46cd-c453-37d1-ae96-a4163dfb9069,0.0019899827829081,0.0129519486617624,68.14933333333333,3052,default,409.0,375.0,331.0,E,normal,330,1366,0.012581744496638113,91,74,67,0.7904818801361169,4
612,4a1de205-9cf8-38e3-95ab-a857abc4be9c,4.25642807505212e-06,0.0167651146629603,10.839924670433144,3,default,4134.0,1062.0,193.0,E,normal,185,525,0.015423031727379553,52,40,36,0.7874013506940483,1
537,9bce1b96-b272-3e64-8b73-80ac49f1c36c,3.893129770992366e-06,0.0151145038167938,11.654804270462634,4,default,4984.0,1124.0,198.0,E,normal,191,619,0.01705704050702673,47,42,40,0.7874013496795276,1
519,bd8e10d5-b814-3192-8897-0c2e750aeaee,3.231435403606282e-06,0.0109868803722613,8.278758694489031,3,default,6065.0,1869.0,170.0,E,normal,166,499,0.018218327856882075,38,38,33,0.7742699839378404,1
614,9ccc904d-bf3a-391f-9c65-199f66718c7f,0.0020532409463741,0.0044712919368689,25.62291350531108,4161,default,1489.0,1318.0,151.0,E,normal,148,754,0.034657106085677514,51,42,50,0.773543276621923,1
758,298ae519-c652-3a11-b168-5a2ed663e702,9.519876097057305e-05,0.0040784718637067,14.99806426635695,222,default,2814.0,2583.0,158.0,E,normal,156,578,0.023904052936311,45,41,34,0.7698505348791227,1
364,18419031-6c99-3347-9565-d7fba6a6b5e6,0.000196659850034,0.0186321290615769,9.32415254237288,104,default,1179.0,944.0,164.0,E,normal,159,465,0.01850967279675185,58,41,32,0.76965414917214,1
