v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ecod,anomaly_vote_count,GERCEK_ETIKET_label
-10.42,3.21,-0.06,-1.14,1.58,-0.36,48.07,-23.92,6.06,-85.48,-120.36,0.9136947934145813,5.0,0
2.23,-14.32,-20.74,1.71,-1.88,-1.6,-42.1,17.38,46.33,5.26,-39.33,0.9130707107172483,5.0,0
-9.11,3.09,-4.19,-0.54,0.73,0.25,48.07,-23.92,6.06,-86.71,-159.51,0.9130003277328286,5.0,0
-9.91,6.05,1.73,-0.97,1.35,-0.57,48.07,-23.92,6.06,-84.78,-107.28,0.9127256058218723,5.0,0
-10.3,4.55,0.71,-1.1,1.56,-0.52,48.07,-23.92,6.06,-84.93,-109.71,0.9106041624323612,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.15,-59.65,0.9103286477823617,5.0,0
-10.42,3.21,-0.06,-1.14,1.58,-0.36,48.07,-23.92,6.06,-85.29,-116.25,0.9095897951531798,5.0,0
-11.21,4.4,1.93,1.09,-1.3,0.67,44.28,-35.03,5.8,-83.16,126.67,0.9082707854898909,5.0,0
-10.5,5.85,2.66,0.86,-1.11,0.57,44.28,-35.03,5.8,-80.14,130.57,0.9079922610230055,5.0,0
-10.3,4.55,0.71,-1.1,1.56,-0.52,48.07,-23.92,6.06,-85.12,-112.82,0.9064211408036548,5.0,0
-9.91,6.05,1.73,-0.97,1.35,-0.57,48.07,-23.92,6.06,-83.77,-97.82,0.9042002642710846,5.0,0
-9.42,6.31,6.64,-0.72,0.86,-0.55,45.91,-23.56,8.14,-83.92,-96.82,0.9032780415634732,5.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.13,-39.13,0.90245212976005,5.0,0
-10.26,5.86,1.83,0.84,-1.11,0.57,44.28,-35.03,5.8,-79.8,130.94,0.9014259840499995,5.0,0
-11.21,4.4,1.93,1.09,-1.3,0.67,44.28,-35.03,5.8,-83.6,126.24,0.9010152442598055,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.47,-33.82,0.9002740232294039,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.19,-59.91,0.8987887391866759,5.0,0
-11.36,5.28,3.39,0.95,-1.02,0.66,44.28,-35.03,5.8,-84.09,125.69,0.8985616264888815,5.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.36,-66.8,0.8974167042040787,5.0,0
-9.42,6.31,6.64,-0.72,0.86,-0.55,45.91,-23.56,8.14,-84.09,-95.98,0.8950854375625922,5.0,0
-10.16,5.54,1.22,0.69,-0.99,0.57,41.76,-37.9,7.19,-79.02,131.88,0.8947955023697464,5.0,0
-10.26,5.86,1.83,0.84,-1.11,0.57,44.28,-35.03,5.8,-79.41,131.36,0.8929852151701788,5.0,0
-10.28,5.75,1.64,0.54,-0.83,0.53,41.76,-37.9,7.19,-77.86,133.29,0.8922265959418062,5.0,0
-10.16,5.54,1.22,0.69,-0.99,0.57,41.76,-37.9,7.19,-78.14,133.0,0.8898200713267655,5.0,0
-10.28,5.75,1.64,0.54,-0.83,0.53,41.76,-37.9,7.19,-77.52,133.65,0.8891934292245219,5.0,0
1.67,-12.31,-14.09,2.36,-1.61,-1.19,-31.07,21.68,37.41,8.68,-33.7,0.8884973295892774,5.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.02,-38.92,0.8862836170740155,5.0,0
-0.84,1.54,11.06,0.01,-0.31,0.28,282.76,-139.88,-252.42,-6.42,97.8,0.8859373278793449,4.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.25,-66.65,0.8847017930092133,5.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.17,-172.37,0.8846446637064199,5.0,0
-0.84,1.54,11.06,0.01,-0.31,0.28,282.76,-139.88,-252.42,-6.29,97.85,0.8823997685804713,5.0,0
-0.3,2.17,12.17,0.11,-0.36,0.25,282.76,-139.88,-252.42,-6.52,97.77,0.8821537796464519,4.0,0
-9.96,3.24,-3.98,-0.01,0.0,0.52,49.15,-19.98,8.49,-87.3,-176.25,0.8815341565103064,5.0,0
-6.75,5.9,2.06,-0.3,0.14,-0.41,45.91,-23.56,8.14,-84.27,-96.19,0.8814991202863579,5.0,0
-0.33,0.7,9.28,-0.1,-0.06,0.24,282.76,-139.88,-252.42,-6.21,97.79,0.879979336565135,5.0,0
-10.02,6.11,2.91,0.44,-0.76,0.5,41.76,-37.9,7.19,-77.21,133.74,0.879910194911368,5.0,0
-11.36,5.28,3.39,0.95,-1.02,0.66,47.53,-31.09,6.84,-85.08,122.17,0.8799073129711062,5.0,0
1.67,-12.31,-14.09,2.36,-1.61,-1.19,-31.07,21.68,37.41,8.89,-33.58,0.8752018944426033,5.0,0
-11.43,5.42,3.98,0.73,-0.64,0.63,47.53,-31.09,6.84,-85.57,120.69,0.8741606714260152,5.0,0
-10.02,6.11,2.91,0.44,-0.76,0.5,41.76,-37.9,7.19,-76.88,133.85,0.8738741525264914,5.0,0
-9.93,2.54,-6.31,0.49,-0.76,0.79,49.15,-19.98,8.49,-87.45,179.43,0.8729582237377141,5.0,0
-0.3,2.17,12.17,0.11,-0.36,0.25,282.76,-139.88,-252.42,-6.66,97.65,0.8717792070122189,4.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.21,-44.31,0.8710896950320167,5.0,0
-0.33,0.7,9.28,-0.1,-0.06,0.24,282.76,-139.88,-252.42,-6.14,97.73,0.8684526934782998,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.54,-65.61,0.8668706754055385,5.0,0
-9.6,6.16,2.1,0.4,-0.76,0.44,41.76,-37.9,7.19,-76.57,134.0,0.8664821201669172,5.0,0
0.95,-12.11,-14.34,2.48,-1.69,-0.98,-31.07,21.68,37.41,10.24,-27.07,0.8659294167594752,5.0,0
-11.43,5.42,3.98,0.73,-0.64,0.63,47.53,-31.09,6.84,-85.93,118.88,0.8646133969784152,5.0,0
0.15,0.62,8.53,-0.31,0.37,0.11,282.76,-139.88,-252.42,-6.35,97.1,0.8630912059750514,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.22,-60.17,0.8619369223350811,5.0,0
-6.75,5.9,2.06,-0.3,0.14,-0.41,45.91,-23.56,8.14,-84.45,-96.19,0.8609947987043819,5.0,0
-9.6,6.16,2.1,0.4,-0.76,0.44,41.76,-37.9,7.19,-75.81,134.46,0.8580601964704279,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.49,-65.46,0.8566288087850756,5.0,0
-11.35,4.76,2.78,0.61,-0.39,0.65,47.53,-31.09,6.84,-86.26,117.17,0.8562946261489081,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.58,-65.37,0.8561819187797296,5.0,0
0.95,-12.11,-14.34,2.48,-1.69,-0.98,-31.07,21.68,37.41,10.37,-27.15,0.854590547119963,5.0,0
-9.93,2.54,-6.31,0.49,-0.76,0.79,49.15,-19.98,8.49,-87.61,175.9,0.8539786878136456,5.0,0
-11.35,4.76,2.78,0.61,-0.39,0.65,47.53,-31.09,6.84,-86.51,113.81,0.8531778988335831,5.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.2,-44.54,0.8513129728560046,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.28,-60.45,0.8507965404101813,5.0,0
-9.51,6.19,1.4,0.28,-0.65,0.38,41.76,-37.9,7.19,-75.54,134.64,0.8506880538936684,5.0,0
-11.6,4.42,1.73,0.57,-0.28,0.66,47.53,-31.09,6.84,-86.74,110.28,0.8505582443704048,5.0,0
0.15,0.62,8.53,-0.31,0.37,0.11,282.76,-139.88,-252.42,-6.37,96.9,0.8496077514409955,4.0,0
8.99,-9.32,-14.94,-0.24,0.02,-1.21,-22.16,35.66,15.44,48.67,-84.25,0.848916110624275,5.0,0
8.99,-9.32,-14.94,-0.24,0.02,-1.21,-22.16,35.66,15.44,48.57,-84.29,0.8469966911005354,5.0,0
-10.8,4.86,2.95,-1.18,1.24,-0.54,45.36,-36.83,3.38,-81.9,99.94,0.8466226216125011,5.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.97,0.8463923568840445,5.0,0
0.01,-11.85,-16.32,2.4,-1.59,-0.78,-31.07,21.68,37.41,10.73,-25.73,0.8461638086416005,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.57,-65.3,0.8439808441226521,5.0,0
8.08,-12.38,-14.16,-0.13,0.59,-1.39,-22.16,35.66,15.44,48.77,-84.11,0.843165161328285,5.0,0
8.03,-8.92,-12.69,-0.28,0.08,-0.89,-22.16,35.66,15.44,48.5,-84.34,0.842279009464408,5.0,0
-9.51,6.19,1.4,0.28,-0.65,0.38,41.76,-37.9,7.19,-75.34,134.78,0.8412597606744955,4.0,0
-10.89,4.8,2.5,-1.11,1.2,-0.52,45.36,-36.83,3.38,-81.71,101.71,0.841110242774879,5.0,0
5.63,-10.27,-21.5,1.75,0.05,0.3,-20.2,1.07,27.62,26.21,-43.91,0.8410404895872364,5.0,0
0.01,-11.85,-16.32,2.4,-1.59,-0.78,-31.07,21.68,37.41,10.78,-26.03,0.8399717748974117,5.0,0
1.09,-20.38,-14.49,-0.84,2.48,1.07,-4.18,34.05,10.81,32.54,-28.08,0.8394825921272749,5.0,0
8.08,-12.38,-14.16,-0.13,0.59,-1.39,-22.16,35.66,15.44,48.67,-83.84,0.839473833331427,5.0,0
5.22,-8.73,-20.77,1.12,0.9,0.39,-20.2,1.07,27.62,26.37,-43.84,0.8394098121581671,5.0,0
1.09,-20.38,-14.49,-0.84,2.48,1.07,-4.18,34.05,10.81,32.81,-27.16,0.839367260812225,5.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.87,0.8387630933236644,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.84,-61.6,0.8385507334013503,5.0,0
5.63,-10.27,-21.5,1.75,0.05,0.3,-20.2,1.07,27.62,26.28,-43.75,0.8383014793490459,5.0,0
6.12,-12.08,-13.15,-0.77,1.95,1.44,-20.38,33.15,21.62,48.76,-61.47,0.8380343343818796,5.0,0
4.61,-12.22,-14.54,3.22,-2.3,0.16,-14.51,17.2,19.39,24.56,-19.21,0.8378707496623131,5.0,0
-11.6,4.42,1.73,0.57,-0.28,0.66,47.53,-31.09,6.84,-86.96,98.92,0.8377169957177374,5.0,0
-0.35,0.68,9.01,-0.62,0.91,-0.05,282.76,-139.88,-252.42,-6.64,96.38,0.837652501189268,5.0,0
-11.26,4.48,0.28,0.1,-0.43,0.3,41.76,-37.9,7.19,-75.26,134.73,0.8375840671041818,4.0,0
-6.17,5.36,-0.95,-0.2,-0.12,-0.28,45.91,-23.56,8.14,-84.5,-96.87,0.8373040947644274,5.0,0
-10.89,4.8,2.5,-1.11,1.2,-0.52,45.36,-36.83,3.38,-81.54,103.12,0.8365241015963573,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,48.71,-61.28,0.8361692992719781,5.0,0
-10.43,3.31,-3.02,1.29,-1.33,0.81,47.53,-31.09,6.84,-87.12,74.31,0.835983558447939,5.0,0
5.87,-11.99,-12.52,-0.74,1.85,1.45,-20.38,33.15,21.62,49.75,-59.41,0.8356689626603132,5.0,0
12.61,-9.18,-20.3,-0.28,0.22,-1.76,-22.16,35.66,15.44,47.23,-80.06,0.8351343408860253,5.0,0
-10.43,3.31,-3.02,1.29,-1.33,0.81,47.53,-31.09,6.84,-87.13,67.0,0.8344545973729173,5.0,0
-8.71,4.55,-1.47,0.78,-1.09,0.91,49.15,-19.98,8.49,-87.85,172.82,0.8339582078669995,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,51.63,-65.21,0.8338915120830458,5.0,0
-0.08,-11.51,-16.55,2.19,-1.29,-0.57,-31.07,21.68,37.41,10.85,-26.18,0.8338277867322098,5.0,0
4.61,-12.22,-14.54,3.22,-2.3,0.16,-14.51,17.2,19.39,24.51,-19.27,0.8334227258883268,5.0,0
4.46,-12.88,-17.85,3.5,-2.83,0.04,-14.51,17.2,19.39,25.73,-27.08,0.8334016401908187,5.0,0
-10.8,4.86,2.95,-1.18,1.24,-0.54,45.36,-36.83,3.38,-82.89,91.41,0.8329803814451794,5.0,0
5.22,-8.73,-20.77,1.12,0.9,0.39,-20.2,1.07,27.62,26.42,-44.01,0.8327551014041125,5.0,0
-11.26,4.48,0.28,0.1,-0.43,0.3,41.76,-37.9,7.19,-75.22,134.67,0.8324710042506372,4.0,0
4.03,-12.05,-10.72,2.96,-1.96,0.33,-14.51,17.2,19.39,24.63,-19.29,0.8323576295525453,5.0,0
-11.33,4.43,1.32,-1.23,1.24,-0.56,45.36,-36.83,3.38,-83.1,89.0,0.8315723280235391,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.65,-59.19,0.8311207907544288,5.0,0
-10.86,3.4,-1.12,0.95,-0.79,0.77,47.53,-31.09,6.84,-87.12,80.61,0.830813014321062,5.0,0
-0.11,1.92,12.37,0.18,-0.38,0.18,-186.07,-164.61,284.36,-7.14,97.21,0.8308067900156585,4.0,0
8.03,-8.92,-12.69,-0.28,0.08,-0.89,-22.16,35.66,15.44,48.47,-86.15,0.8301177223229076,5.0,0
-1.76,-20.0,-22.64,2.3,-4.14,-1.3,-42.1,17.38,46.33,5.24,-44.96,0.8295148095728316,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,53.41,-64.44,0.8286400472448215,5.0,0
-10.88,5.12,1.67,-1.01,1.08,-0.57,45.36,-36.83,3.38,-81.28,104.93,0.8283724435838963,5.0,0
4.12,-18.07,-12.13,1.73,-1.17,-1.91,-19.85,27.95,29.0,49.7,-60.39,0.8282436969871959,5.0,0
-0.08,-11.51,-16.55,2.19,-1.29,-0.57,-31.07,21.68,37.41,11.64,-21.77,0.8281314521075461,5.0,0
12.61,-9.18,-20.3,-0.28,0.22,-1.76,-22.16,35.66,15.44,47.29,-79.79,0.8281284404993513,5.0,0
4.78,-8.48,-17.93,0.48,1.73,0.66,-20.2,1.07,27.62,26.54,-44.19,0.827905020801977,5.0,0
-11.33,4.43,1.32,-1.23,1.24,-0.56,45.36,-36.83,3.38,-83.37,85.65,0.8276897416406576,5.0,0
6.31,-12.03,-13.71,-0.77,1.99,1.41,-22.87,34.23,18.19,48.95,-61.69,0.8267949546730496,5.0,0
-11.95,3.6,1.23,-1.33,1.35,-0.57,45.36,-36.83,3.38,-83.62,81.86,0.8266682002434155,5.0,0
-10.86,3.4,-1.12,0.95,-0.79,0.77,47.53,-31.09,6.84,-87.08,87.62,0.8261601953959176,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.56,-58.97,0.8260974053328903,5.0,0
-0.1,-11.66,-16.08,1.92,-0.89,-0.38,-28.39,27.6,29.34,11.7,-21.97,0.8257987480240389,5.0,0
3.05,-18.39,-21.72,-0.32,1.1,1.27,-12.73,34.76,16.3,32.93,-26.97,0.8256826770697056,5.0,0
3.05,-18.39,-21.72,-0.32,1.1,1.27,-12.73,34.76,16.3,33.09,-26.68,0.8255913399475304,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.45,-58.7,0.8253459965582352,5.0,0
4.03,-12.05,-10.72,2.96,-1.96,0.33,-14.51,17.2,19.39,24.7,-19.37,0.8250430074710359,5.0,0
-0.09,-21.43,-3.56,-0.46,2.5,0.5,-4.18,34.05,10.81,32.55,-27.7,0.8250338121399655,5.0,0
-11.61,4.05,0.35,0.69,-0.42,0.71,47.53,-31.09,6.84,-87.05,93.14,0.8244488549913308,5.0,0
6.31,-12.03,-13.71,-0.77,1.99,1.41,-22.87,34.23,18.19,49.06,-61.77,0.8244399370654866,5.0,0
4.46,-12.88,-17.85,3.5,-2.83,0.04,-14.51,17.2,19.39,25.73,-26.98,0.8231949481336892,5.0,0
-10.88,5.12,1.67,-1.01,1.08,-0.57,45.36,-36.83,3.38,-80.99,106.63,0.8226395860416554,5.0,0
3.64,-12.71,-8.11,2.88,-2.04,0.5,-10.23,25.44,11.15,24.8,-19.54,0.8220561660122839,5.0,0
-9.98,3.94,-0.99,1.52,-1.75,0.81,50.6,-28.76,10.14,-87.14,44.52,0.821228545741585,5.0,0
-5.01,6.25,8.39,-0.28,-1.85,0.57,38.15,-25.89,-34.67,-45.22,114.27,0.8211902115366393,5.0,0
4.78,-8.48,-17.93,0.48,1.73,0.66,-20.2,1.07,27.62,27.83,-43.5,0.8211263274107709,5.0,0
-9.83,4.3,2.11,-0.11,-0.12,0.08,38.69,-38.44,7.36,-75.2,134.19,0.820956895879123,4.0,0
-6.62,3.79,1.01,0.68,-2.69,0.71,48.25,-21.23,-22.53,-48.8,112.49,0.8208001717418053,5.0,0
-7.1,5.07,-1.93,-0.27,-0.02,-0.17,45.91,-23.56,8.14,-84.63,-95.83,0.8206984663915055,5.0,0
8.25,-8.88,-11.28,-0.28,0.05,-0.61,-29.28,33.87,15.44,48.42,-86.01,0.8205610060940453,5.0,0
-11.95,3.6,1.23,-1.33,1.35,-0.57,45.36,-36.83,3.38,-83.86,77.56,0.8199142127310116,5.0,0
-11.73,3.45,1.96,-1.45,1.47,-0.61,48.79,-35.93,2.5,-84.05,72.8,0.8198419525145489,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.32,-58.55,0.8196183587193512,5.0,0
11.99,-14.3,-18.04,-0.18,0.43,-1.75,-22.16,35.66,15.44,47.33,-79.39,0.8192855888148899,5.0,0
5.57,-11.68,-20.37,2.18,-0.49,0.36,-31.24,-10.75,30.37,25.35,-48.38,0.8185102561559102,5.0,0
-10.49,5.69,-0.87,2.87,-3.48,0.17,44.64,-31.09,-2.5,-66.64,89.41,0.8182004771728334,5.0,0
-9.98,3.94,-0.99,1.52,-1.75,0.81,50.6,-28.76,10.14,-87.09,33.83,0.8180942241016397,5.0,0
5.03,-9.56,-14.05,0.05,2.23,0.92,-20.2,1.07,27.62,27.9,-43.69,0.817622843220457,5.0,0
-6.62,3.79,1.01,0.68,-2.69,0.71,48.25,-21.23,-22.53,-47.91,113.33,0.8172089406776181,5.0,0
4.1,-18.33,-19.68,0.46,-0.45,1.38,-12.73,34.76,16.3,33.74,-26.37,0.8168690947765683,5.0,0
5.01,-13.07,-9.91,-0.4,1.18,1.38,-20.38,33.15,21.62,49.28,-56.06,0.8159626595889989,5.0,0
4.1,-18.33,-19.68,0.46,-0.45,1.38,-12.73,34.76,16.3,33.3,-26.4,0.8158270656049028,5.0,0
-5.01,6.25,8.39,-0.28,-1.85,0.57,38.15,-25.89,-34.67,-43.25,114.56,0.8157205908806665,5.0,0
9.94,-9.82,-9.63,1.09,0.14,-0.42,-36.41,31.36,14.41,53.54,-64.26,0.8156642691231956,5.0,0
4.12,-18.07,-12.13,1.73,-1.17,-1.91,-19.85,27.95,29.0,49.83,-60.66,0.8152716842476998,5.0,0
-0.35,0.68,9.01,-0.62,0.91,-0.05,282.76,-139.88,-252.42,-6.8,96.02,0.8147548674026691,5.0,0
11.99,-14.3,-18.04,-0.18,0.43,-1.75,-22.16,35.66,15.44,47.39,-79.54,0.8142090940055834,5.0,0
-10.24,3.54,-2.21,1.72,-2.13,0.81,50.6,-28.76,10.14,-86.94,22.0,0.8139786347695118,5.0,0
6.45,-11.86,-14.34,-0.75,1.96,1.36,-22.87,34.23,18.19,47.2,-63.43,0.8139662187997837,5.0,0
-11.73,3.45,1.96,-1.45,1.47,-0.61,48.79,-35.93,2.5,-84.49,58.63,0.8139404582129924,5.0,0
-0.1,-11.66,-16.08,1.92,-0.89,-0.38,-28.39,27.6,29.34,11.79,-22.06,0.8134802813800738,5.0,0
-10.13,5.58,6.14,0.53,-1.22,-0.34,43.02,-37.0,-8.23,-61.39,109.43,0.8133834994057659,4.0,0
9.19,-15.49,-14.66,-0.4,0.7,-1.83,-22.16,35.66,15.44,47.41,-79.56,0.812637957952553,5.0,0
2.77,-16.34,-16.07,3.55,-3.04,0.02,-14.51,17.2,19.39,25.73,-26.87,0.8126136474916762,5.0,0
3.64,-12.71,-8.11,2.88,-2.04,0.5,-10.23,25.44,11.15,22.96,-11.52,0.8122840142012661,5.0,0
5.57,-11.68,-20.37,2.18,-0.49,0.36,-31.24,-10.75,30.37,25.33,-48.33,0.8115741208611488,5.0,0
2.98,-16.99,-8.19,2.38,-1.88,1.4,-12.73,34.76,16.3,37.58,-28.15,0.8115359766042304,5.0,0
-9.25,5.67,6.16,0.76,-1.27,-0.26,43.02,-37.0,-8.23,-61.71,109.62,0.8115158756238613,4.0,0
-10.33,4.78,1.86,-0.92,0.98,-0.56,45.36,-36.83,3.38,-80.7,108.26,0.8114462054635253,5.0,0
-10.13,5.58,6.14,0.53,-1.22,-0.34,43.02,-37.0,-8.23,-61.03,109.24,0.8113138188502717,5.0,0
-8.71,4.55,-1.47,0.78,-1.09,0.91,49.15,-19.98,8.49,-88.2,174.47,0.8112363914308732,5.0,0
-6.72,4.11,2.6,1.14,-3.2,0.75,48.25,-21.23,-22.53,-49.54,111.75,0.8109336760371745,5.0,0
-0.09,-21.43,-3.56,-0.46,2.5,0.5,-4.18,34.05,10.81,32.51,-27.52,0.8102130640406399,5.0,0
2.98,-16.99,-8.19,2.38,-1.88,1.4,-12.73,34.76,16.3,37.52,-28.17,0.8102016528390384,5.0,0
6.45,-11.86,-14.34,-0.75,1.96,1.36,-22.87,34.23,18.19,47.3,-63.5,0.8100912922858546,5.0,0
-11.58,3.86,1.2,-1.52,1.53,-0.64,48.79,-35.93,2.5,-84.57,52.96,0.8095931014301571,5.0,0
2.68,-18.74,-16.63,1.36,-1.12,1.43,-12.73,34.76,16.3,37.2,-28.47,0.8095191745610358,5.0,0
9.19,-15.49,-14.66,-0.4,0.7,-1.83,-22.16,35.66,15.44,45.32,-74.06,0.8091657988648931,5.0,0
-0.17,1.03,10.38,-0.71,0.72,-0.28,306.76,-16.04,262.0,-6.06,94.07,0.8089159013083166,4.0,0
4.17,-13.23,-6.75,2.33,-1.51,1.13,-12.73,34.76,16.3,41.34,-36.71,0.8086850596978316,5.0,0
-10.58,4.29,0.66,3.02,-3.73,0.14,44.64,-31.09,-2.5,-67.26,87.27,0.8080814526369308,5.0,0
-9.83,4.3,2.11,-0.11,-0.12,0.08,38.69,-38.44,7.36,-75.1,133.61,0.8079180225508767,4.0,0
-8.26,6.69,9.63,0.03,-1.38,-0.59,37.61,-37.72,-7.54,-59.43,107.54,0.8075809598465985,5.0,0
8.25,-8.88,-11.28,-0.28,0.05,-0.61,-29.28,33.87,15.44,48.38,-85.98,0.8075638881626684,5.0,0
2.68,-18.74,-16.63,1.36,-1.12,1.43,-12.73,34.76,16.3,37.32,-28.27,0.8073939353529221,5.0,0
6.61,-7.87,-11.82,-1.24,0.01,-1.82,-57.24,17.2,18.01,21.05,-58.82,0.8072598354473238,5.0,0
