v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_vae,anomaly_vote_count,GERCEK_ETIKET_label
-8.65,-10.58,-1.85,-1.68,2.15,-2.22,0.0,0.0,0.0,1.07,-42.56,0.7584445896189194,6.0,0
-9.45,-7.11,-1.73,-1.96,2.45,-2.28,0.0,0.0,0.0,1.08,-42.73,0.7562080017549059,6.0,0
-5.5,-14.24,-10.22,-0.48,0.57,2.86,23.59,20.43,12.18,-12.47,-29.55,0.7538736594966801,5.0,0
-4.95,-9.12,-2.01,-0.45,0.8,-2.37,0.0,0.0,0.0,7.23,-43.66,0.7529536790056338,6.0,0
-5.72,-14.18,-9.09,-0.67,-0.29,2.2,23.59,20.43,12.18,-17.16,-33.1,0.7510631798186226,6.0,0
-5.5,-14.24,-10.22,-0.48,0.57,2.86,23.59,20.43,12.18,-12.36,-29.38,0.7474824281897358,5.0,0
-5.11,-9.34,-0.81,-0.18,0.46,-2.22,0.0,0.0,0.0,7.35,-43.36,0.7472317521582266,6.0,0
-5.94,-12.5,-9.61,-0.47,-0.82,2.0,29.64,3.58,15.95,-22.2,-33.54,0.7426840761453626,6.0,0
-5.27,-9.81,-0.43,0.08,0.09,-2.07,0.0,0.0,0.0,11.04,-43.31,0.7415011662864851,6.0,0
-4.23,2.08,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.7410051512321757,2.0,0
-9.11,3.09,-4.19,-0.54,0.73,0.25,48.07,-23.92,6.06,-86.71,-159.51,0.738846766883532,6.0,0
-7.34,-7.82,-6.56,3.51,-2.63,2.73,32.49,-20.78,4.29,-62.68,-7.78,0.7361893722205891,6.0,0
-5.24,-14.35,-9.62,-0.28,0.44,2.93,23.59,20.43,12.18,-7.32,-27.4,0.7353417136434781,5.0,0
-0.68,-1.63,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.24,0.7352336664467555,2.0,0
-7.34,-7.82,-6.56,3.51,-2.63,2.73,32.49,-20.78,4.29,-62.9,-7.56,0.7330165205430393,6.0,0
-7.63,-8.21,-6.92,3.58,-3.02,2.88,32.49,-20.78,4.29,-63.11,-7.34,0.7322349755227939,6.0,0
-5.44,-10.58,-2.08,0.27,-0.23,-1.94,0.0,0.0,0.0,11.31,-42.97,0.7317177213521933,6.0,0
-6.68,-6.52,-6.51,2.14,-0.79,2.12,26.79,-34.76,1.54,-72.4,1.55,0.7315154051547009,6.0,0
-5.94,-12.5,-9.61,-0.47,-0.82,2.0,29.64,3.58,15.95,-22.36,-33.59,0.7299096190445375,6.0,0
-7.42,-6.57,-6.28,1.59,-0.22,1.94,26.79,-34.76,1.54,-72.15,0.52,0.7288940080709081,6.0,0
-7.63,-8.21,-6.92,3.58,-3.02,2.88,32.49,-20.78,4.29,-63.15,-7.52,0.7279537142712038,6.0,0
-8.09,-6.3,-7.02,0.99,0.31,1.72,26.79,-34.76,1.54,-71.66,-1.58,0.7279150481876991,6.0,0
-5.24,-14.35,-9.62,-0.28,0.44,2.93,23.59,20.43,12.18,-7.15,-27.28,0.7265259010637065,5.0,0
-7.42,-6.57,-6.28,1.59,-0.22,1.94,26.79,-34.76,1.54,-71.9,-0.48,0.7250167801623045,6.0,0
-11.19,-3.58,-4.53,-2.09,2.55,-2.27,0.0,0.0,0.0,-12.42,-29.1,0.7231091263044427,5.0,0
-8.02,-8.0,-5.64,3.37,-3.1,2.96,32.49,-20.78,4.29,-63.01,-8.05,0.7211774559073899,6.0,0
-8.09,-6.3,-7.02,0.99,0.31,1.72,26.79,-34.76,1.54,-71.51,-2.73,0.7208464524488817,6.0,0
-8.85,-6.09,-7.53,0.31,0.89,1.43,26.79,-34.76,1.54,-71.49,-4.41,0.720627907388172,6.0,0
-6.04,-11.68,-3.34,0.35,-0.42,-1.86,0.0,0.0,0.0,11.39,-42.65,0.7206203920085612,6.0,0
-8.02,-8.0,-5.64,3.37,-3.1,2.96,32.49,-20.78,4.29,-63.39,-7.63,0.7184355404534624,6.0,0
-9.39,-4.76,-6.3,-0.97,1.81,0.8,26.79,-34.76,1.54,-72.01,-18.61,0.7181981524844532,6.0,0
-6.66,-10.7,-11.11,-0.37,-1.13,1.9,29.64,3.58,15.95,-22.45,-33.67,0.7181360689137557,6.0,0
-4.71,-14.6,-9.81,-0.07,0.25,2.94,13.44,30.64,13.72,-6.84,-27.12,0.7168513746744979,5.0,0
-10.07,-2.6,-12.97,-2.18,2.34,-2.44,0.0,0.0,0.0,-12.43,-28.75,0.7141035231598634,6.0,0
-0.68,-14.49,-6.46,-0.53,1.55,-1.95,0.0,0.0,0.0,40.34,-64.53,0.7133993647658996,6.0,0
-0.18,-14.6,-7.07,-0.46,1.53,-1.84,0.0,0.0,0.0,40.65,-64.58,0.7113856242451266,6.0,0
-8.85,-6.09,-7.53,0.31,0.89,1.43,26.79,-34.76,1.54,-71.31,-5.71,0.7101404674377341,6.0,0
-6.25,-12.47,-4.61,0.31,-0.45,-1.83,0.0,0.0,0.0,11.41,-42.39,0.708120191804256,6.0,0
-4.71,-14.6,-9.81,-0.07,0.25,2.94,13.44,30.64,13.72,-6.68,-27.02,0.7076675807901623,5.0,0
0.42,-15.03,-7.41,-0.38,1.47,-1.73,0.0,0.0,0.0,40.75,-64.39,0.7065166385242668,6.0,0
-9.01,-7.66,-4.18,2.96,-2.9,3.04,32.49,-20.78,4.29,-63.42,-7.93,0.7058308329051497,6.0,0
-9.09,-3.84,-7.15,-1.48,2.08,0.49,18.6,-40.5,3.94,-71.69,-19.99,0.7046889853377687,6.0,0
-0.76,-14.48,-6.17,-0.69,1.67,-2.06,0.0,0.0,0.0,35.2,-59.52,0.703646308105686,6.0,0
-6.66,-10.7,-11.11,-0.37,-1.13,1.9,29.64,3.58,15.95,-22.79,-33.73,0.7034376746325789,5.0,0
0.79,-15.25,-7.18,-0.28,1.42,-1.62,0.0,0.0,0.0,40.76,-64.08,0.6992931061550683,6.0,0
-8.59,-5.33,-8.43,-2.09,1.94,-2.49,0.0,0.0,0.0,-12.71,-27.95,0.698920877027246,6.0,0
-4.26,2.08,-13.63,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.45,0.6985997851563404,3.0,0
-4.52,-14.76,-9.51,0.05,0.06,2.92,13.44,30.64,13.72,-5.93,-26.85,0.6978555447377861,5.0,0
-6.33,-12.96,-5.45,0.15,-0.36,-1.85,0.0,0.0,0.0,13.72,-42.18,0.6958153370105578,6.0,0
-1.14,-14.44,-7.35,-0.85,1.78,-2.15,0.0,0.0,0.0,30.65,-55.49,0.6956154714803299,6.0,0
-0.67,-1.64,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.24,0.6955263216511792,2.0,0
-1.14,-14.12,-6.82,-0.94,1.83,-2.26,0.0,0.0,0.0,30.23,-55.29,0.691316238668801,6.0,0
-7.24,-8.92,-11.81,-0.4,-1.12,1.88,29.64,3.58,15.95,-22.92,-33.85,0.6898271043204218,5.0,0
0.92,-15.36,-6.59,-0.17,1.32,-1.51,0.0,0.0,0.0,40.78,-63.74,0.6893872367761028,6.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.24,-67.98,0.6881138156062611,6.0,0
-1.64,-14.52,-6.96,-1.03,1.86,-2.34,0.0,0.0,0.0,30.05,-55.33,0.6873294387038436,6.0,0
-4.52,-14.76,-9.51,0.05,0.06,2.92,13.44,30.64,13.72,-0.91,-26.79,0.6852266572724649,5.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,51.05,-68.1,0.6851555334625256,6.0,0
-2.69,-14.39,-6.81,-1.13,1.88,-2.42,0.0,0.0,0.0,29.74,-55.22,0.6844276852850062,6.0,0
-7.53,-7.76,-9.58,-2.01,1.64,-2.5,0.0,0.0,0.0,-12.74,-27.65,0.68400459119663,4.0,0
-6.33,-13.4,-6.35,-0.03,-0.22,-1.88,0.0,0.0,0.0,13.8,-42.03,0.683042404769364,6.0,0
6.45,-10.1,-14.12,0.86,-1.25,-1.97,-32.85,31.36,18.87,51.13,-64.91,0.6827537706248932,6.0,0
-3.08,-14.89,-6.29,-1.21,1.9,-2.47,0.0,0.0,0.0,29.19,-54.81,0.6822577555705837,6.0,0
7.15,-10.5,-16.06,0.88,-1.05,-1.47,-32.85,31.36,18.87,50.87,-68.18,0.6797165769952447,6.0,0
0.73,-15.41,-6.59,-0.03,1.18,-1.4,0.0,0.0,0.0,40.79,-63.39,0.6772710289024888,6.0,0
-9.11,3.09,-4.19,-0.54,0.73,0.25,48.07,-23.92,6.06,-86.53,-153.72,0.6771498570210837,6.0,0
-4.92,-16.09,-7.81,-1.35,1.65,-2.49,0.0,0.0,0.0,23.15,-49.45,0.676990835945262,6.0,0
-4.44,-15.84,-7.25,-1.37,1.79,-2.52,0.0,0.0,0.0,23.16,-49.33,0.676057621850988,6.0,0
-7.24,-8.92,-11.81,-0.4,-1.12,1.88,29.64,3.58,15.95,-27.95,-33.79,0.6760036527118993,5.0,0
-4.28,-15.56,-10.23,0.15,-0.13,2.88,13.44,30.64,13.72,-0.7,-26.74,0.6757686064916095,5.0,0
-9.09,-3.84,-7.15,-1.48,2.08,0.49,18.6,-40.5,3.94,-71.37,-21.31,0.6754051453066664,6.0,0
-4.1,-15.68,-6.65,-1.36,1.87,-2.53,0.0,0.0,0.0,23.34,-49.34,0.675260828234431,6.0,0
-3.69,-15.26,-6.16,-1.29,1.9,-2.51,0.0,0.0,0.0,23.52,-49.33,0.6748796133266394,6.0,0
-5.39,-16.12,-7.8,-1.28,1.47,-2.43,0.0,0.0,0.0,23.15,-49.56,0.6747262560151621,6.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.3,-64.83,0.673504571154235,6.0,0
-6.31,-13.96,-7.14,-0.24,-0.01,-1.93,0.0,0.0,0.0,13.91,-41.95,0.671465997205183,6.0,0
-7.2,-8.53,-9.71,-1.79,1.09,-2.49,0.0,0.0,0.0,-12.86,-27.36,0.6683529962681565,4.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.72,-68.11,0.667596883728188,6.0,0
-5.82,-15.97,-7.01,-1.22,1.32,-2.37,0.0,0.0,0.0,18.69,-45.22,0.6667445416536385,6.0,0
-4.28,-15.56,-10.23,0.15,-0.13,2.88,13.44,30.64,13.72,-0.49,-26.7,0.6664570511538911,5.0,0
-6.07,-15.75,-6.05,-1.19,1.21,-2.32,0.0,0.0,0.0,18.57,-45.21,0.6657711366162289,6.0,0
-6.23,-15.36,-5.88,-1.14,1.11,-2.26,0.0,0.0,0.0,18.11,-44.91,0.6636451555347475,6.0,0
1.05,-15.54,-6.72,0.1,1.06,-1.29,0.0,0.0,0.0,40.8,-63.03,0.6623233745308889,6.0,0
-7.59,-7.95,-10.9,-0.46,-0.9,1.95,29.64,3.58,15.95,-28.3,-33.97,0.662114468761419,5.0,0
-6.29,-14.36,-7.63,-0.47,0.24,-1.99,0.0,0.0,0.0,14.04,-41.94,0.6620677971648508,6.0,0
-6.32,-14.88,-6.56,-1.04,0.97,-2.2,0.0,0.0,0.0,18.02,-44.95,0.6619195590249924,6.0,0
6.99,-10.4,-15.59,1.09,-1.59,-2.38,-25.19,31.9,23.51,51.47,-64.61,0.6613498605749341,6.0,0
-3.99,-19.77,-7.56,-0.01,1.52,2.17,24.66,19.35,-8.75,-4.9,-12.34,0.6602745077793264,6.0,0
-6.35,-14.61,-7.07,-0.9,0.77,-2.13,0.0,0.0,0.0,17.74,-44.78,0.6600834646512503,6.0,0
-3.39,-18.19,-6.27,-0.07,1.42,1.79,24.66,19.35,-8.75,-8.32,-14.37,0.6595845087962235,5.0,0
-6.32,-14.55,-7.47,-0.7,0.52,-2.06,0.0,0.0,0.0,14.11,-41.9,0.6587527523266948,6.0,0
-3.99,-19.77,-7.56,-0.01,1.52,2.17,24.66,19.35,-8.75,-4.97,-12.2,0.6576781619609027,6.0,0
-3.91,-16.37,-11.12,0.22,-0.34,2.83,13.44,30.64,13.72,-0.13,-26.68,0.6572694995797501,5.0,0
-7.75,-12.81,-8.89,-0.04,0.24,1.25,0.0,0.0,0.0,-34.6,-11.49,0.6566276970528466,5.0,0
-4.25,2.06,-13.6,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.44,0.6561849976263554,3.0,0
-8.2,-13.91,-10.58,0.02,0.08,1.35,0.0,0.0,0.0,-34.86,-11.26,0.6559253358148768,5.0,0
-0.67,-1.64,-10.32,0.0,0.0,0.0,2.97,-4.21,38.65,0.37,-80.24,0.6558049808225598,2.0,0
-3.39,-18.19,-6.27,-0.07,1.42,1.79,24.66,19.35,-8.75,-8.18,-14.47,0.6557186084163087,5.0,0
-8.42,-6.5,-4.49,1.86,-2.04,2.97,34.09,-8.42,13.04,-48.12,-34.74,0.6553252490907402,6.0,0
-7.16,-11.98,-7.54,-0.04,0.3,1.17,0.0,0.0,0.0,-34.33,-11.69,0.6551801695886893,5.0,0
-8.46,-13.72,-4.52,1.58,-0.55,2.23,0.0,0.0,0.0,-27.39,-6.54,0.6544570049086085,5.0,0
-8.16,-13.55,-4.35,1.72,-0.59,2.29,0.0,0.0,0.0,-27.46,-6.52,0.6542489704874994,5.0,0
-8.86,-3.02,-7.34,-1.84,2.29,0.19,18.6,-40.5,3.94,-71.02,-23.06,0.6534480379662292,6.0,0
-3.54,-19.16,-8.95,0.18,1.48,2.47,2.04,38.53,-4.8,-5.04,-12.07,0.6527406664751855,6.0,0
7.28,-11.91,-14.92,1.02,-0.85,-0.99,-32.85,31.36,18.87,50.57,-68.03,0.6526136674516184,6.0,0
-8.16,-12.78,-3.6,1.51,-0.46,2.19,0.0,0.0,0.0,-27.31,-6.54,0.6525339390766174,5.0,0
-8.42,-14.96,-12.81,0.17,-0.19,1.47,0.0,0.0,0.0,-35.06,-10.98,0.6525071451145269,5.0,0
-7.31,-12.87,-4.8,1.79,-0.67,2.32,0.0,0.0,0.0,-27.54,-6.51,0.65230858660684,5.0,0
-8.23,-12.62,-3.55,1.49,-0.47,2.14,0.0,0.0,0.0,-27.48,-6.39,0.6516141764226613,5.0,0
-8.37,-12.76,-4.41,1.42,-0.4,2.09,0.0,0.0,0.0,-32.25,-3.42,0.6513562573079039,5.0,0
-3.91,-16.37,-11.12,0.22,-0.34,2.83,13.44,30.64,13.72,0.53,-26.7,0.6485257910768236,5.0,0
-2.5,-16.29,-5.07,0.01,1.2,1.49,24.66,19.35,-8.75,-8.02,-14.54,0.6480887554146768,5.0,0
-7.59,-7.95,-10.9,-0.46,-0.9,1.95,29.64,3.58,15.95,-28.41,-34.12,0.6480236765839895,5.0,0
-6.58,-11.32,-6.36,0.0,0.28,1.11,0.0,0.0,0.0,-34.12,-11.89,0.6478609522776351,5.0,0
-8.42,-6.5,-4.49,1.86,-2.04,2.97,34.09,-8.42,13.04,-47.82,-35.15,0.6464286189505167,6.0,0
-7.21,-8.78,-6.45,-1.6,0.68,-2.47,0.0,0.0,0.0,-18.9,-22.78,0.6464121177909367,4.0,0
1.73,-15.85,-8.6,0.35,0.89,-0.98,0.0,0.0,0.0,43.57,-63.69,0.6463998644546148,6.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.64,-64.39,0.6457643792033262,6.0,0
-3.54,-19.16,-8.95,0.18,1.48,2.47,2.04,38.53,-4.8,-4.73,-11.8,0.6456044867791438,6.0,0
-8.44,-12.61,-5.18,1.36,-0.32,2.04,0.0,0.0,0.0,-32.15,-3.53,0.6453447160491201,5.0,0
-6.84,-12.87,-6.11,1.8,-0.73,2.31,0.0,0.0,0.0,-22.18,-10.75,0.6436553349556052,6.0,0
-13.12,-18.13,-10.78,0.69,-1.53,2.1,0.0,0.0,0.0,-31.31,-11.02,0.6430234440163043,5.0,0
-2.5,-16.29,-5.07,0.01,1.2,1.49,24.66,19.35,-8.75,-7.92,-14.65,0.6395384317885457,5.0,0
-5.9,-10.54,-5.36,0.07,0.19,1.08,0.0,0.0,0.0,-36.37,-12.81,0.6389710206279342,5.0,0
-6.63,-13.12,-5.36,1.78,-0.8,2.3,0.0,0.0,0.0,-22.11,-10.82,0.6385957417808497,6.0,0
-8.5,-12.47,-5.3,1.33,-0.24,1.97,0.0,0.0,0.0,-32.04,-3.66,0.6374985508169527,5.0,0
-7.73,-7.54,-9.55,-0.43,-0.73,2.09,29.64,3.58,15.95,-28.53,-34.26,0.6361827058738011,5.0,0
-2.95,-16.8,-10.69,0.21,-0.43,2.75,13.44,30.64,13.72,5.95,-27.6,0.6358601980618094,6.0,0
-2.63,-17.66,-9.15,0.47,1.3,2.65,2.04,38.53,-4.8,-4.78,-11.63,0.6353545437162601,6.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.62,-67.07,0.6331622857000955,6.0,0
-7.29,-8.51,-3.9,-1.49,0.46,-2.46,0.0,0.0,0.0,-19.22,-22.54,0.6322662672889675,4.0,0
-6.69,-13.63,-6.11,1.71,-0.81,2.29,0.0,0.0,0.0,-22.18,-10.82,0.632121133327644,6.0,0
-2.14,-14.99,-4.25,0.2,0.96,1.38,24.66,19.35,-8.75,-7.75,-14.69,0.6292003191634171,5.0,0
-8.59,-12.29,-5.15,1.31,-0.17,1.9,0.0,0.0,0.0,-32.04,-3.73,0.62891005124077,5.0,0
-8.59,-6.93,-5.21,1.25,-1.56,2.86,34.09,-8.42,13.04,-47.69,-35.46,0.6285289452515235,6.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.77,-64.1,0.6284233487220652,6.0,0
-2.95,-16.8,-10.69,0.21,-0.43,2.75,13.44,30.64,13.72,6.32,-27.63,0.6274165056913149,6.0,0
-9.5,4.25,-0.46,-1.03,1.42,0.0,48.07,-23.92,6.06,-86.4,-149.07,0.6270594707005318,6.0,0
-14.77,-19.81,-8.82,0.6,-1.59,2.29,0.0,0.0,0.0,-31.38,-10.95,0.6266489022448403,5.0,0
-7.09,-14.28,-5.66,1.7,-0.87,2.28,0.0,0.0,0.0,-22.25,-10.8,0.6253278292115246,5.0,0
-5.23,-9.88,-6.13,0.14,0.09,1.08,0.0,0.0,0.0,-36.29,-13.05,0.6251405982325263,5.0,0
-7.73,-7.54,-9.55,-0.43,-0.73,2.09,29.64,3.58,15.95,-28.53,-34.38,0.6250162677133138,5.0,0
-8.59,-6.93,-5.21,1.25,-1.56,2.86,34.09,-8.42,13.04,-47.6,-35.66,0.6238174012875817,6.0,0
1.66,-15.7,-9.1,0.34,0.95,-0.91,0.0,0.0,0.0,43.6,-63.38,0.6223118746981674,6.0,0
-2.63,-17.66,-9.15,0.47,1.3,2.65,2.04,38.53,-4.8,0.36,-11.21,0.6206980830749403,6.0,0
-8.86,-3.02,-7.34,-1.84,2.29,0.19,18.6,-40.5,3.94,-70.66,-24.73,0.6196894973474688,6.0,0
-8.58,-12.06,-4.92,1.28,-0.09,1.83,0.0,0.0,0.0,-31.94,-3.86,0.6195053705470054,5.0,0
-7.26,-8.21,-1.87,-1.45,0.38,-2.47,0.0,0.0,0.0,-19.52,-22.43,0.6187798641182054,4.0,0
-7.98,-7.12,-9.19,-0.26,-0.69,2.26,29.64,3.58,15.95,-33.45,-35.19,0.61810952493249,5.0,0
-2.14,-14.99,-4.25,0.2,0.96,1.38,24.66,19.35,-8.75,-9.87,-15.57,0.6179404833505208,5.0,0
-2.08,-16.88,-10.01,0.1,-0.35,2.64,13.44,30.64,13.72,6.85,-27.69,0.6173309207129619,6.0,0
-0.67,-1.65,-10.33,0.0,0.0,0.0,3.15,-3.67,39.86,0.37,-80.24,0.6161043345175061,2.0,0
-7.54,-15.08,-5.78,1.68,-0.93,2.32,0.0,0.0,0.0,-17.43,-14.82,0.6146491282959203,5.0,0
-4.24,2.08,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,-19.14,-90.44,0.6138653504455007,3.0,0
-8.82,-6.8,-6.12,0.67,-1.12,2.73,34.09,-8.42,13.04,-47.18,-35.94,0.6128126527072705,6.0,0
-8.58,-11.82,-5.08,1.28,-0.05,1.77,0.0,0.0,0.0,-36.14,-1.91,0.6122398500786772,5.0,0
-8.82,-6.8,-6.12,0.67,-1.12,2.73,34.09,-8.42,13.04,-47.11,-36.0,0.6118653336614083,6.0,0
7.44,-12.55,-15.22,1.13,-0.7,-0.69,-32.85,31.36,18.87,50.48,-66.95,0.6108480889096025,6.0,0
-7.98,-7.12,-9.19,-0.26,-0.69,2.26,29.64,3.58,15.95,-33.43,-35.31,0.6100185108109755,5.0,0
-2.08,-16.88,-10.01,0.1,-0.35,2.64,13.44,30.64,13.72,7.47,-27.75,0.6099895384779833,6.0,0
-8.44,-7.0,-7.42,0.24,-0.83,2.59,34.09,-8.42,13.04,-46.73,-36.06,0.609784608235409,5.0,0
-4.22,-8.93,-6.91,0.16,0.07,1.12,0.0,0.0,0.0,-36.1,-13.33,0.6097748055663514,5.0,0
6.86,-13.32,-13.68,1.75,-2.14,-2.64,-25.19,31.9,23.51,51.12,-60.23,0.6086272397753536,6.0,0
-16.8,-22.28,-8.12,0.42,-1.52,2.56,0.0,0.0,0.0,-31.44,-10.94,0.6072331913168322,5.0,0
-2.14,-14.58,-4.28,0.37,0.73,1.36,24.66,19.35,-8.75,-9.81,-15.61,0.6063163150043207,5.0,0
-1.35,-16.09,-9.19,0.79,1.02,2.68,2.04,38.53,-4.8,0.62,-11.03,0.6061039238414082,6.0,0
-7.43,-7.83,-0.86,-1.45,0.39,-2.47,0.0,0.0,0.0,-19.8,-22.44,0.6053097442699332,4.0,0
2.94,-17.2,-11.78,-0.07,0.19,-1.61,0.0,0.0,0.0,14.82,-49.43,0.6051309544781789,6.0,0
-8.19,-16.05,-5.18,1.67,-0.99,2.39,0.0,0.0,0.0,-17.32,-14.98,0.6048073574807363,5.0,0
-8.13,-7.1,-8.67,-0.04,-0.72,2.43,34.09,-8.42,13.04,-33.41,-35.39,0.6047706519310433,5.0,0
2.37,-17.47,-11.58,-0.13,0.27,-1.76,0.0,0.0,0.0,11.8,-48.59,0.6046067295206929,6.0,0
1.4,-18.01,-11.64,-0.2,0.35,-1.91,0.0,0.0,0.0,11.57,-48.66,0.6029188732868092,6.0,0
-8.68,-11.57,-5.13,1.28,0.0,1.72,0.0,0.0,0.0,-36.01,-2.08,0.6011829839745437,5.0,0
3.27,-17.34,-12.51,-0.03,0.12,-1.46,0.0,0.0,0.0,15.01,-49.38,0.6005251159622405,6.0,0
-8.13,-7.1,-8.67,-0.04,-0.72,2.43,34.09,-8.42,13.04,-33.53,-35.49,0.5999220884373866,5.0,0
-1.38,-2.73,1.24,0.15,0.07,-1.43,0.0,0.0,0.0,16.71,13.31,0.599847424774732,4.0,0
-1.15,-1.44,0.57,0.13,0.09,-1.56,0.0,0.0,0.0,16.89,13.21,0.5995806287985505,4.0,0
-8.44,-7.0,-7.42,0.24,-0.83,2.59,34.09,-8.42,13.04,-33.69,-35.52,0.598621328712729,5.0,0
-1.37,-17.2,-9.89,-0.02,-0.16,2.5,0.44,36.92,11.15,12.98,-28.78,0.5985460659980765,6.0,0
0.17,-18.53,-11.77,-0.28,0.43,-2.04,0.0,0.0,0.0,11.44,-48.77,0.5983348184798873,6.0,0
-1.27,-3.28,0.62,0.14,0.05,-1.34,0.0,0.0,0.0,16.66,13.28,0.5973232919516985,4.0,0
1.41,-15.68,-8.79,0.33,1.01,-0.83,0.0,0.0,0.0,43.7,-63.09,0.5969210557647058,6.0,0
-0.81,-0.13,0.28,0.2,-0.02,-1.74,0.0,0.0,0.0,17.18,13.17,0.5952584686332815,4.0,0
-8.46,-2.72,-6.18,-2.02,2.37,-0.07,18.6,-40.5,3.94,-68.37,-38.32,0.5948870563945473,6.0,0
-3.63,-8.28,-7.31,0.18,0.09,1.22,0.0,0.0,0.0,-35.92,-13.66,0.5941314884473043,5.0,0
-8.22,-16.21,-4.43,1.68,-1.02,2.46,0.0,0.0,0.0,-17.34,-15.07,0.5936689113863354,5.0,0
3.26,-17.61,-12.89,0.0,0.08,-1.32,0.0,0.0,0.0,15.14,-49.3,0.5932894391752651,6.0,0
-1.35,-16.09,-9.19,0.79,1.02,2.68,2.04,38.53,-4.8,0.86,-10.9,0.5932570903673754,6.0,0
