v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_lightgbm,anomaly_vote_count,GERCEK_ETIKET_label
12.49,-9.63,-0.87,0.1,-0.12,0.01,88.12,23.2,3.2,-41.19,2.65,0.9999498187863308,5.0,1
10.5,-45.18,-28.13,0.19,0.4,0.5,60.52,36.83,20.8,-34.39,-6.11,0.9999421774790532,6.0,0
40.35,-36.58,-41.82,0.37,0.63,0.22,85.41,21.23,1.99,-40.88,-0.36,0.9999414169389189,7.0,1
44.99,-66.9,-27.25,-0.32,0.17,-0.51,57.09,18.01,12.65,-33.37,-6.0,0.9999295564991691,6.0,1
37.15,-23.29,-9.19,-0.11,0.07,0.35,89.74,23.03,4.76,-40.87,1.33,0.9999253474281821,7.0,1
24.49,-36.4,-20.07,0.16,0.37,0.25,56.55,35.03,19.41,-35.23,-2.55,0.9999047545098149,7.0,1
6.5,-5.42,-0.59,0.0,0.0,-0.01,48.61,17.82,7.97,-34.21,-2.33,0.9998856301390633,5.0,0
-14.39,3.08,8.76,-0.12,1.49,-0.16,55.47,15.68,7.97,-36.99,-3.96,0.999867852660122,5.0,0
-0.53,-0.14,1.27,0.52,-0.54,0.77,83.61,24.46,-1.47,-43.47,3.39,0.9998396918931831,10.0,1
-3.31,-3.59,5.09,0.87,-1.13,1.02,83.25,23.03,1.99,-45.13,2.71,0.9998258024246305,10.0,1
-7.02,-0.16,-6.61,1.52,-1.82,1.1,89.02,23.03,4.76,-43.82,0.85,0.9998070277044178,10.0,1
-2.84,-8.86,-18.12,-0.07,-0.56,0.19,58.35,35.75,20.11,-36.46,-5.8,0.9997486359323874,7.0,1
-5.61,-10.36,-7.95,0.71,0.31,0.57,47.71,19.44,13.34,-36.68,-5.99,0.9997208880384578,6.0,1
-2.42,-8.97,-10.52,0.09,0.1,0.93,51.86,18.54,10.74,-37.36,-2.76,0.9997140871330634,7.0,1
3.83,-11.74,-5.59,-0.63,0.44,-0.25,54.56,18.01,11.26,-36.63,-8.06,0.9997078648599664,8.0,0
0.97,-6.99,-4.74,1.2,-1.39,0.0,50.78,35.75,19.76,-36.16,-8.02,0.9996927967319239,7.0,1
8.44,-5.59,-7.93,0.67,-1.28,0.19,50.42,20.7,10.4,-37.12,-0.24,0.999683938888205,3.0,0
10.96,-78.5,4.23,0.06,0.01,-0.09,54.38,19.26,14.21,-34.13,-7.24,0.9996501035450921,6.0,1
-6.47,-4.38,-8.35,0.39,-0.14,1.03,55.83,18.19,9.69,-37.19,-4.37,0.9996431509093663,7.0,0
23.24,-34.84,-11.56,-0.01,-0.01,0.49,83.61,20.16,-0.08,-41.1,1.23,0.9996327297423675,6.0,1
9.9,-78.5,3.58,0.07,0.17,0.13,52.94,18.19,12.48,-34.1,-5.59,0.999630241914239,6.0,0
28.96,-7.75,-39.21,0.35,0.86,0.17,86.49,24.1,3.03,-41.45,-1.73,0.9995923337377365,7.0,1
-1.33,-11.36,-6.63,0.4,0.85,0.07,81.08,21.59,1.99,-44.67,2.67,0.9995882009713272,8.0,1
-2.13,-7.95,-9.43,0.31,-0.28,0.71,55.11,19.62,13.52,-38.27,0.22,0.9995780091786257,7.0,1
-3.64,0.38,-5.7,0.46,-0.35,0.07,63.76,33.6,18.37,-37.81,-5.59,0.9995493620852415,7.0,1
-6.96,-0.06,2.91,0.71,-0.43,0.84,55.29,19.07,15.08,-36.19,-3.63,0.999505651859022,6.0,1
-11.9,3.64,-25.73,0.42,-0.65,0.9,55.83,18.89,13.52,-37.13,-3.58,0.9994957425968984,10.0,1
-2.87,-5.29,-6.62,0.21,-0.33,0.63,55.29,19.8,13.69,-35.69,-5.75,0.9994901666017632,7.0,1
-6.82,-0.05,-24.14,0.66,-1.05,0.86,79.28,21.23,2.34,-43.65,-3.71,0.9994832284225138,8.0,0
1.05,-4.38,-14.03,0.26,-0.03,0.97,52.4,18.01,10.92,-37.69,-3.27,0.9994519120155282,7.0,1
-3.07,-5.01,-0.25,0.84,-0.83,0.01,59.07,35.75,20.11,-37.18,-3.68,0.9994487018013897,8.0,1
2.99,-4.71,4.78,0.63,0.87,0.06,85.23,24.64,0.08,-43.45,4.88,0.9994440822829895,10.0,1
-3.0,-3.62,-4.8,0.97,0.02,0.09,79.81,22.49,-0.6,-45.54,5.75,0.999421562569102,9.0,1
-14.5,-4.55,-9.34,1.12,-0.72,1.0,85.77,21.23,-1.82,-44.04,1.92,0.9993668925705981,7.0,0
12.91,-45.11,-34.61,0.05,0.4,0.38,61.96,34.67,18.72,-34.86,-3.3,0.9993606603723991,6.0,0
20.44,-10.66,-38.56,0.11,0.37,0.38,61.78,37.0,19.23,-34.73,-5.05,0.9993372799714008,5.0,1
-10.48,0.28,-11.8,-0.32,0.28,0.65,53.84,18.01,14.38,-36.5,-5.31,0.9993334470579959,5.0,1
12.78,-56.94,-21.92,-0.09,0.01,-0.22,85.23,21.05,2.5,-40.62,-2.8,0.999330931068274,6.0,1
-3.63,-2.27,-7.82,0.79,-0.56,0.92,83.61,23.03,5.11,-44.45,6.89,0.9993290939202762,7.0,1
-9.06,-3.35,-13.72,0.77,-1.21,1.22,85.05,23.74,0.26,-44.59,2.58,0.9992594742066817,6.0,1
9.35,-12.43,-0.15,-0.34,-0.77,-0.38,50.78,14.24,7.97,-37.71,-1.4,0.9992387518221076,9.0,0
10.99,-52.52,23.27,-0.01,0.0,-0.5,83.43,23.2,5.63,-40.64,-2.4,0.9992310537130642,7.0,1
1.52,-11.03,1.21,0.05,-0.13,0.0,46.27,14.78,7.1,-39.41,-2.21,0.999116971382452,4.0,0
1.01,-24.61,-52.35,-0.26,-0.63,-0.25,57.45,37.72,23.75,-34.06,-6.97,0.9991098048664291,10.0,1
-16.44,-5.44,3.52,1.82,-0.39,0.85,57.99,37.18,20.8,-37.88,-3.72,0.999079712389857,8.0,1
-0.41,-9.53,-6.83,0.03,0.92,-0.33,83.25,22.31,-1.47,-42.86,3.98,0.9990405049816503,6.0,1
1.59,-9.35,-1.51,0.69,0.85,-0.16,83.97,20.16,1.64,-46.22,12.5,0.9990139747174085,9.0,0
0.77,-9.11,-23.08,0.21,-0.32,0.91,55.29,19.44,11.96,-36.15,-4.74,0.9990116017394309,6.0,1
-3.55,-5.54,-15.86,1.24,-1.27,1.06,86.31,22.85,3.2,-43.27,3.37,0.9989734685833345,10.0,1
-12.23,-11.84,-14.49,0.41,-0.72,0.6,86.31,19.26,-0.6,-43.9,1.67,0.9989506055875303,9.0,1
-7.2,2.75,-15.8,0.72,-0.97,0.81,82.89,24.1,6.15,-45.36,4.51,0.998935659285841,10.0,1
11.19,-8.02,-9.01,-0.75,0.78,0.06,51.86,16.75,11.44,-39.95,-8.97,0.9988391193085493,7.0,1
2.78,-11.72,-9.86,0.43,0.55,0.04,89.74,21.59,3.72,-43.96,1.02,0.9988178364167454,10.0,1
0.33,-20.72,-6.01,-0.6,0.23,0.07,81.26,18.54,1.47,-43.49,-0.85,0.9987987081004096,9.0,0
2.83,-4.72,-27.98,-0.78,-0.83,0.42,81.08,24.1,2.34,-43.64,-0.18,0.9987736205136276,10.0,1
5.77,-13.06,9.34,1.1,0.51,0.0,83.79,15.32,-2.34,-42.29,2.12,0.9986842364921146,7.0,1
5.29,-0.89,-3.05,0.05,-0.59,0.46,84.87,23.56,1.47,-43.5,2.69,0.9986681538667627,7.0,1
10.19,-10.55,-26.05,0.4,-1.21,0.01,56.19,17.11,11.44,-36.72,-3.19,0.9985913509163693,4.0,1
-15.47,-7.6,-20.82,0.9,-0.94,0.56,90.1,20.87,4.42,-44.04,1.07,0.9984526381889854,8.0,1
0.95,-6.52,-8.28,0.08,-0.21,0.54,85.59,20.34,2.5,-43.07,1.84,0.9984200009620267,9.0,1
6.03,-11.53,-14.94,0.31,-0.56,0.28,50.24,18.01,10.22,-35.33,-4.68,0.9984036914927867,3.0,0
8.68,-4.74,-2.54,1.28,0.38,0.21,83.97,21.23,-2.5,-45.17,4.44,0.9983966824990627,10.0,1
8.94,-15.89,4.79,1.01,0.8,0.43,78.38,21.77,0.08,-44.43,4.24,0.9983301466590014,7.0,1
7.42,-1.91,1.34,0.46,-0.07,0.47,80.9,19.98,1.12,-45.26,-0.52,0.998202153716425,10.0,1
15.69,-42.27,-1.83,0.02,0.85,-0.07,48.43,15.5,8.49,-35.21,0.82,0.9981169491295517,5.0,0
-4.88,3.36,-16.21,1.49,-0.63,1.13,83.25,23.38,-1.82,-43.93,5.33,0.9979843199514662,9.0,1
0.3,-5.88,-3.91,-0.19,0.11,0.0,83.43,22.13,5.28,-43.28,-0.11,0.9977510518150177,6.0,0
6.53,-15.78,-16.48,-0.67,0.0,0.03,89.56,22.13,2.5,-45.36,1.83,0.9974374713611176,10.0,1
1.27,-8.13,8.49,-0.04,0.28,-0.01,42.66,19.07,-46.28,-20.7,61.44,0.9972432975087041,2.0,0
-6.21,-1.48,-4.73,0.36,-0.36,1.34,52.04,19.07,11.26,-37.83,-4.21,0.997050446582886,4.0,1
6.01,-9.31,8.85,0.64,0.0,0.3,80.0,19.44,1.99,-43.37,0.29,0.9969780454549856,8.0,1
-5.05,-0.79,14.55,1.64,-1.46,1.02,84.87,20.7,-0.26,-45.6,11.52,0.9969156968899303,6.0,1
14.83,-20.02,-3.58,0.02,0.08,0.09,48.07,15.86,8.14,-34.87,1.51,0.9968321647037506,3.0,1
1.9,-0.89,12.21,-0.05,-0.35,0.0,27.51,26.97,-33.11,-8.25,93.26,0.996710999420323,2.0,0
-10.31,3.7,-5.23,0.87,-0.87,0.96,77.66,22.85,0.08,-43.55,2.85,0.9964729401155769,5.0,1
-5.88,7.31,-45.71,1.38,-0.66,0.82,86.67,21.77,3.9,-44.41,1.53,0.996412143205206,9.0,1
3.52,78.88,-21.89,0.22,0.56,-0.17,85.05,22.67,-0.43,-41.78,2.16,0.9963920537453593,6.0,0
-4.67,-5.82,11.55,1.05,-0.55,0.71,85.95,19.98,2.16,-42.36,-0.32,0.996386968660468,6.0,1
1.99,-13.27,2.41,0.09,-0.04,0.42,80.72,19.8,-2.5,-43.53,-3.08,0.9963328157062384,10.0,1
-5.35,-22.25,2.76,0.35,-1.59,0.41,50.96,18.01,10.22,-36.44,-1.67,0.9962014128635778,5.0,0
7.44,-18.0,-13.26,0.19,-0.14,0.02,56.73,16.57,9.88,-37.17,-3.08,0.996022557228043,6.0,1
3.31,-9.93,0.33,0.18,0.19,0.28,75.67,21.23,1.3,-44.58,0.92,0.9959235675677709,7.0,1
-5.05,-68.88,20.71,-0.02,-1.11,0.71,81.08,21.95,2.68,-43.01,2.18,0.995383245398892,9.0,0
-10.92,-10.3,-12.65,0.62,-0.6,0.63,83.07,18.54,0.08,-43.43,-0.44,0.9953480625026213,7.0,1
4.09,-6.66,-17.76,-1.82,0.56,-0.27,80.9,23.92,0.43,-44.48,2.01,0.9948830554811366,8.0,0
10.49,-5.55,-12.01,-0.51,-0.67,-0.27,46.27,16.93,11.61,-32.8,-7.36,0.9945212638888313,8.0,0
-5.74,0.36,-7.2,0.16,-0.56,0.76,47.89,14.6,6.93,-37.14,-1.18,0.9940752958964829,7.0,1
-9.99,-12.14,3.84,0.59,-0.65,0.68,46.99,16.93,11.61,-37.84,-2.25,0.9940752958964829,7.0,1
-17.36,1.99,-0.3,0.46,-0.41,0.44,47.89,32.17,21.15,-37.68,-4.37,0.9940752958964829,8.0,1
-6.38,-8.1,-8.86,0.63,-1.57,0.04,49.69,33.6,21.15,-37.75,-6.64,0.9940752958964829,9.0,1
-1.43,-8.0,24.39,1.03,-1.03,0.0,54.38,35.75,19.76,-36.24,-3.4,0.9940752958964829,10.0,1
-19.37,-6.35,-5.4,0.68,-0.38,0.43,56.01,35.93,19.93,-37.14,-2.41,0.9940752958964829,7.0,0
-15.44,-5.62,-2.47,0.44,-0.28,0.41,51.14,37.54,18.72,-37.43,-2.21,0.9940752958964829,8.0,1
-17.07,0.22,0.65,-1.5,-2.0,0.26,50.42,34.67,20.8,-38.01,-4.73,0.9940752958964829,9.0,1
-7.36,-6.06,-0.02,-0.71,0.21,-0.14,49.33,30.02,20.11,-35.59,-7.21,0.9940752958964829,5.0,1
-4.46,-7.64,-6.74,-0.3,-0.02,0.03,55.29,28.4,17.16,-35.32,-8.63,0.9940752958964829,5.0,1
4.98,2.29,15.34,0.56,-1.19,-0.27,56.19,38.61,21.15,-38.3,-5.54,0.9940752958964829,10.0,1
-6.88,-12.82,-6.45,0.66,-0.74,0.6,46.27,16.93,11.61,-32.91,-7.94,0.9940752958964829,7.0,1
7.3,-4.59,-20.98,0.53,0.81,-0.01,45.18,18.72,8.84,-37.56,-1.7,0.9940752958964829,10.0,1
-14.81,-12.48,-15.31,0.3,-0.56,0.64,47.89,18.54,11.78,-37.13,-4.95,0.9940752958964829,6.0,0
9.15,-6.37,-8.76,-0.86,-0.43,-0.45,48.07,20.52,12.65,-37.56,-5.42,0.9940752958964829,9.0,1
-17.54,-0.56,-4.48,-1.04,-1.56,0.19,50.78,33.6,22.19,-35.52,-10.67,0.9940752958964829,8.0,1
-4.34,-10.88,-10.49,-0.28,-1.05,0.78,43.74,16.21,6.06,-36.04,0.48,0.9940752958964829,7.0,1
-5.94,-10.18,-15.01,-0.42,-1.84,0.43,46.27,17.29,6.76,-37.31,1.66,0.9940752958964829,8.0,1
-16.11,-3.61,12.17,1.34,-0.24,0.46,45.18,18.72,8.84,-35.83,-1.89,0.9940752958964829,5.0,0
-9.48,-8.89,-3.26,0.36,-0.77,0.87,48.25,17.47,10.74,-38.22,-2.08,0.9940752958964829,7.0,1
-7.1,-5.14,-2.87,0.68,-0.68,0.9,48.61,16.75,11.78,-36.47,-0.04,0.9940752958964829,7.0,1
-16.23,-7.96,1.2,0.86,-0.65,0.86,48.97,18.54,11.78,-36.8,-7.41,0.9940752958964829,8.0,1
-1.86,-4.21,-9.32,0.33,0.68,-0.15,46.45,21.05,10.4,-35.52,-5.46,0.9940752958964829,8.0,1
1.79,0.68,-12.09,-1.3,-0.94,0.14,48.79,20.16,9.18,-36.83,-1.29,0.9940752958964829,8.0,1
-15.75,-20.77,-5.23,1.15,-0.43,0.9,49.51,19.44,9.52,-37.22,-0.81,0.9940752958964829,7.0,0
-8.34,-8.5,-0.49,0.71,-0.32,0.56,49.15,15.86,8.14,-38.46,2.3,0.9940752958964829,6.0,1
-15.37,-2.37,-8.24,0.73,-0.62,0.47,49.51,30.91,19.93,-36.95,-4.18,0.9940752958964829,6.0,1
-9.93,-4.59,-20.07,0.08,-0.39,0.34,55.11,31.45,17.32,-36.93,-5.17,0.9940752958964829,6.0,0
-11.79,-2.76,-8.94,-0.22,-1.2,0.15,52.22,31.09,20.8,-35.65,-8.43,0.9940752958964829,6.0,1
-14.84,-1.51,6.43,-0.06,-0.23,0.34,50.78,33.6,14.9,-37.22,-3.39,0.9940752958964829,6.0,1
-1.99,-5.37,-10.19,-0.27,-2.04,-0.08,53.3,36.83,22.19,-37.91,-5.41,0.9940752958964829,9.0,1
-3.67,-7.64,-15.31,1.21,-1.3,0.15,51.14,31.45,21.84,-38.17,-6.38,0.9940752958964829,10.0,1
-17.29,-0.39,1.04,0.14,0.08,0.34,55.47,32.17,18.72,-35.8,-5.85,0.9940752958964829,7.0,1
-15.54,-4.47,-8.82,1.0,-0.82,0.93,73.15,22.31,0.95,-43.28,-1.66,0.993921079977628,9.0,1
-11.53,6.31,10.77,0.19,-0.39,0.43,52.76,30.91,18.55,-38.09,-3.51,0.9936543554278188,8.0,1
-6.42,-7.74,-7.81,-0.61,-0.5,0.45,46.27,14.78,7.1,-39.94,-2.07,0.9933862183364089,5.0,1
-1.45,-8.42,12.31,1.46,0.73,0.12,51.14,15.32,9.01,-38.05,-4.05,0.992551228515767,3.0,1
-9.05,-3.01,-1.25,0.16,-0.56,0.91,48.79,14.78,7.1,-38.36,0.17,0.992551228515767,2.0,1
-15.46,-1.97,4.82,0.33,-0.25,0.35,57.09,39.86,20.97,-36.4,-1.46,0.992551228515767,6.0,1
0.7,-9.65,-9.77,-1.99,-0.79,-0.4,52.4,33.06,21.67,-33.87,-8.39,0.992551228515767,8.0,0
-9.33,-3.18,-24.41,2.02,-1.14,1.06,91.91,20.87,1.64,-42.79,0.58,0.9917754145176065,6.0,1
-7.85,-5.68,-9.13,1.04,-0.61,1.56,55.47,17.47,9.69,-38.58,-3.41,0.9916742986174025,3.0,1
-14.86,3.6,-8.25,2.09,-0.73,0.86,89.56,22.13,2.5,-43.05,0.49,0.9916155498997388,5.0,0
2.43,-14.79,6.2,0.87,-0.52,0.45,73.15,22.31,0.95,-43.39,-0.57,0.9910329546042783,7.0,0
6.72,-5.97,-18.48,-1.33,-1.13,-0.08,83.61,23.03,5.11,-44.64,6.48,0.9907613416785582,4.0,0
7.08,-11.84,-3.66,0.79,-0.86,0.06,83.79,24.64,3.9,-41.65,0.74,0.9907289343240414,5.0,1
6.71,-9.05,6.47,0.3,-0.24,0.51,77.11,18.01,2.68,-44.49,-0.68,0.9906112533040676,9.0,1
-1.93,-6.84,-13.94,-0.27,0.74,-0.1,52.04,16.57,7.8,-34.94,-0.43,0.9890257946735997,6.0,0
-12.71,-1.63,11.43,1.17,-0.54,0.97,53.3,17.47,12.13,-36.49,-6.3,0.9890145188084399,2.0,1
-17.47,1.9,-10.3,0.34,-0.17,0.84,53.84,19.07,10.92,-38.42,-5.32,0.9886922975036389,3.0,0
-4.18,-8.43,-26.28,-0.93,-1.07,0.06,82.35,25.36,3.9,-41.54,3.31,0.9868343754697356,8.0,0
7.0,-9.55,-2.7,0.21,0.11,-0.11,83.79,19.98,4.24,-42.98,-0.1,0.9865520882362812,9.0,1
-1.17,-11.98,-3.11,0.68,-0.56,0.55,79.09,19.98,1.82,-45.06,0.72,0.986462595723425,8.0,1
-11.28,-2.54,-17.91,0.21,-1.23,1.12,80.9,25.71,-0.95,-43.16,-2.16,0.9860994401986574,9.0,1
7.52,-9.8,5.09,0.0,0.1,0.45,82.17,20.52,1.64,-44.36,1.98,0.9857875992373121,10.0,1
6.51,-10.32,-2.74,0.07,-0.16,-0.06,82.17,17.64,-0.78,-43.28,0.97,0.9852848106844388,10.0,1
-15.36,5.39,-26.02,0.91,-0.42,0.9,83.43,22.13,5.28,-43.74,0.45,0.9834094440326875,6.0,1
-24.38,5.98,-4.83,0.99,-0.43,0.55,84.87,19.98,3.55,-41.99,-0.94,0.9821093559366412,4.0,0
0.18,-17.63,-1.97,-0.12,0.53,0.19,50.42,17.82,10.74,-38.35,-4.22,0.9789088490397296,4.0,1
-12.02,-6.86,-12.9,1.01,-0.84,1.05,84.87,23.56,0.08,-42.55,2.89,0.9781842333984508,6.0,1
10.31,-47.09,-30.34,0.24,0.87,0.49,88.84,20.34,3.9,-40.73,-1.88,0.9765781150717485,7.0,1
0.77,-7.15,-5.81,-0.62,1.15,-0.23,54.56,16.57,10.22,-32.99,-6.65,0.9758864621371883,4.0,0
-15.56,3.69,-21.55,1.05,-0.98,1.12,80.9,19.98,1.12,-44.36,-1.3,0.9752874347100834,7.0,0
4.34,-8.49,-16.13,-0.63,-0.05,-0.3,52.76,19.44,9.88,-36.79,-2.33,0.973223320591995,6.0,0
-13.46,-5.9,-6.68,0.26,-1.17,0.89,84.69,19.8,-0.08,-42.26,3.32,0.971279582916565,5.0,0
-2.97,-11.97,0.01,-1.17,0.77,-0.3,83.43,23.2,5.63,-42.42,4.37,0.9709995305411041,7.0,0
-9.39,-24.57,-41.4,0.28,-1.12,0.52,90.1,20.87,4.42,-44.6,2.32,0.9678087896768208,7.0,0
-6.91,-2.86,-1.04,0.27,-0.35,1.26,50.24,18.01,10.22,-34.61,-5.76,0.9634282861963417,2.0,0
-16.76,-10.74,-3.62,1.43,-0.56,1.5,50.96,18.01,10.22,-36.21,-2.93,0.9633890350478491,3.0,1
-13.93,2.25,-14.6,1.11,-0.79,0.99,82.35,20.34,-1.99,-42.2,0.41,0.962559381477337,5.0,1
2.36,-13.09,1.84,0.3,-0.22,-0.52,52.58,18.54,11.44,-40.61,5.47,0.9589416300387689,3.0,0
10.5,-12.25,-3.97,-0.33,0.69,-0.28,53.84,19.07,10.92,-38.27,-5.94,0.9559062669739653,4.0,1
-17.39,-14.11,19.39,0.27,0.25,0.2,50.24,18.01,10.22,-34.17,-6.32,0.9524204364622378,2.0,1
6.0,-17.32,-5.65,0.12,-0.14,0.35,54.02,17.47,11.09,-37.08,-1.46,0.9520368035201601,5.0,0
23.13,-5.18,1.74,0.01,-0.16,0.06,87.94,23.74,0.95,-40.53,2.26,0.9502390943101792,3.0,0
7.52,-9.8,5.09,0.0,0.1,0.45,82.17,20.52,1.64,-44.05,2.23,0.9364337501009429,6.0,0
-20.27,67.19,-8.15,1.53,0.13,0.71,54.2,16.57,11.96,-38.78,-0.55,0.9355855635130881,3.0,0
-6.22,-6.45,-0.74,1.46,-0.51,1.24,55.11,18.54,10.4,-35.17,-3.68,0.9321340198791224,5.0,1
6.36,-11.04,0.73,-0.59,0.37,0.09,54.2,16.57,11.96,-39.0,-0.61,0.931410720919418,2.0,1
-0.47,-10.17,-14.15,0.14,0.06,0.23,53.3,18.19,9.01,-35.24,-4.57,0.9293590151680053,6.0,0
-11.6,-5.42,2.64,0.76,-0.64,1.04,53.66,17.47,10.74,-34.12,-3.23,0.9263807672170635,3.0,1
-8.69,-6.26,1.47,-1.37,0.66,-0.21,89.74,22.31,3.38,-40.39,-0.8,0.9129736660680101,6.0,1
-10.49,-4.51,-3.08,0.08,0.02,0.16,82.17,19.8,1.64,-41.65,-0.77,0.899774325664946,2.0,0
6.36,-11.04,0.73,-0.59,0.37,0.09,54.2,16.57,11.96,-38.45,-0.78,0.8941248996151248,4.0,0
-2.89,-6.43,-13.58,-1.02,0.61,-0.41,81.62,19.98,-1.99,-40.8,0.98,0.887931288294569,8.0,0
-8.57,1.65,-6.64,0.85,-0.7,1.43,56.19,17.11,11.44,-36.15,-3.25,0.8871410132587702,4.0,0
-12.6,10.41,-3.0,0.99,-0.62,0.56,80.9,23.92,0.43,-42.7,2.87,0.8713308740786773,5.0,1
5.8,-17.1,-12.35,0.36,-0.25,0.47,55.11,16.39,9.01,-35.67,-2.32,0.8639587800848496,3.0,1
8.02,-10.77,-27.87,-0.68,-0.48,-0.1,82.71,22.13,-0.95,-44.87,2.27,0.8205934654621958,7.0,0
-10.53,-8.77,-5.46,1.57,-0.72,0.75,88.84,20.34,3.9,-40.26,-3.36,0.8202815403381513,5.0,0
-23.27,66.37,-15.84,0.2,-0.36,0.71,50.42,17.82,10.74,-38.06,-3.93,0.7927259682993967,3.0,0
-5.73,2.35,10.88,0.95,-0.52,0.41,2.79,-9.23,17.25,-18.82,87.34,0.7801854930648552,3.0,0
2.47,23.27,21.72,-0.08,0.07,-0.62,54.38,18.19,9.01,-34.35,-3.44,0.7502005799135661,3.0,0
12.74,-12.58,-7.73,0.0,-0.09,0.28,84.15,19.62,3.55,-42.5,0.77,0.749970116710336,3.0,0
-21.63,8.15,-29.02,0.45,-0.12,0.16,79.28,21.23,2.34,-42.85,-3.38,0.7291705305345857,3.0,1
-18.0,-34.81,12.6,0.42,-1.76,0.46,52.04,16.57,7.8,-35.15,0.41,0.7246573401739294,6.0,0
