v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_deep_svdd,anomaly_vote_count,GERCEK_ETIKET_label
-1.93,0.01,11.19,0.0,0.0,0.01,208.08,181.64,306.55,-8.42,92.51,0.08331057979287959,3.0,0
-9.19,-1.55,-4.78,-0.92,2.26,-0.47,17.71,-39.96,3.43,-44.95,-75.58,0.08325185329012887,6.0,0
-19.14,78.88,70.17,-0.95,0.02,-0.36,82.17,20.16,6.15,-41.66,-3.41,0.08252498765847607,2.0,0
-0.27,2.43,9.48,-0.19,0.28,-0.23,201.23,81.99,230.27,-10.77,97.72,0.08169421846470637,3.0,0
-20.07,78.4,47.92,-0.03,0.06,-0.63,54.93,19.8,14.38,-34.46,-6.87,0.08125731092148256,2.0,0
40.11,-44.39,24.61,-1.25,0.97,1.63,0.0,0.0,0.0,-12.81,-34.63,0.08079797101165195,3.0,1
-20.3,-52.07,-14.67,0.37,-0.04,0.71,45.73,17.47,7.97,-34.81,-7.82,0.08052789156422915,2.0,0
-28.33,-0.75,-2.37,0.88,1.21,0.43,50.42,33.6,22.88,-34.08,-7.21,0.0802779020372687,4.0,0
-22.5,69.0,-49.37,-2.9,1.46,-3.17,0.0,0.0,0.0,-8.07,-32.81,0.07992606662637314,5.0,0
-8.24,2.39,-3.58,0.1,0.03,0.03,52.76,-3.85,18.89,-64.95,-31.55,0.07960391138603717,5.0,0
-37.04,72.49,-7.54,0.82,0.66,-0.36,0.0,0.0,0.0,-12.97,-35.21,0.07931880353903668,2.0,0
-0.27,2.43,9.48,-0.19,0.28,-0.23,201.23,81.99,230.27,-10.46,98.15,0.07872959106610743,3.0,0
-76.9,69.23,30.55,-0.23,-0.22,0.43,81.44,18.01,0.6,-44.18,-1.21,0.07847950967851386,2.0,0
-9.87,-3.05,-7.31,-0.41,1.51,-0.39,19.67,-37.63,6.34,-44.28,-75.2,0.07832758137740418,6.0,0
-0.17,1.03,10.38,-0.71,0.72,-0.28,306.76,-16.04,262.0,-5.91,94.51,0.07805873286246513,5.0,0
-7.23,-2.93,-4.9,1.97,-0.23,-0.14,71.16,8.15,6.32,-48.57,-4.98,0.0778604608719487,5.0,0
-1.06,0.78,9.11,0.0,0.0,0.0,-232.61,164.07,138.72,-8.33,91.52,0.07776263848374403,3.0,0
78.9,-75.12,-32.87,0.61,0.0,-0.26,28.22,5.73,14.93,-6.03,-33.17,0.07708036200340548,2.0,0
-6.03,-5.83,-6.35,0.23,-0.53,0.19,45.18,31.99,13.69,-20.64,-3.93,0.07700827896459977,1.0,0
15.82,-29.84,-4.96,0.27,-0.03,1.03,0.0,0.0,0.0,-8.88,-30.74,0.07675108297097143,2.0,1
-4.38,2.63,7.78,1.11,-0.66,0.68,20.83,-38.97,-44.46,-31.85,88.78,0.07659724856172459,5.0,0
77.59,-23.02,13.68,-0.15,0.45,0.8,0.0,0.0,0.0,-7.82,-32.22,0.0764563205714305,3.0,1
-25.06,78.4,14.54,-0.42,0.67,-0.01,62.86,35.57,19.59,-35.68,-3.0,0.07636300854031179,2.0,0
-47.53,43.24,18.29,-0.53,1.31,0.06,58.35,38.26,20.8,-36.46,-3.18,0.07622863021315883,2.0,0
0.0,-66.34,-30.07,1.12,-0.14,0.41,49.33,18.89,11.78,-34.58,-6.06,0.07599627792775655,4.0,0
-20.3,-52.07,-14.67,0.37,-0.04,0.71,45.73,17.47,7.97,-34.89,-7.82,0.07577748427180213,2.0,0
-8.86,-3.02,-7.34,-1.84,2.29,0.19,18.6,-40.5,3.94,-71.02,-23.06,0.075700936806227,6.0,0
-1.64,0.53,8.25,0.41,-0.44,0.18,166.41,92.56,323.02,-10.2,90.44,0.07532549321262075,4.0,0
-1.25,0.54,9.25,-0.92,1.0,-0.31,166.59,-24.46,-214.97,-7.03,91.76,0.0747881957764967,5.0,0
-38.66,59.16,-27.59,0.09,-0.67,-0.23,0.0,0.0,0.0,6.44,-29.81,0.07428575945063998,6.0,0
-74.45,70.51,47.45,-0.17,0.53,0.76,81.08,15.86,-3.2,-44.66,-0.57,0.07427370733557521,5.0,0
-22.52,-6.42,-22.46,-0.82,1.47,-0.23,41.58,-18.89,14.38,-59.4,-75.38,0.07380754677373579,5.0,0
-8.18,-3.19,-0.68,-0.89,0.67,0.31,62.86,19.26,-7.88,-36.81,-3.05,0.07363379697922953,1.0,0
-10.6,-5.23,1.8,0.49,-0.12,0.83,55.83,28.22,21.49,-42.44,-7.78,0.07288180746441965,5.0,0
0.69,-5.23,-0.39,0.39,-0.62,-0.3,59.44,10.66,9.01,-44.98,-1.41,0.07265572007419585,1.0,0
-18.98,71.51,-0.7,-0.25,-0.07,0.57,52.94,18.19,12.48,-35.54,-4.99,0.07264333726085188,3.0,0
-36.65,78.66,29.4,-0.38,-0.28,0.4,86.31,22.85,3.2,-42.2,2.72,0.07253835892932753,2.0,0
-0.8,0.72,8.3,0.04,0.17,-0.05,166.41,92.56,323.02,-10.32,90.59,0.07221011332901602,4.0,0
-59.97,68.12,36.82,0.14,-0.73,0.48,55.65,17.64,11.61,-35.49,-2.65,0.072154459564443,2.0,0
-4.38,2.63,7.78,1.11,-0.66,0.68,20.83,-38.97,-44.46,-31.81,89.69,0.07193516526803809,5.0,0
-59.97,68.12,36.82,0.14,-0.73,0.48,55.65,17.64,11.61,-36.22,-2.05,0.07192489065622412,2.0,0
-8.46,-2.72,-6.18,-2.02,2.37,-0.07,18.6,-40.5,3.94,-68.37,-38.32,0.071852279418778,6.0,0
24.04,-26.83,-34.85,-1.74,0.08,2.4,0.0,0.0,0.0,-14.09,-34.62,0.07147561407875132,5.0,1
-7.91,-4.63,1.83,-0.49,0.32,0.5,45.18,20.52,3.98,-31.63,0.64,0.07147121854745674,1.0,0
-1.17,1.81,9.9,-0.01,0.03,-0.02,201.23,81.99,230.27,-10.62,97.93,0.07128458529915603,3.0,0
-6.03,-5.83,-6.35,0.23,-0.53,0.19,45.18,31.99,13.69,-20.56,-3.83,0.07024132408886362,1.0,0
-28.52,34.04,27.87,-0.12,-0.24,-0.43,51.68,1.88,9.18,-52.59,-20.11,0.06989317688238764,2.0,0
-7.91,-4.63,1.83,-0.49,0.32,0.5,45.18,20.52,3.98,-31.38,0.8,0.06940010574807703,1.0,0
-4.54,2.85,8.66,0.88,-0.34,0.61,20.83,-38.97,-44.46,-31.83,90.26,0.06927006324280711,5.0,0
-12.41,-4.46,2.31,0.24,0.43,0.65,55.83,28.22,21.49,-41.84,-8.09,0.0687417038462852,5.0,0
53.17,-10.37,-51.66,-0.04,0.44,0.61,81.98,15.68,-2.68,-41.45,0.6,0.06851083051707609,2.0,1
-1.71,-78.5,-30.49,0.0,0.36,0.14,49.69,18.89,11.09,-34.23,-5.07,0.06843513735538893,2.0,0
-7.39,-4.57,1.29,-0.57,0.55,0.43,45.18,20.52,3.98,-31.16,0.91,0.06816946262532401,1.0,0
-20.73,-12.33,0.98,1.06,-0.98,0.37,46.81,13.53,7.28,-38.32,-5.75,0.06808991131704602,4.0,1
-46.16,-78.02,-23.7,-0.06,0.26,0.38,85.41,21.95,5.46,-41.3,-2.18,0.06803899296811011,2.0,0
-21.87,-78.5,-1.59,-0.09,0.08,0.27,56.37,19.44,13.69,-34.09,-6.94,0.06801785124339858,2.0,0
78.02,-78.82,34.65,-0.65,0.78,2.13,0.0,0.0,0.0,-14.05,-34.08,0.06790445847788085,3.0,1
28.24,-34.79,-2.67,0.13,-0.13,0.15,47.89,16.39,9.01,-34.29,-1.7,0.06783283933527237,7.0,1
0.04,1.79,4.88,0.57,-1.03,-0.08,72.95,8.15,7.36,-49.68,-3.54,0.06724013615828472,1.0,0
-47.36,78.88,36.11,0.32,-0.98,0.68,82.89,24.1,6.15,-44.82,4.47,0.0670524556987665,5.0,0
-10.08,-1.61,0.21,0.2,-0.1,0.09,59.25,0.08,8.84,-54.85,-6.84,0.06703529613250053,1.0,0
34.07,-34.79,-53.52,-0.27,0.59,0.12,80.0,15.5,-3.9,-41.0,0.94,0.06686940960818895,2.0,1
-44.23,78.88,57.69,-0.27,0.47,-0.53,87.04,21.05,1.82,-41.78,-1.2,0.06684689916004401,2.0,0
-9.87,-3.05,-7.31,-0.41,1.51,-0.39,19.67,-37.63,6.34,-44.18,-74.95,0.06675666905316634,6.0,0
-1.36,1.77,8.47,-0.13,0.21,-0.18,201.23,81.99,230.27,-10.86,97.62,0.06675395916448942,3.0,0
-28.08,72.49,1.58,-0.35,1.04,-1.16,0.0,0.0,0.0,-15.01,-36.11,0.06663001161222672,2.0,0
-5.25,-4.88,0.43,0.4,-0.68,0.06,45.18,31.99,13.69,-20.49,-3.7,0.06639960677224649,1.0,0
-7.94,-2.88,-0.46,-0.85,0.52,0.18,62.86,19.26,-7.88,-36.38,-1.75,0.06633002234266153,1.0,0
-2.65,-0.82,9.42,-1.08,1.29,-0.38,166.59,-24.46,-214.97,-8.56,88.13,0.06589602218847582,5.0,0
-8.86,-3.02,-7.34,-1.84,2.29,0.19,18.6,-40.5,3.94,-70.66,-24.73,0.06571398656486255,6.0,0
-47.49,69.0,-8.86,0.31,0.09,3.17,0.0,0.0,0.0,-13.49,-31.9,0.06563835770561857,4.0,0
-7.39,-4.57,1.29,-0.57,0.55,0.43,45.18,20.52,3.98,-30.57,1.99,0.06557102386154494,1.0,0
-11.64,-2.11,-1.19,0.2,0.02,0.1,59.25,0.08,8.84,-54.8,-7.02,0.06552353191422423,1.0,0
-10.53,-6.3,0.56,1.1,-0.76,-0.01,72.95,33.42,39.0,-41.56,-13.23,0.06551265561526337,3.0,0
-74.93,78.4,21.27,0.57,-0.04,0.52,54.02,17.47,10.4,-36.59,-4.21,0.06516867428849916,2.0,0
0.12,-11.31,-1.28,0.09,-0.06,-0.28,77.47,15.86,-3.2,-40.5,-0.05,0.0651170669848149,1.0,0
24.5,-14.39,-17.63,3.23,-0.91,-2.18,0.0,0.0,0.0,-3.55,-24.98,0.06509751444905627,3.0,1
-9.53,-0.21,-3.11,0.04,0.15,0.23,52.76,-3.85,18.89,-65.13,-32.77,0.06508397419173505,4.0,0
-49.14,72.49,-18.26,0.12,1.52,-1.53,0.0,0.0,0.0,-12.61,-36.5,0.06494543917093361,3.0,0
-10.61,0.55,-1.87,-0.08,0.37,0.22,52.76,-3.85,18.89,-65.17,-34.5,0.06486276000809803,3.0,0
-10.58,4.29,0.66,3.02,-3.73,0.14,44.64,-31.09,-2.5,-67.92,85.37,0.06465673038711499,6.0,0
-11.64,-2.11,-1.19,0.2,0.02,0.1,59.25,0.08,8.84,-54.77,-6.99,0.06461715223333718,1.0,0
-0.87,1.19,10.22,-0.07,0.12,-0.02,208.08,181.64,306.55,-8.47,92.36,0.06457057429931598,4.0,0
-8.8,-5.25,1.57,0.67,-0.59,0.95,55.83,28.22,21.49,-43.96,-5.93,0.06448981502371252,5.0,0
-37.83,-46.1,14.66,-0.08,0.25,-0.46,55.29,17.29,9.18,-33.97,-3.9,0.06428200330644704,2.0,0
-0.57,0.73,6.66,0.06,-0.09,0.02,208.08,181.64,306.55,-8.35,92.54,0.06423051082855416,4.0,0
-1.67,0.69,11.17,0.26,-0.24,0.18,166.41,92.56,323.02,-10.37,89.97,0.06411985550990326,4.0,0
-11.03,-2.7,5.8,-1.84,2.22,-0.99,79.28,-0.26,-38.22,-47.27,16.63,0.06361194429031286,6.0,0
0.12,-11.31,-1.28,0.09,-0.06,-0.28,77.47,15.86,-3.2,-41.15,-0.02,0.06350394833699065,1.0,0
-17.22,-4.96,-1.31,0.17,-0.56,-0.04,55.65,2.95,8.84,-55.69,-5.64,0.06345625888930875,1.0,0
-1.67,0.69,11.17,0.26,-0.24,0.18,166.41,92.56,323.02,-10.43,89.8,0.06333872780226917,3.0,0
77.59,-36.34,7.99,-0.45,-0.22,1.34,0.0,0.0,0.0,-7.73,-31.08,0.06324845176507493,3.0,1
-0.11,1.92,12.37,0.18,-0.38,0.18,-186.07,-164.61,284.36,-7.14,97.21,0.06319902155839549,5.0,0
-8.77,2.21,-2.61,0.09,0.07,0.17,52.76,-3.85,18.89,-65.06,-31.87,0.06310329818565752,4.0,0
32.29,-31.36,6.11,-1.58,1.69,1.0,0.0,0.0,0.0,-14.02,-33.65,0.06305157605618185,4.0,0
-10.53,-6.3,0.56,1.1,-0.76,-0.01,72.95,33.42,39.0,-41.6,-14.1,0.06302518449628777,3.0,0
-8.48,-6.46,-1.7,-0.32,0.0,0.56,45.18,20.52,3.98,-31.82,0.45,0.06294041091101717,1.0,0
-6.3,-1.0,11.85,0.91,-0.75,-0.16,39.77,-3.67,-14.12,-28.95,52.7,0.06274473398338624,4.0,0
-47.36,78.88,36.11,0.32,-0.98,0.68,82.89,24.1,6.15,-43.99,3.42,0.06257554047628251,3.0,0
-20.16,65.22,33.74,0.81,0.9,0.16,55.65,37.72,20.63,-35.43,-3.04,0.06232697938216702,2.0,0
-1.02,1.22,9.91,0.0,0.0,0.0,-37.6,-156.19,188.14,-11.18,92.93,0.06227613911476926,4.0,0
-29.92,78.4,52.57,-0.07,0.45,-0.13,47.35,14.42,6.76,-37.74,1.92,0.06225623750860479,2.0,0
-7.57,-3.85,1.64,-0.63,0.74,0.33,44.82,21.23,0.52,-30.35,2.3,0.06220623776600004,1.0,0
-7.37,-6.12,3.83,0.73,-1.25,-0.27,60.16,29.66,18.03,-37.68,-1.31,0.06216092750871583,1.0,0
-1.36,1.77,8.47,-0.13,0.21,-0.18,201.23,81.99,230.27,-10.95,97.51,0.06207528124743062,3.0,0
-2.42,-0.72,11.74,-1.09,1.48,-0.51,166.59,-24.46,-214.97,-8.95,87.3,0.06203865641300748,5.0,0
-6.3,-1.0,11.85,0.91,-0.75,-0.16,39.77,-3.67,-14.12,-29.14,51.95,0.06203387047402217,5.0,0
-44.04,3.99,38.53,0.56,-1.23,0.95,49.15,16.57,8.84,-38.39,-3.98,0.061977674731713776,5.0,0
-10.96,-4.63,4.23,-0.44,0.91,-0.17,76.56,5.28,7.02,-48.46,-6.45,0.06187970995952778,1.0,0
-44.75,46.15,38.7,0.72,0.94,0.06,54.02,36.11,20.8,-35.54,-3.62,0.061861066844037,2.0,0
-12.41,-4.46,2.31,0.24,0.43,0.65,55.83,28.22,21.49,-42.14,-8.1,0.06175713572373015,5.0,0
-9.56,4.88,6.75,0.05,-1.42,-0.13,57.81,-12.81,-4.33,-65.99,74.26,0.06161298801824535,4.0,0
-25.06,78.4,14.54,-0.42,0.67,-0.01,62.86,35.57,19.59,-36.22,-3.74,0.0615791373749423,2.0,0
-11.16,-3.53,7.73,-2.04,2.63,-0.93,79.28,-0.26,-38.22,-47.67,19.18,0.06146493623585315,6.0,0
-20.13,-1.91,-3.9,0.66,-0.92,0.0,45.0,15.32,7.28,-39.68,2.15,0.061464577979384,5.0,0
-11.03,-2.7,5.8,-1.84,2.22,-0.99,79.28,-0.26,-38.22,-47.07,15.57,0.06103919894561618,6.0,0
-8.51,-2.54,-6.92,0.22,-0.55,-0.83,66.11,3.13,4.94,-47.38,-0.87,0.060958030890195344,5.0,0
-36.65,78.66,29.4,-0.38,-0.28,0.4,86.31,22.85,3.2,-42.92,3.07,0.06091395156539489,3.0,0
-60.17,78.4,5.33,0.77,0.08,0.27,49.15,15.86,8.14,-38.42,2.04,0.060898739444550966,2.0,0
-10.64,-13.0,3.36,-0.93,1.18,0.11,46.45,31.45,15.25,-20.74,-5.52,0.06086280815790785,1.0,0
-13.88,-2.08,-1.58,-0.44,0.99,0.02,56.37,-3.49,15.77,-65.79,-29.29,0.06075337458567739,5.0,0
-34.99,52.89,41.46,0.84,1.34,0.31,56.01,35.93,19.93,-35.44,-2.16,0.06069929623096231,2.0,0
-36.58,72.49,18.81,0.35,1.47,-0.38,0.0,0.0,0.0,-13.76,-38.96,0.0604956733585669,3.0,0
-0.94,1.38,9.59,0.01,-0.01,0.01,-74.22,-161.74,208.43,-8.62,95.25,0.06035950374906818,2.0,0
-8.77,2.21,-2.61,0.09,0.07,0.17,52.76,-3.85,18.89,-65.18,-32.21,0.06029240414960898,4.0,0
-10.6,-5.23,1.8,0.49,-0.12,0.83,55.83,28.22,21.49,-42.73,-7.47,0.06023979097199209,5.0,0
-0.94,1.38,9.59,0.01,-0.01,0.01,-74.22,-161.74,208.43,-8.61,95.26,0.05990177140031709,2.0,0
-6.49,-6.05,-5.87,-0.38,0.4,0.18,45.18,31.99,13.69,-20.78,-5.0,0.05983012469951868,1.0,0
