v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lightgbm,anomaly_vote_count,GERCEK_ETIKET_label
0.14,-10.64,-9.52,0.55,-0.53,1.0,53.84,19.8,10.22,-35.89,-3.53,0.999930414237142,5.0,1
-3.63,-2.27,-7.82,0.79,-0.56,0.92,83.61,23.03,5.11,-44.45,6.89,0.9999207592663095,7.0,1
-6.86,-51.59,-4.66,0.65,-1.76,0.28,51.14,20.7,13.86,-35.85,-0.45,0.9998546263263761,8.0,0
-1.12,6.74,23.75,1.12,-1.2,0.07,47.17,36.11,19.76,-36.68,-1.52,0.9998237860605572,6.0,1
4.05,-7.09,9.81,1.44,0.38,0.21,47.17,17.82,5.54,-34.97,-2.68,0.9998169958300932,6.0,1
-1.43,-8.0,24.39,1.03,-1.03,0.0,54.38,35.75,19.76,-36.24,-3.4,0.9998169958300932,10.0,1
-4.53,-9.81,-9.41,0.76,-0.86,0.06,55.65,35.57,20.63,-35.7,-2.09,0.9998169958300932,8.0,1
7.3,-4.59,-20.98,0.53,0.81,-0.01,45.18,18.72,8.84,-37.56,-1.7,0.9998169958300932,10.0,1
-6.88,-12.82,-6.45,0.66,-0.74,0.6,46.27,16.93,11.61,-32.91,-7.94,0.9998169958300932,7.0,1
-4.46,-7.64,-6.74,-0.3,-0.02,0.03,55.29,28.4,17.16,-35.32,-8.63,0.9998169958300932,5.0,1
-6.38,-8.1,-8.86,0.63,-1.57,0.04,49.69,33.6,21.15,-37.75,-6.64,0.9998169958300932,9.0,1
-3.67,-7.64,-15.31,1.21,-1.3,0.15,51.14,31.45,21.84,-38.17,-6.38,0.9998169958300932,10.0,1
4.98,2.29,15.34,0.56,-1.19,-0.27,56.19,38.61,21.15,-38.3,-5.54,0.9998169958300932,10.0,1
-5.94,-10.18,-15.01,-0.42,-1.84,0.43,46.27,17.29,6.76,-37.31,1.66,0.9998169958300932,8.0,1
-5.74,0.36,-7.2,0.16,-0.56,0.76,47.89,14.6,6.93,-37.14,-1.18,0.9998169958300932,7.0,1
-4.34,-10.88,-10.49,-0.28,-1.05,0.78,43.74,16.21,6.06,-36.04,0.48,0.9998169958300932,7.0,1
-9.99,-12.14,3.84,0.59,-0.65,0.68,46.99,16.93,11.61,-37.84,-2.25,0.9998169958300932,7.0,1
-9.86,-19.37,-44.93,0.98,-1.78,0.86,50.42,19.62,15.25,-37.57,-1.71,0.9997943363975133,8.0,1
14.32,-78.5,23.35,-0.03,0.12,-0.1,52.58,17.47,10.05,-34.41,-5.42,0.9997588342071421,5.0,1
-2.42,-8.97,-10.52,0.09,0.1,0.93,51.86,18.54,10.74,-37.36,-2.76,0.9997565664515942,7.0,1
-2.87,-5.29,-6.62,0.21,-0.33,0.63,55.29,19.8,13.69,-35.69,-5.75,0.9997565664515942,7.0,1
-2.13,-7.95,-9.43,0.31,-0.28,0.71,55.11,19.62,13.52,-38.27,0.22,0.9997565664515942,7.0,1
-5.61,-10.36,-7.95,0.71,0.31,0.57,47.71,19.44,13.34,-36.68,-5.99,0.9997565664515942,6.0,1
-6.47,-4.38,-8.35,0.39,-0.14,1.03,55.83,18.19,9.69,-37.19,-4.37,0.9997565664515942,7.0,0
1.05,-4.38,-14.03,0.26,-0.03,0.97,52.4,18.01,10.92,-37.69,-3.27,0.9997565664515942,7.0,1
-7.1,-5.14,-2.87,0.68,-0.68,0.9,48.61,16.75,11.78,-36.47,-0.04,0.9997460967864795,7.0,1
9.15,-6.37,-8.76,-0.86,-0.43,-0.45,48.07,20.52,12.65,-37.56,-5.42,0.9997391765583877,9.0,1
-1.99,-5.37,-10.19,-0.27,-2.04,-0.08,53.3,36.83,22.19,-37.91,-5.41,0.9997391765583877,9.0,1
-3.76,-10.32,-16.95,0.19,-0.51,0.41,47.89,16.39,9.01,-35.49,-0.04,0.9997391765583877,6.0,0
-11.53,6.31,10.77,0.19,-0.39,0.43,52.76,30.91,18.55,-38.09,-3.51,0.9997257292445791,8.0,1
-4.32,0.12,-13.19,0.85,-0.82,1.09,50.42,19.98,13.52,-36.47,0.39,0.9997238540080493,6.0,1
-4.42,-9.5,-2.71,0.81,0.0,1.14,51.32,16.93,12.65,-36.46,-4.63,0.9997074260496435,6.0,1
0.97,-6.99,-4.74,1.2,-1.39,0.0,50.78,35.75,19.76,-36.16,-8.02,0.999706894444024,7.0,1
1.01,-24.61,-52.35,-0.26,-0.63,-0.25,57.45,37.72,23.75,-34.06,-6.97,0.999706894444024,10.0,1
-6.12,-9.35,-5.87,0.0,-1.15,-0.25,54.74,35.03,19.76,-35.23,-3.76,0.9996926568999995,6.0,1
1.99,-13.27,2.41,0.09,-0.04,0.42,80.72,19.8,-2.5,-43.53,-3.08,0.9996376030749748,10.0,1
-13.76,-0.55,-3.7,0.76,-0.57,1.12,51.5,17.82,12.82,-38.02,-5.25,0.9995742541336912,5.0,1
-16.11,-3.61,12.17,1.34,-0.24,0.46,45.18,18.72,8.84,-35.83,-1.89,0.9995653047103534,5.0,0
-15.37,-2.37,-8.24,0.73,-0.62,0.47,49.51,30.91,19.93,-36.95,-4.18,0.9995580820411604,6.0,1
-17.36,1.99,-0.3,0.46,-0.41,0.44,47.89,32.17,21.15,-37.68,-4.37,0.9995580820411604,8.0,1
-14.81,-12.48,-15.31,0.3,-0.56,0.64,47.89,18.54,11.78,-37.13,-4.95,0.9995580820411604,6.0,0
-15.44,-5.62,-2.47,0.44,-0.28,0.41,51.14,37.54,18.72,-37.43,-2.21,0.9995580820411604,8.0,1
-15.75,-20.77,-5.23,1.15,-0.43,0.9,49.51,19.44,9.52,-37.22,-0.81,0.9995580820411604,7.0,0
-16.44,-5.44,3.52,1.82,-0.39,0.85,57.99,37.18,20.8,-37.88,-3.72,0.9995564185707763,8.0,1
7.0,-9.55,-2.7,0.21,0.11,-0.11,83.79,19.98,4.24,-42.98,-0.1,0.9994852823237649,9.0,1
-17.29,-0.39,1.04,0.14,0.08,0.34,55.47,32.17,18.72,-35.8,-5.85,0.999482668136456,7.0,1
-6.1,3.5,-5.39,0.51,-0.44,0.82,54.2,18.01,12.3,-37.75,-4.23,0.9994817953360634,5.0,1
-4.84,-6.28,-1.29,0.75,-0.44,0.75,47.35,16.93,11.26,-37.16,-4.73,0.9994817953360634,5.0,1
-16.23,-7.96,1.2,0.86,-0.65,0.86,48.97,18.54,11.78,-36.8,-7.41,0.9994753072639082,8.0,1
-11.9,3.64,-25.73,0.42,-0.65,0.9,55.83,18.89,13.52,-37.13,-3.58,0.999469823493933,10.0,1
-1.71,-15.48,-17.91,-0.26,-1.59,-0.26,61.42,35.21,19.93,-37.29,-2.84,0.9994621091493046,9.0,0
-0.76,-7.0,4.92,0.39,-0.43,0.77,55.47,18.89,12.82,-35.81,-4.57,0.9994621091493046,4.0,1
10.41,-12.32,-24.03,0.22,-0.9,0.16,53.84,18.01,12.3,-37.66,-3.5,0.9992234374246126,5.0,1
3.67,-11.8,-5.48,-0.48,0.52,-0.13,54.74,17.82,14.21,-36.99,-6.57,0.9992234374246126,5.0,1
12.91,-45.11,-34.61,0.05,0.4,0.38,61.96,34.67,18.72,-34.86,-3.3,0.9991958773240754,6.0,0
-14.22,6.23,-14.4,0.23,-0.14,0.71,54.74,17.82,14.21,-37.03,-5.55,0.9991610108242361,4.0,0
-15.19,0.52,5.14,0.41,-0.66,0.33,55.65,35.93,23.4,-36.74,-4.02,0.9991597952420409,4.0,1
-11.33,5.18,-5.73,0.76,-0.44,1.04,55.65,17.64,11.61,-37.11,-1.94,0.9991584031487588,6.0,1
-15.39,-2.54,-0.18,-0.1,-0.9,0.22,61.42,35.21,19.93,-37.38,-3.56,0.9991533754887928,4.0,1
2.99,-4.71,4.78,0.63,0.87,0.06,85.23,24.64,0.08,-43.45,4.88,0.9991235373351477,10.0,1
-9.05,1.75,-3.79,0.54,-0.4,1.05,56.91,18.54,13.52,-36.31,-5.46,0.9990619141414524,5.0,1
32.02,-78.5,-28.6,-0.17,0.01,-0.24,55.47,18.89,13.52,-33.85,-6.28,0.999041889958747,6.0,1
22.75,-14.0,-0.97,-0.08,0.04,0.06,53.84,20.16,14.38,-33.93,-6.81,0.999041889958747,5.0,1
10.96,-78.5,4.23,0.06,0.01,-0.09,54.38,19.26,14.21,-34.13,-7.24,0.999041889958747,6.0,1
5.43,-43.65,11.93,-0.01,0.17,0.28,55.65,35.57,20.63,-35.27,-2.28,0.9990092539373637,7.0,0
28.24,-34.79,-2.67,0.13,-0.13,0.15,47.89,16.39,9.01,-34.29,-1.7,0.9990092539373637,7.0,1
24.49,-36.4,-20.07,0.16,0.37,0.25,56.55,35.03,19.41,-35.23,-2.55,0.9990092539373637,7.0,1
24.07,-41.11,12.39,2.39,1.07,0.04,54.74,37.54,20.8,-33.82,-2.81,0.9990092539373637,6.0,1
-3.07,-5.01,-0.25,0.84,-0.83,0.01,59.07,35.75,20.11,-37.18,-3.68,0.9990075520128148,8.0,1
-3.64,0.38,-5.7,0.46,-0.35,0.07,63.76,33.6,18.37,-37.81,-5.59,0.9990075520128148,7.0,1
-0.98,-7.82,-2.57,0.15,-1.22,0.27,54.74,28.58,18.03,-36.86,-6.19,0.99899963435385,5.0,1
49.54,-78.5,-2.84,0.49,1.51,-0.35,50.42,33.6,22.88,-34.49,-6.27,0.99899963435385,6.0,1
-1.22,-12.41,-2.97,1.5,-1.6,0.13,49.51,30.91,19.93,-36.94,-2.91,0.99899963435385,9.0,0
11.35,-12.7,-13.2,-0.75,-0.22,-0.32,47.89,18.54,11.78,-36.76,-5.47,0.99899963435385,7.0,1
0.69,-17.26,-43.02,-0.35,-0.07,-0.16,54.2,15.86,12.3,-38.49,-2.3,0.9989694791994906,7.0,0
1.19,-12.59,-16.04,1.12,-1.71,0.68,50.6,21.23,14.38,-37.41,-2.87,0.9989276620147016,4.0,1
2.09,-13.47,-16.44,-0.91,0.65,-0.28,56.01,16.21,11.96,-35.82,-6.16,0.9989002901840266,9.0,1
-13.52,-4.05,-6.35,0.35,-0.32,0.37,57.63,36.11,21.15,-37.41,-3.82,0.9988763940436779,5.0,1
-2.06,-9.13,-2.22,0.79,-0.6,1.14,46.63,18.37,10.57,-37.88,-0.64,0.9988420749839944,5.0,1
-15.37,-4.79,-7.88,0.56,-0.95,0.38,55.65,37.0,22.71,-36.49,-6.86,0.9987711010037806,3.0,1
-6.96,-0.06,2.91,0.71,-0.43,0.84,55.29,19.07,15.08,-36.19,-3.63,0.9987214874243154,6.0,1
-9.48,-8.89,-3.26,0.36,-0.77,0.87,48.25,17.47,10.74,-38.22,-2.08,0.9987209684730943,7.0,1
-2.74,-10.64,-14.95,0.18,-0.78,0.19,61.96,36.47,15.25,-37.42,-2.46,0.9987042157703367,5.0,1
23.24,-34.84,-11.56,-0.01,-0.01,0.49,83.61,20.16,-0.08,-41.1,1.23,0.998664700085939,6.0,1
36.78,-2.31,7.46,0.01,-0.06,0.11,83.61,20.52,0.6,-41.05,1.17,0.998664700085939,5.0,1
-19.37,-6.35,-5.4,0.68,-0.38,0.43,56.01,35.93,19.93,-37.14,-2.41,0.9985218110544953,7.0,0
18.55,-6.51,-1.55,0.01,-0.07,0.05,89.74,21.59,3.72,-40.58,0.27,0.9984969508033358,4.0,0
10.5,-45.18,-28.13,0.19,0.4,0.5,60.52,36.83,20.8,-34.39,-6.11,0.9984134636897398,6.0,0
-14.5,-4.55,-9.34,1.12,-0.72,1.0,85.77,21.23,-1.82,-44.04,1.92,0.9983882607119029,7.0,0
-16.12,-6.03,2.27,0.24,-0.48,0.34,49.69,36.47,21.84,-37.86,-3.49,0.9982950057202011,7.0,1
-6.47,-18.37,-35.85,1.12,-1.25,1.21,53.48,17.64,11.61,-36.36,-4.77,0.9980840353737003,5.0,1
-17.29,4.74,7.34,0.03,-0.34,0.35,54.02,36.47,19.76,-37.71,-3.68,0.9980363933679379,5.0,1
-18.17,4.28,2.73,-0.01,-0.69,0.65,64.13,36.47,18.03,-38.18,-1.15,0.9980363933679379,4.0,1
-5.85,17.03,16.89,0.98,-0.92,0.09,53.84,38.79,17.51,-38.49,1.15,0.9979395917965049,8.0,1
3.83,-11.74,-5.59,-0.63,0.44,-0.25,54.56,18.01,11.26,-36.63,-8.06,0.9977776190781213,8.0,0
0.77,-9.11,-23.08,0.21,-0.32,0.91,55.29,19.44,11.96,-36.15,-4.74,0.9977664530244783,6.0,1
-10.68,-3.1,6.86,0.94,-0.64,0.81,54.74,21.05,15.94,-37.81,-2.84,0.9976641301631437,5.0,1
3.01,-35.9,10.41,-0.15,-0.51,-0.07,54.2,18.72,12.3,-33.13,-4.53,0.9970889021678754,5.0,0
2.71,-6.46,-1.44,0.43,-0.57,0.85,51.68,17.29,7.1,-36.21,-2.65,0.9970140162089282,5.0,1
5.75,-56.11,-4.84,0.04,0.26,0.38,62.32,36.47,18.37,-34.98,-2.95,0.9970052761518551,5.0,1
8.02,-23.11,0.55,0.47,0.38,0.14,84.69,19.8,-0.08,-42.19,3.68,0.9969377065742666,5.0,1
-7.21,-1.21,-9.21,0.67,-0.47,1.09,55.83,18.89,10.4,-37.03,-3.64,0.9967829919526316,6.0,1
-3.12,-5.16,-19.0,0.84,-0.63,0.97,52.4,17.29,12.3,-36.88,-5.56,0.9967056082088259,4.0,1
2.21,-11.73,-8.98,-0.73,0.78,-0.02,57.81,14.42,11.96,-38.3,-5.88,0.9961335992868244,6.0,1
-10.31,3.7,-5.23,0.87,-0.87,0.96,77.66,22.85,0.08,-43.55,2.85,0.9960042513505384,5.0,1
-10.99,14.93,14.7,1.07,-1.03,0.1,55.65,36.65,22.36,-37.96,-2.22,0.9958858030502238,7.0,1
-7.7,17.55,11.36,0.84,-1.39,0.02,55.11,35.75,19.76,-39.58,-3.33,0.9958858030502238,6.0,1
-15.27,4.78,1.75,0.38,-0.38,1.14,53.84,18.01,12.3,-36.74,-5.22,0.9958539592945731,4.0,0
-8.69,-6.26,1.47,-1.37,0.66,-0.21,89.74,22.31,3.38,-40.39,-0.8,0.9956046303827599,6.0,1
-12.6,10.41,-3.0,0.99,-0.62,0.56,80.9,23.92,0.43,-42.7,2.87,0.9955822155214876,5.0,1
-6.82,-0.05,-24.14,0.66,-1.05,0.86,79.28,21.23,2.34,-43.65,-3.71,0.9955651455475623,8.0,0
-17.96,10.56,-2.24,0.74,-0.09,1.09,55.65,18.72,12.3,-37.8,-2.69,0.9954438703171324,5.0,1
-16.97,2.22,10.17,1.18,-0.42,1.65,48.79,19.07,12.65,-37.16,-5.17,0.9954438703171324,4.0,1
-10.48,0.28,-11.8,-0.32,0.28,0.65,53.84,18.01,14.38,-36.5,-5.31,0.9950751125899482,5.0,1
29.18,-78.5,-6.54,1.6,0.76,0.06,49.69,18.89,11.09,-33.21,-5.35,0.9946208905040539,6.0,0
-16.64,-0.2,1.08,-0.03,0.25,0.35,51.68,36.65,17.51,-37.02,-5.9,0.9945796306073487,5.0,1
5.51,-14.59,13.64,-0.49,0.53,-0.21,53.84,18.01,14.38,-37.01,-6.41,0.994402444589643,5.0,0
-10.21,-4.26,-25.0,0.76,-0.98,0.74,50.05,17.82,13.17,-35.42,-4.86,0.9943878584902813,5.0,1
0.78,-17.95,0.71,0.36,0.33,0.18,48.43,29.84,19.23,-35.67,-7.44,0.9943139147359898,3.0,0
6.46,-7.45,2.75,-0.16,-0.23,-0.42,50.05,14.96,8.32,-37.91,-0.16,0.9943139114555261,5.0,0
-11.66,-7.27,7.32,1.13,-0.69,1.11,49.51,18.01,14.04,-38.05,-1.43,0.9941738460616405,9.0,1
-13.08,-2.5,-6.34,-0.04,-0.86,0.33,59.25,35.57,19.59,-36.35,-6.68,0.9940371874296222,4.0,1
-14.86,3.6,-8.25,2.09,-0.73,0.86,89.56,22.13,2.5,-43.05,0.49,0.9936582880438996,5.0,0
-11.05,-10.56,-16.17,0.59,-0.59,1.31,54.56,15.5,11.26,-36.09,-5.96,0.9932784259746038,4.0,1
-21.36,1.48,-10.13,0.56,-0.9,0.41,59.62,33.78,19.93,-36.67,-3.48,0.9931682841136423,5.0,1
1.01,-13.52,1.41,-0.33,0.3,-0.61,45.73,16.75,10.05,-37.04,-3.08,0.9930565622580215,5.0,1
-15.3,4.13,-22.32,0.66,-0.47,0.93,52.4,17.64,9.52,-37.66,-1.26,0.992874264441436,4.0,0
6.84,-14.28,0.59,0.25,0.13,0.23,56.37,15.86,12.65,-37.29,-1.41,0.9926477774880187,4.0,0
-3.49,-3.71,-2.71,0.38,-0.17,0.91,51.68,18.72,11.26,-37.39,-4.26,0.992441706016153,5.0,1
4.16,-5.23,-14.06,-0.92,-1.7,-0.24,60.34,33.42,19.23,-36.35,-3.44,0.9917383126755593,8.0,0
-6.31,-4.17,-4.04,-0.19,-1.06,-0.25,64.13,36.47,18.03,-38.5,0.12,0.9917383126755593,9.0,0
5.72,-9.43,-19.52,-0.66,0.66,-0.35,52.94,14.6,13.17,-38.66,-6.31,0.9916174357409702,8.0,1
1.31,-9.42,-13.7,-0.52,0.55,-0.24,51.68,17.64,12.3,-38.44,-5.32,0.9916174357409702,5.0,1
25.88,-53.97,-23.12,-0.23,0.32,-0.51,52.4,19.8,15.42,-33.65,-8.86,0.9916075122773859,5.0,1
2.25,-1.98,-12.21,0.21,-1.4,-0.06,49.69,36.47,21.84,-37.95,-2.89,0.9915928884541586,9.0,0
-2.74,-21.57,-22.26,0.98,-0.79,0.13,51.68,36.65,17.51,-37.18,-5.71,0.9915928884541586,7.0,0
-5.52,-5.44,-10.97,0.56,-0.86,-0.03,55.65,37.0,22.71,-36.72,-6.29,0.9915928884541586,5.0,0
-5.01,-6.25,-17.43,-0.26,-1.63,0.0,54.2,36.29,20.63,-37.11,-3.13,0.9915928884541586,8.0,0
30.02,10.51,18.91,-0.16,-0.19,-0.17,49.51,19.44,9.52,-37.73,0.65,0.9914889058389529,8.0,1
-11.28,-2.54,-17.91,0.21,-1.23,1.12,80.9,25.71,-0.95,-43.16,-2.16,0.9910135915445879,9.0,1
-7.2,2.75,-15.8,0.72,-0.97,0.81,82.89,24.1,6.15,-45.36,4.51,0.9909383927984645,10.0,1
9.9,-78.5,3.58,0.07,0.17,0.13,52.94,18.19,12.48,-34.1,-5.59,0.9908527165461071,6.0,0
48.55,-75.09,6.35,1.67,1.57,-0.06,52.76,35.21,19.59,-33.6,-4.92,0.9907220568789143,5.0,1
10.96,20.3,-42.79,0.01,0.0,-0.52,53.3,16.75,12.82,-34.52,-5.99,0.9903608137137841,5.0,1
4.23,-19.41,-11.14,-0.67,0.28,0.05,49.15,14.06,6.41,-37.0,-1.69,0.9901958877699025,8.0,1
-9.93,-4.59,-20.07,0.08,-0.39,0.34,55.11,31.45,17.32,-36.93,-5.17,0.9901551142085807,6.0,0
8.26,30.55,-47.18,0.04,0.11,-0.19,53.48,30.91,18.55,-35.24,-5.13,0.9900986544359348,5.0,0
-7.36,-6.06,-0.02,-0.71,0.21,-0.14,49.33,30.02,20.11,-35.59,-7.21,0.9900741280706803,5.0,1
19.47,-6.94,3.42,1.14,1.21,0.1,55.65,35.57,20.63,-34.57,-2.45,0.9898930017776131,5.0,0
-2.9,15.58,16.73,0.74,-1.25,0.0,52.4,31.99,15.08,-36.69,-4.48,0.9898633302602611,8.0,0
-12.46,-6.61,-17.93,0.85,-0.98,0.91,52.04,16.21,13.34,-36.22,-5.27,0.9897537322225644,5.0,0
-16.21,1.62,-13.66,0.21,0.05,0.9,51.86,16.75,11.44,-37.23,-7.43,0.9896549334026109,3.0,0
-9.33,-3.18,-24.41,2.02,-1.14,1.06,91.91,20.87,1.64,-42.79,0.58,0.9890239054987688,6.0,1
-19.62,-1.83,1.51,1.23,-1.54,1.21,52.58,20.34,13.17,-37.13,-6.35,0.9888902930606032,6.0,1
-6.26,-4.44,-14.0,1.17,-1.72,0.95,53.48,19.07,12.3,-36.71,-4.48,0.9888703900852068,5.0,1
-11.79,-2.76,-8.94,-0.22,-1.2,0.15,52.22,31.09,20.8,-35.65,-8.43,0.9884474711788608,6.0,1
3.16,-4.18,1.91,-0.85,1.12,-0.32,54.38,16.75,10.4,-37.75,-4.64,0.9883396581819892,5.0,1
-6.9,-13.97,-14.22,0.5,-2.06,0.07,54.02,36.47,19.76,-37.58,-1.9,0.9882949576590924,9.0,0
7.38,21.33,40.15,-0.15,-0.12,-0.71,55.83,18.89,13.52,-34.87,-6.23,0.9882447327367109,5.0,0
5.69,-5.84,-2.14,-0.02,0.28,-0.25,80.36,18.37,-0.08,-44.02,1.97,0.9874037655128627,9.0,1
-17.54,-0.56,-4.48,-1.04,-1.56,0.19,50.78,33.6,22.19,-35.52,-10.67,0.9865729153925193,8.0,1
-6.97,9.15,4.79,0.77,-0.7,0.15,56.01,35.93,19.93,-37.94,-1.66,0.9865397318583502,8.0,1
-6.23,-9.26,-18.88,1.03,-1.5,0.03,0.0,0.0,0.0,-12.36,-57.07,0.9860359752764526,6.0,0
-12.12,-6.86,1.4,1.13,-1.42,1.31,53.66,20.7,14.56,-35.24,-4.74,0.9851569709709329,6.0,1
0.02,-78.5,-18.47,0.07,-0.09,0.2,51.86,19.98,13.17,-34.17,-5.33,0.9843345290412472,5.0,0
-17.05,3.58,-4.4,1.3,-0.56,1.24,52.94,16.39,10.05,-39.78,-8.83,0.9841362415968394,5.0,1
9.35,-12.43,-0.15,-0.34,-0.77,-0.38,50.78,14.24,7.97,-37.71,-1.4,0.9839614554646132,9.0,0
-15.46,-1.97,4.82,0.33,-0.25,0.35,57.09,39.86,20.97,-36.4,-1.46,0.983334121055904,6.0,1
19.88,-55.38,1.73,0.56,1.98,-0.38,61.96,35.39,18.37,-33.85,-3.84,0.9829270191059853,4.0,0
-7.31,-2.54,-8.19,-1.01,0.43,-0.1,78.38,23.92,-2.34,-42.91,1.94,0.9828882156507354,4.0,0
47.78,-58.34,28.6,-1.05,0.85,0.93,0.0,0.0,0.0,-8.71,-31.03,0.9826017523624444,4.0,1
60.83,-62.18,48.46,-0.45,1.1,1.18,0.0,0.0,0.0,-5.51,-30.63,0.9826017523624444,6.0,1
52.62,12.19,-6.33,0.18,-0.6,-0.13,30.35,6.81,13.55,-3.68,-31.72,0.9826017523624444,4.0,1
77.59,-55.97,6.81,-0.62,-0.41,1.91,0.0,0.0,0.0,-7.97,-31.84,0.9826017523624444,3.0,1
20.0,-40.46,-11.36,0.85,-0.32,0.6,0.0,0.0,0.0,-10.9,-34.52,0.9826017523624444,7.0,0
-2.99,-4.8,-5.37,1.32,-0.99,0.23,55.11,31.45,17.32,-37.03,-5.02,0.9820506784957087,4.0,0
-0.03,-5.81,-12.65,-0.15,-0.35,-0.14,60.88,33.96,18.03,-36.63,-4.1,0.982049925603943,7.0,0
-14.84,-1.51,6.43,-0.06,-0.23,0.34,50.78,33.6,14.9,-37.22,-3.39,0.9806838752313969,6.0,1
20.02,-3.61,-1.34,-0.02,0.02,0.09,54.74,16.04,12.13,-34.47,-5.68,0.9790392199511678,4.0,0
7.53,-78.5,-12.2,-0.16,0.02,0.23,53.66,17.11,12.82,-34.47,-6.16,0.9789333770543998,6.0,0
3.34,-7.53,-3.6,0.0,0.04,0.09,54.38,17.11,10.74,-34.15,-5.67,0.9785034278499393,5.0,0
-15.92,14.79,4.46,-0.1,0.02,0.56,48.07,20.52,12.65,-36.14,-5.81,0.9782778112514184,4.0,0
7.08,-11.84,-3.66,0.79,-0.86,0.06,83.79,24.64,3.9,-41.65,0.74,0.9766779396393732,5.0,1
11.19,-8.02,-9.01,-0.75,0.78,0.06,51.86,16.75,11.44,-39.95,-8.97,0.9761742176480406,7.0,1
-9.06,-3.35,-13.72,0.77,-1.21,1.22,85.05,23.74,0.26,-44.59,2.58,0.9756888680950466,6.0,1
2.78,-11.72,-9.86,0.43,0.55,0.04,89.74,21.59,3.72,-43.96,1.02,0.9754043833585456,10.0,1
-5.42,0.37,7.74,-0.94,1.26,0.54,0.0,0.0,0.0,-17.34,-34.4,0.9746527850267553,5.0,0
5.57,-14.3,-17.05,-0.54,0.63,-0.36,50.42,17.11,12.48,-38.19,-6.31,0.9744719500362182,7.0,1
1.59,-9.35,-1.51,0.69,0.85,-0.16,83.97,20.16,1.64,-46.22,12.5,0.9737445491012741,9.0,0
-14.8,-4.2,-2.16,1.21,0.23,0.77,52.76,19.8,12.3,-35.82,-3.87,0.9735239089531408,4.0,1
-1.24,-6.05,-18.07,-0.78,-1.26,-0.06,51.68,35.21,20.97,-35.5,-3.63,0.9723611694027214,7.0,1
-10.92,-10.3,-12.65,0.62,-0.6,0.63,83.07,18.54,0.08,-43.43,-0.44,0.9720802151009048,7.0,1
-1.17,-11.98,-3.11,0.68,-0.56,0.55,79.09,19.98,1.82,-45.06,0.72,0.9715810894903718,8.0,1
-14.71,-6.12,16.93,0.75,-0.56,0.0,61.78,37.0,19.23,-36.85,-4.67,0.9712509764777673,6.0,0
-1.86,-4.21,-9.32,0.33,0.68,-0.15,46.45,21.05,10.4,-35.52,-5.46,0.9693840418895194,8.0,1
-7.42,-10.9,-10.87,0.57,-0.94,-0.02,57.09,39.86,20.97,-36.6,-0.76,0.9688992108621298,6.0,0
-9.78,37.84,25.76,0.16,0.13,0.53,80.9,23.92,0.43,-44.2,3.69,0.9684468262551283,5.0,0
-2.75,-6.83,-16.59,0.14,-1.83,0.17,61.78,35.21,16.8,-35.12,-4.46,0.9682041945190581,6.0,0
-4.38,-8.1,-19.77,-0.56,-0.99,-0.1,60.52,34.67,20.11,-36.88,-4.25,0.9682041945190581,7.0,0
