v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_copod,anomaly_vote_count,GERCEK_ETIKET_label
-0.85,-22.73,-13.29,3.28,-2.92,0.27,-14.51,17.2,19.39,28.81,-36.51,0.9362574202788873,5.0,0
3.05,-18.39,-21.72,-0.32,1.1,1.27,-12.73,34.76,16.3,32.93,-26.97,0.9341198573871284,5.0,0
5.44,-12.07,-11.79,-0.68,1.69,1.44,-20.38,33.15,21.62,49.56,-58.97,0.9338594493310527,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.45,-58.7,0.9337983590898727,5.0,0
1.83,-12.88,-14.43,2.03,-1.43,-1.37,-31.07,21.68,37.41,8.47,-33.82,0.9322902222339745,5.0,0
3.64,-12.71,-8.11,2.88,-2.04,0.5,-10.23,25.44,11.15,24.8,-19.54,0.9307676006781086,5.0,0
3.05,-18.39,-21.72,-0.32,1.1,1.27,-12.73,34.76,16.3,33.09,-26.68,0.9306471265607993,5.0,0
6.31,-12.03,-13.71,-0.77,1.99,1.41,-22.87,34.23,18.19,48.95,-61.69,0.9296151786814953,5.0,0
5.19,-12.4,-11.02,-0.58,1.47,1.42,-20.38,33.15,21.62,49.32,-58.55,0.9277744931810755,5.0,0
4.17,-13.23,-6.75,2.33,-1.51,1.13,-12.73,34.76,16.3,41.34,-36.71,0.9277201435406391,5.0,0
5.97,-17.03,-9.3,2.09,-1.77,-2.32,-25.19,31.9,23.51,51.19,-59.91,0.9273539599217696,5.0,0
-2.58,-28.37,-11.95,2.45,-2.4,0.76,-14.51,17.2,19.39,28.91,-36.55,0.9265307782033635,5.0,0
6.31,-12.03,-13.71,-0.77,1.99,1.41,-22.87,34.23,18.19,49.06,-61.77,0.9263658554810926,5.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.21,-44.31,0.9243793897997999,5.0,0
4.17,-13.23,-6.75,2.33,-1.51,1.13,-12.73,34.76,16.3,37.64,-28.13,0.9235233763233016,5.0,0
2.98,-16.99,-8.19,2.38,-1.88,1.4,-12.73,34.76,16.3,37.58,-28.15,0.9234261202612138,5.0,0
5.01,-13.07,-9.91,-0.4,1.18,1.38,-20.38,33.15,21.62,49.28,-56.06,0.9232060187452616,5.0,0
4.78,-8.48,-17.93,0.48,1.73,0.66,-20.2,1.07,27.62,26.54,-44.19,0.9231098954228197,5.0,0
5.22,-8.73,-20.77,1.12,0.9,0.39,-20.2,1.07,27.62,26.37,-43.84,0.9225697669129577,5.0,0
5.03,-9.56,-14.05,0.05,2.23,0.92,-20.2,1.07,27.62,27.9,-43.69,0.9224511389671889,5.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.36,-66.8,0.9218573858710456,5.0,0
-2.58,-28.37,-11.95,2.45,-2.4,0.76,-14.51,17.2,19.39,29.23,-37.2,0.9216658151871652,5.0,0
2.98,-16.99,-8.19,2.38,-1.88,1.4,-12.73,34.76,16.3,37.52,-28.17,0.921548108261577,5.0,0
5.63,-10.27,-21.5,1.75,0.05,0.3,-20.2,1.07,27.62,26.28,-43.75,0.9209881422598497,5.0,0
5.22,-8.73,-20.77,1.12,0.9,0.39,-20.2,1.07,27.62,26.42,-44.01,0.9205567235980875,5.0,0
4.31,-12.53,-10.37,2.22,-1.35,0.86,-12.73,34.76,16.3,41.44,-36.92,0.9201408625610029,5.0,0
5.63,-10.27,-21.5,1.75,0.05,0.3,-20.2,1.07,27.62,26.21,-43.91,0.9196150141374767,5.0,0
4.1,-18.33,-19.68,0.46,-0.45,1.38,-12.73,34.76,16.3,33.3,-26.4,0.9194505062196389,5.0,0
1.67,-12.31,-14.09,2.36,-1.61,-1.19,-31.07,21.68,37.41,8.68,-33.7,0.9193427266357331,5.0,0
4.1,-18.33,-19.68,0.46,-0.45,1.38,-12.73,34.76,16.3,33.74,-26.37,0.918571739928368,5.0,0
4.78,-8.48,-17.93,0.48,1.73,0.66,-20.2,1.07,27.62,27.83,-43.5,0.9182441896256527,5.0,0
4.31,-12.53,-10.37,2.22,-1.35,0.86,-12.73,34.76,16.3,41.57,-36.97,0.9175054831097501,5.0,0
6.45,-11.86,-14.34,-0.75,1.96,1.36,-22.87,34.23,18.19,47.2,-63.43,0.9171775849523919,5.0,0
3.64,-12.71,-8.11,2.88,-2.04,0.5,-10.23,25.44,11.15,22.96,-11.52,0.9162806575580548,5.0,0
-0.09,-20.45,-6.81,-0.01,1.87,0.27,-4.18,34.05,10.81,33.65,-26.9,0.9161308436327272,5.0,0
5.03,-9.56,-14.05,0.05,2.23,0.92,-20.2,1.07,27.62,27.97,-43.89,0.9157285051847316,5.0,0
2.68,-18.74,-16.63,1.36,-1.12,1.43,-12.73,34.76,16.3,37.2,-28.47,0.9151640630731744,5.0,0
7.33,-13.03,-15.25,1.03,-0.36,-0.54,-32.85,31.36,18.87,50.25,-66.65,0.9130703647461892,5.0,0
6.45,-11.86,-14.34,-0.75,1.96,1.36,-22.87,34.23,18.19,47.3,-63.5,0.9123442847727262,5.0,0
2.68,-18.74,-16.63,1.36,-1.12,1.43,-12.73,34.76,16.3,37.32,-28.27,0.9108795596113538,5.0,0
5.01,-13.07,-9.91,-0.4,1.18,1.38,-20.38,33.15,21.62,49.15,-55.75,0.910235587730074,5.0,0
3.19,-14.07,-7.59,2.94,-2.38,0.66,-10.23,25.44,11.15,22.88,-10.95,0.9078538121089449,5.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.2,-44.54,0.9058688240155152,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.58,-65.37,0.9051555686121829,5.0,0
1.67,-12.31,-14.09,2.36,-1.61,-1.19,-31.07,21.68,37.41,8.89,-33.58,0.9047905534221635,5.0,0
6.67,-11.86,-15.32,-0.69,1.84,1.3,-22.87,34.23,18.19,47.4,-63.56,0.9024454059255583,5.0,0
4.22,-13.15,-12.2,2.13,-1.33,0.69,-18.42,33.33,20.42,41.7,-37.01,0.9018817879175068,5.0,0
9.59,-12.99,-9.58,1.58,-0.43,0.41,-34.98,36.38,1.02,51.96,-40.45,0.9011604256086295,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.54,-65.61,0.900961526191128,5.0,0
4.91,-15.53,1.46,0.14,2.32,1.03,-20.2,1.07,27.62,28.27,-43.47,0.9007908000335642,5.0,0
-0.09,-20.45,-6.81,-0.01,1.87,0.27,-4.18,34.05,10.81,33.58,-26.81,0.8999354336126887,5.0,0
4.22,-13.15,-12.2,2.13,-1.33,0.69,-18.42,33.33,20.42,41.85,-37.01,0.8998955816158013,5.0,0
2.57,-15.77,-6.87,0.12,0.99,0.92,-22.87,32.08,-12.01,25.93,-34.09,0.8997321342887782,5.0,0
4.66,-14.18,-8.58,-0.09,0.72,1.31,-20.38,33.15,21.62,49.01,-55.39,0.8997124574568435,5.0,0
7.61,-12.89,-12.51,0.68,-0.56,0.7,-39.43,36.56,0.51,52.25,-44.23,0.8987185137517087,5.0,0
9.59,-12.99,-9.58,1.58,-0.43,0.41,-34.98,36.38,1.02,51.93,-40.44,0.8975820925430492,5.0,0
7.48,-12.99,-14.54,0.86,0.06,-0.52,-32.85,31.36,18.87,51.49,-65.46,0.8974246830472595,5.0,0
7.17,-13.21,-9.97,-0.18,0.74,0.62,-34.98,36.74,-0.68,51.75,-42.98,0.8972526934325146,5.0,0
6.67,-11.86,-15.32,-0.69,1.84,1.3,-22.87,34.23,18.19,47.54,-63.57,0.896586430295513,5.0,0
7.47,-13.19,-12.45,0.21,0.16,0.66,-39.43,36.56,0.51,52.07,-44.2,0.896134838492631,5.0,0
8.99,-9.32,-14.94,-0.24,0.02,-1.21,-22.16,35.66,15.44,48.67,-84.25,0.8958275557581362,5.0,0
3.19,-14.07,-7.59,2.94,-2.38,0.66,-10.23,25.44,11.15,22.86,-10.59,0.8958241873660112,5.0,0
8.63,-11.57,-12.83,0.75,0.38,-0.55,-36.41,31.36,14.41,51.57,-65.3,0.8957356326853466,5.0,0
3.18,-15.6,-2.9,-0.7,2.19,0.74,-22.87,32.08,-12.01,25.74,-34.28,0.8953203669538966,5.0,0
9.79,-12.1,-11.46,1.94,-0.77,0.31,-37.48,32.79,9.95,52.72,-47.94,0.8947764710852092,5.0,0
5.57,-11.68,-20.37,2.18,-0.49,0.36,-31.24,-10.75,30.37,25.35,-48.38,0.8945077297520428,5.0,0
9.41,-13.05,-9.43,1.49,-0.46,0.45,-34.98,36.38,1.02,51.9,-40.54,0.8944581974006595,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.22,-60.17,0.8944272147568625,5.0,0
7.61,-12.89,-12.51,0.68,-0.56,0.7,-39.43,36.56,0.51,52.49,-44.3,0.8942064675555242,5.0,0
8.99,-9.32,-14.94,-0.24,0.02,-1.21,-22.16,35.66,15.44,48.57,-84.29,0.8938070003884816,5.0,0
9.79,-12.1,-11.46,1.94,-0.77,0.31,-37.48,32.79,9.95,52.79,-47.96,0.8935686618786988,5.0,0
7.47,-13.19,-12.45,0.21,0.16,0.66,-39.43,36.56,0.51,51.92,-44.23,0.8931928338574643,5.0,0
0.95,-12.11,-14.34,2.48,-1.69,-0.98,-31.07,21.68,37.41,10.24,-27.07,0.8926005450457265,5.0,0
9.68,-12.46,-11.8,1.86,-0.69,0.35,-37.48,32.79,9.95,52.66,-48.07,0.8921432455897017,5.0,0
4.91,-15.53,1.46,0.14,2.32,1.03,-20.2,1.07,27.62,28.57,-43.06,0.8916307287307578,5.0,0
9.68,-12.46,-11.8,1.86,-0.69,0.35,-37.48,32.79,9.95,52.59,-48.19,0.890850464395292,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,51.63,-65.21,0.8905713027657859,5.0,0
7.17,-13.21,-9.97,-0.18,0.74,0.62,-34.98,36.74,-0.68,51.65,-43.01,0.8903048461597477,5.0,0
3.18,-15.6,-2.9,-0.7,2.19,0.74,-22.87,32.08,-12.01,25.92,-34.21,0.8896788080407677,5.0,0
9.41,-13.05,-9.43,1.49,-0.46,0.45,-34.98,36.38,1.02,51.85,-40.4,0.8894818859108969,5.0,0
8.03,-8.92,-12.69,-0.28,0.08,-0.89,-22.16,35.66,15.44,48.5,-84.34,0.889210462978088,5.0,0
0.6,-23.06,5.29,1.26,1.02,0.92,-20.2,1.07,27.62,29.48,-37.69,0.8887100960668181,5.0,0
8.43,-12.34,-12.56,1.07,-1.19,0.7,-39.43,36.56,0.51,54.0,-46.92,0.8886807029797897,5.0,0
0.6,-23.06,5.29,1.26,1.02,0.92,-20.2,1.07,27.62,29.41,-38.26,0.8885670972453431,5.0,0
4.66,-14.18,-8.58,-0.09,0.72,1.31,-20.38,33.15,21.62,48.86,-54.97,0.8882909579135726,5.0,0
9.15,-10.62,-10.34,0.8,0.42,-0.52,-36.41,31.36,14.41,53.41,-64.44,0.8880819565871113,5.0,0
7.03,-11.8,-16.01,-0.59,1.64,1.23,-22.87,34.23,18.19,47.66,-63.62,0.8878793318926838,5.0,0
5.57,-11.68,-20.37,2.18,-0.49,0.36,-31.24,-10.75,30.37,25.33,-48.33,0.887251116981869,5.0,0
6.91,-13.07,-7.81,-0.45,1.08,0.6,-34.98,36.74,-0.68,51.59,-42.94,0.8869924692517049,5.0,0
4.55,-14.92,-11.87,1.92,-1.25,0.71,-18.42,33.33,20.42,43.74,-42.92,0.8868742737599983,5.0,0
9.92,-11.69,-11.23,1.99,-0.81,0.26,-37.48,32.79,9.95,53.02,-51.12,0.8866410007281528,5.0,0
9.72,-12.86,-11.15,1.74,-0.54,0.38,-37.48,32.79,9.95,52.53,-48.14,0.8858599342791983,5.0,0
2.57,-15.77,-6.87,0.12,0.99,0.92,-22.87,32.08,-12.01,25.96,-33.99,0.8855658300248118,5.0,0
2.66,-15.71,-8.5,3.07,-2.77,0.79,-10.23,25.44,11.15,22.83,-10.39,0.8855221202695632,5.0,0
4.18,-15.56,-8.9,0.32,0.13,1.21,-18.42,33.33,20.42,48.68,-54.56,0.8852879117445757,5.0,0
8.08,-12.38,-14.16,-0.13,0.59,-1.39,-22.16,35.66,15.44,48.77,-84.11,0.8850401778177851,5.0,0
5.0,-17.8,-10.1,1.89,-1.37,-2.12,-19.85,27.95,29.0,51.28,-60.45,0.8845102261308294,5.0,0
-1.76,-20.0,-22.64,2.3,-4.14,-1.3,-42.1,17.38,46.33,5.24,-44.96,0.8836843891916585,5.0,0
9.72,-12.86,-11.15,1.74,-0.54,0.38,-37.48,32.79,9.95,51.99,-40.46,0.8836785522163227,5.0,0
5.02,-12.26,-18.37,2.35,-0.87,0.45,-31.24,-10.75,30.37,25.32,-48.41,0.8831253541527729,5.0,0
7.03,-11.8,-16.01,-0.59,1.64,1.23,-22.87,34.23,18.19,46.7,-64.6,0.8829809560640024,5.0,0
8.85,-13.1,-9.46,1.43,-0.52,0.49,-34.98,36.38,1.02,50.97,-35.37,0.8826755783739647,5.0,0
9.94,-9.82,-9.63,1.09,0.14,-0.42,-36.41,31.36,14.41,53.54,-64.26,0.8824549785087846,5.0,0
4.02,-16.33,-9.54,0.78,-0.38,1.09,-18.42,33.33,20.42,47.33,-51.01,0.8818403351312459,5.0,0
4.55,-14.92,-11.87,1.92,-1.25,0.71,-18.42,33.33,20.42,43.94,-43.18,0.8816873061026335,5.0,0
4.18,-15.56,-8.9,0.32,0.13,1.21,-18.42,33.33,20.42,47.5,-51.3,0.8816721621558922,5.0,0
0.95,-12.11,-14.34,2.48,-1.69,-0.98,-31.07,21.68,37.41,10.37,-27.15,0.881549532573949,5.0,0
9.92,-11.69,-11.23,1.99,-0.81,0.26,-37.48,32.79,9.95,53.08,-51.01,0.8809983420551019,5.0,0
8.08,-12.38,-14.16,-0.13,0.59,-1.39,-22.16,35.66,15.44,48.67,-83.84,0.8807391018892096,5.0,0
-0.12,-19.25,-8.77,0.34,1.52,0.15,-4.18,34.05,10.81,33.5,-26.77,0.880627099781666,5.0,0
4.35,-16.55,-11.87,1.61,-1.09,0.81,-18.42,33.33,20.42,44.49,-44.13,0.8801254774111728,5.0,0
4.35,-16.55,-11.87,1.61,-1.09,0.81,-18.42,33.33,20.42,44.23,-43.72,0.8792436857272049,5.0,0
4.07,-16.86,-10.81,1.23,-0.8,0.95,-18.42,33.33,20.42,46.76,-49.87,0.8780878174632768,5.0,0
2.41,-16.04,-1.4,-1.49,3.51,0.58,-34.45,27.24,-10.12,24.79,-32.24,0.8779011643706914,5.0,0
6.91,-13.07,-7.81,-0.45,1.08,0.6,-34.98,36.74,-0.68,51.56,-42.82,0.8771858952768273,5.0,0
8.03,-8.92,-12.69,-0.28,0.08,-0.89,-22.16,35.66,15.44,48.47,-86.15,0.8767290153735389,5.0,0
2.05,-15.39,-10.35,0.69,0.29,1.02,-22.87,32.08,-12.01,24.98,-32.23,0.8765741229526242,5.0,0
8.85,-13.1,-9.46,1.43,-0.52,0.49,-34.98,36.38,1.02,50.93,-35.4,0.8764636604134278,5.0,0
5.02,-12.26,-18.37,2.35,-0.87,0.45,-31.24,-10.75,30.37,25.34,-48.88,0.8762720714450526,5.0,0
2.66,-15.71,-8.5,3.07,-2.77,0.79,-10.23,25.44,11.15,20.55,-2.98,0.8761770683428921,5.0,0
4.07,-16.86,-10.81,1.23,-0.8,0.95,-18.42,33.33,20.42,46.48,-49.38,0.876054931795249,5.0,0
9.94,-9.82,-9.63,1.09,0.14,-0.42,-36.41,31.36,14.41,53.64,-64.13,0.8759348658027716,5.0,0
1.11,-17.45,-6.8,-1.75,4.12,0.55,-34.45,27.24,-10.12,24.58,-32.71,0.8758995099542496,5.0,0
2.41,-16.04,-1.4,-1.49,3.51,0.58,-34.45,27.24,-10.12,24.69,-32.47,0.8756395031426772,5.0,0
12.61,-9.18,-20.3,-0.28,0.22,-1.76,-22.16,35.66,15.44,47.23,-80.06,0.8753942080879428,5.0,0
8.43,-12.34,-12.56,1.07,-1.19,0.7,-39.43,36.56,0.51,54.23,-46.95,0.8753183741825584,5.0,0
10.14,-11.29,-11.71,2.05,-0.88,0.2,-37.48,32.79,9.95,53.14,-51.05,0.8752245393909676,5.0,0
4.02,-16.33,-9.54,0.78,-0.38,1.09,-18.42,33.33,20.42,47.16,-50.73,0.8749915302639538,5.0,0
8.89,-10.5,-13.55,1.23,-1.54,0.64,-39.43,36.56,0.51,54.46,-46.98,0.8744653317063172,5.0,0
4.43,-12.53,-19.35,2.31,-1.2,0.54,-31.24,-10.75,30.37,25.36,-49.2,0.8742885863898328,5.0,0
7.35,-11.97,-16.15,-0.45,1.4,1.15,-22.87,34.23,18.19,46.73,-64.69,0.8715090224215393,5.0,0
0.01,-11.85,-16.32,2.4,-1.59,-0.78,-31.07,21.68,37.41,10.73,-25.73,0.8706587855307676,5.0,0
8.42,-13.1,-10.06,1.42,-0.6,0.53,-34.98,36.38,1.02,50.86,-35.46,0.8699697670568979,5.0,0
12.61,-9.18,-20.3,-0.28,0.22,-1.76,-22.16,35.66,15.44,47.29,-79.79,0.8696669041473856,5.0,0
2.31,-18.37,-9.1,-1.65,1.03,-0.83,-8.27,35.66,2.05,41.32,-48.24,0.8695136624967889,5.0,0
10.14,-11.29,-11.71,2.05,-0.88,0.2,-37.48,32.79,9.95,53.25,-52.63,0.8694985902774649,5.0,0
4.43,-12.53,-19.35,2.31,-1.2,0.54,-31.24,-10.75,30.37,26.26,-54.42,0.8690242231479214,5.0,0
7.35,-11.97,-16.15,-0.45,1.4,1.15,-22.87,34.23,18.19,46.79,-64.8,0.8688668442104676,5.0,0
10.24,-10.88,-11.92,2.07,-0.95,0.12,-37.48,32.79,9.95,53.32,-52.79,0.8678615735434031,5.0,0
10.15,-9.59,-8.95,1.49,-0.29,-0.27,-36.41,31.36,14.41,53.71,-63.89,0.8676888035311895,5.0,0
5.9,-15.74,-8.84,-0.97,1.46,-0.83,-21.81,37.09,3.08,49.86,-60.75,0.8676767079514799,5.0,0
5.63,-14.98,-7.77,-0.7,1.3,-0.84,-21.81,37.09,3.08,51.52,-62.8,0.8673506042561631,5.0,0
5.9,-15.74,-8.84,-0.97,1.46,-0.83,-21.81,37.09,3.08,49.73,-60.72,0.8673160820570672,5.0,0
0.01,-11.85,-16.32,2.4,-1.59,-0.78,-31.07,21.68,37.41,10.78,-26.03,0.8667481555310038,5.0,0
6.26,-12.89,-6.73,-0.58,1.19,0.6,-34.98,36.74,-0.68,51.5,-42.72,0.8667349074026188,5.0,0
8.89,-10.5,-13.55,1.23,-1.54,0.64,-39.43,36.56,0.51,54.76,-46.99,0.8662816175981926,5.0,0
1.11,-17.45,-6.8,-1.75,4.12,0.55,-34.45,27.24,-10.12,24.49,-32.68,0.8654241820824814,5.0,0
5.47,-15.4,-7.2,-0.39,1.05,-0.84,-21.81,37.09,3.08,51.57,-62.36,0.8653631470469455,5.0,0
3.25,-16.05,-8.64,-0.19,1.67,0.16,-16.11,37.09,-5.49,55.43,-40.43,0.8650621335694885,5.0,0
8.25,-8.88,-11.28,-0.28,0.05,-0.61,-29.28,33.87,15.44,48.42,-86.01,0.8650491086881574,5.0,0
-0.12,-19.25,-8.77,0.34,1.52,0.15,-4.18,34.05,10.81,33.48,-26.67,0.8646403391534122,5.0,0
3.25,-16.05,-8.64,-0.19,1.67,0.16,-16.11,37.09,-5.49,55.2,-40.32,0.8640811100374283,5.0,0
5.63,-14.98,-7.77,-0.7,1.3,-0.84,-21.81,37.09,3.08,51.58,-62.65,0.8638099546839605,5.0,0
-0.47,-21.0,-3.49,3.26,-3.29,0.84,-10.23,25.44,11.15,20.43,-2.11,0.8637822701909154,5.0,0
8.42,-13.1,-10.06,1.42,-0.6,0.53,-34.98,36.38,1.02,50.81,-35.62,0.8636508296183733,5.0,0
2.05,-15.39,-10.35,0.69,0.29,1.02,-22.87,32.08,-12.01,24.9,-32.12,0.8628791147180502,5.0,0
10.19,-9.79,-10.44,1.85,-0.74,-0.1,-36.41,31.36,14.41,53.95,-59.47,0.8623517384637717,5.0,0
3.21,-15.99,-9.54,0.0,1.29,0.15,-16.11,37.09,-5.49,56.33,-38.31,0.8623419683078103,5.0,0
10.24,-10.88,-11.92,2.07,-0.95,0.12,-37.48,32.79,9.95,53.7,-59.28,0.8618982505273584,5.0,0
4.12,-18.07,-12.13,1.73,-1.17,-1.91,-19.85,27.95,29.0,49.7,-60.39,0.8615643065193769,5.0,0
-0.08,-11.51,-16.55,2.19,-1.29,-0.57,-31.07,21.68,37.41,10.85,-26.18,0.8614391280714465,5.0,0
-9.91,6.05,1.73,-0.97,1.35,-0.57,48.07,-23.92,6.06,-84.78,-107.28,0.8613149174291662,5.0,0
2.31,-18.37,-9.1,-1.65,1.03,-0.83,-8.27,35.66,2.05,41.25,-48.17,0.8612743456763977,5.0,0
-10.3,4.55,0.71,-1.1,1.56,-0.52,48.07,-23.92,6.06,-84.93,-109.71,0.8609488075532156,5.0,0
4.39,-11.34,-19.98,2.05,-1.48,0.52,-31.24,-10.75,30.37,26.33,-54.65,0.8606188918104055,5.0,0
2.58,-22.42,-8.18,-1.58,1.66,-0.54,-8.27,35.66,2.05,41.05,-47.25,0.8605420435762846,5.0,0
-10.3,4.55,0.71,-1.1,1.56,-0.52,48.07,-23.92,6.06,-85.12,-112.82,0.8605401617834506,5.0,0
-1.98,-21.1,2.76,2.82,-3.13,0.59,-10.23,25.44,11.15,18.53,6.38,0.8599781407642734,5.0,0
1.85,-17.54,-7.85,3.18,-3.05,0.86,-10.23,25.44,11.15,20.59,-3.0,0.859923382944885,5.0,0
