v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lstm_autoencoder,anomaly_vote_count,GERCEK_ETIKET_label
-8.69,-4.98,-1.11,0.02,-0.02,0.0,56.55,15.32,11.44,-34.41,-5.96,0.9999999595149904,1.0,0
-8.61,-5.11,-0.69,0.0,0.0,0.0,54.93,16.57,11.96,-35.24,-5.83,0.9999999594243976,1.0,0
-8.97,-5.44,-0.89,0.0,0.05,-0.08,57.09,16.93,11.26,-35.45,-4.71,0.999999959335131,1.0,0
-8.68,-4.98,-0.69,0.0,0.01,0.0,54.93,17.64,10.92,-35.15,-5.43,0.9999999590474954,1.0,0
-8.59,-5.14,-1.08,0.0,-0.01,0.01,53.48,15.86,13.69,-35.06,-7.04,0.9999999589321193,1.0,0
-10.09,-4.48,-0.34,0.0,0.0,0.01,69.9,21.95,-0.78,-40.69,-2.95,0.9999999588193381,1.0,0
-8.78,-4.91,-0.78,-0.01,0.01,-0.02,56.91,17.11,12.48,-35.74,-3.54,0.9999999587918852,1.0,0
-8.63,-5.16,-0.93,0.0,0.0,0.0,56.55,14.96,11.44,-35.19,-4.86,0.9999999586556355,1.0,0
-8.71,-4.99,-0.61,-0.02,0.04,0.0,55.83,16.04,12.13,-35.44,-4.6,0.9999999584220753,1.0,0
-8.89,-4.67,-0.6,0.0,0.01,0.0,56.19,15.68,9.69,-37.31,-3.11,0.9999999580672461,1.0,0
-8.57,-5.14,-0.81,0.0,0.0,0.0,56.37,17.29,12.65,-34.65,-5.79,0.999999958040416,1.0,0
-8.58,-5.15,-0.76,0.01,-0.01,0.0,53.3,17.11,12.48,-34.47,-5.41,0.9999999577736194,1.0,0
-8.69,-5.08,-0.8,0.0,0.01,0.0,56.55,16.75,12.48,-34.63,-5.54,0.9999999574533297,1.0,0
-8.55,-5.13,-0.86,0.0,0.02,0.0,54.2,15.86,11.96,-34.5,-6.17,0.9999999574511039,1.0,0
-8.67,-5.03,-1.11,0.0,-0.01,0.0,54.93,15.86,12.3,-34.08,-5.89,0.9999999574165529,1.0,0
-8.69,-5.01,-0.8,0.0,0.01,0.0,52.58,15.68,13.17,-34.49,-6.66,0.9999999573149465,1.0,0
-8.67,-4.95,-1.36,0.02,-0.01,0.0,54.56,15.86,14.38,-33.56,-7.3,0.9999999571573965,1.0,0
-8.68,-5.08,-0.9,0.0,0.0,0.0,55.65,15.5,11.26,-33.8,-6.02,0.9999999570087149,1.0,0
-10.02,-4.54,-0.25,0.02,-0.01,0.0,67.55,21.77,-0.26,-40.91,-2.55,0.9999999569837645,1.0,0
-8.65,-5.05,-0.86,0.0,0.0,0.0,51.5,14.6,13.86,-34.54,-6.64,0.9999999569787363,1.0,0
-8.61,-5.01,-0.88,0.01,0.0,0.01,55.65,15.5,13.0,-34.44,-6.26,0.9999999569221065,1.0,0
-8.61,-5.11,-1.25,0.0,-0.01,0.0,53.3,14.96,13.86,-34.26,-7.24,0.9999999565285571,1.0,0
-8.55,-5.14,-0.7,-0.01,0.02,0.0,55.83,16.04,11.78,-34.8,-5.16,0.9999999565103879,1.0,0
-8.69,-5.14,-0.77,0.0,0.01,-0.01,52.04,15.5,11.96,-34.57,-6.05,0.9999999563423952,1.0,0
-10.02,-4.51,0.28,0.02,0.0,0.0,82.17,20.87,0.6,-42.75,-1.05,0.9999999562032393,1.0,0
-10.16,-4.42,-0.19,0.02,-0.01,0.01,78.92,21.59,0.95,-41.35,-2.19,0.9999999560820511,1.0,0
-8.61,-5.11,-0.81,0.01,-0.01,0.0,57.27,17.47,11.78,-34.76,-5.27,0.9999999560368382,1.0,0
-8.61,-5.16,-0.73,-0.01,0.01,0.0,55.83,14.96,12.48,-34.08,-6.03,0.999999956021379,1.0,0
-8.61,-5.12,-0.84,0.0,0.01,0.0,55.11,14.24,14.9,-34.54,-6.55,0.9999999559883445,1.0,0
-10.06,-4.51,-0.1,0.0,0.03,0.0,77.29,19.62,0.43,-41.32,-0.98,0.9999999559747477,1.0,0
-8.65,-5.08,-0.77,0.0,0.01,0.0,56.91,15.68,11.09,-35.05,-5.81,0.9999999557276427,1.0,0
-8.63,-5.05,-0.74,0.0,0.0,0.0,55.83,16.39,11.44,-35.13,-5.67,0.9999999557103556,1.0,0
-8.57,-5.09,-1.17,0.01,-0.01,0.0,52.94,15.68,14.56,-33.47,-7.29,0.9999999554606731,1.0,0
-8.66,-4.99,-0.68,0.0,0.0,0.0,55.47,18.19,10.05,-34.89,-3.87,0.9999999553607679,1.0,0
-10.09,-4.59,0.0,0.0,0.0,0.01,78.92,19.8,-1.12,-41.27,-1.06,0.9999999551905783,1.0,0
-8.78,-4.99,-1.11,0.02,0.02,-0.02,54.56,14.06,12.65,-34.46,-7.15,0.9999999551050712,1.0,0
-8.55,-5.08,-1.3,0.0,0.0,0.0,56.37,18.37,14.38,-35.19,-9.01,0.9999999550862734,1.0,0
-8.63,-5.13,-0.72,0.0,0.01,0.0,54.74,17.82,12.48,-34.64,-5.33,0.999999955061052,1.0,0
-10.14,-4.32,0.24,-0.07,0.11,-0.04,79.64,19.8,2.68,-44.61,-2.34,0.9999999549288444,1.0,0
-8.67,-5.07,-0.89,0.01,-0.02,0.01,53.84,16.93,11.96,-34.51,-5.96,0.9999999549135813,1.0,0
-8.69,-5.08,-0.97,0.0,0.0,0.0,54.2,13.71,13.0,-34.21,-6.98,0.9999999548724279,1.0,0
-8.67,-4.96,-0.52,0.02,0.02,0.02,53.48,18.72,11.61,-34.88,-4.24,0.9999999548569745,1.0,0
-8.65,-4.92,-0.45,-0.01,0.0,0.0,56.55,16.04,11.09,-35.07,-3.4,0.9999999545501143,1.0,0
-8.55,-5.17,-0.72,0.0,0.01,0.0,54.2,16.57,11.26,-34.67,-5.32,0.9999999543468094,1.0,0
-8.61,-5.12,-0.65,-0.01,0.02,0.0,56.37,14.42,10.92,-34.95,-4.69,0.9999999540373371,1.0,0
-8.72,-5.03,-0.72,0.01,0.0,0.0,54.02,16.75,10.4,-34.62,-4.36,0.9999999538410498,1.0,0
-8.61,-5.15,-0.94,0.0,0.0,0.0,54.93,15.5,13.0,-34.21,-6.47,0.9999999537590889,1.0,0
-8.71,-5.03,-1.07,0.0,0.01,0.0,52.76,15.5,14.04,-34.95,-6.21,0.9999999534478925,1.0,0
-8.61,-5.19,-0.64,0.0,0.02,0.0,56.37,16.57,11.26,-34.74,-5.33,0.9999999534388684,1.0,0
-8.69,-5.05,-1.12,-0.01,0.03,0.0,53.84,15.14,12.3,-34.25,-7.19,0.999999953186545,1.0,0
-10.11,-4.34,-0.08,0.02,0.0,0.0,78.92,21.59,0.95,-41.36,-2.07,0.9999999531641952,1.0,0
-8.67,-4.9,-1.09,0.01,0.0,0.01,55.65,15.86,13.69,-34.99,-5.51,0.999999953060242,1.0,0
-8.61,-5.05,-0.99,0.0,0.0,0.0,55.65,15.5,12.3,-34.23,-5.99,0.99999995298433,1.0,0
-8.64,-5.08,-0.85,0.01,-0.02,0.0,56.19,16.39,13.52,-34.5,-5.52,0.9999999525085257,1.0,0
-8.65,-5.05,-0.98,0.01,0.0,0.0,55.83,17.47,14.21,-34.39,-6.46,0.9999999524561397,1.0,0
-8.66,-4.92,-1.12,0.0,0.0,0.0,50.96,15.86,15.08,-34.01,-6.56,0.9999999523624504,1.0,0
-8.81,-5.09,-0.98,0.0,0.03,0.0,54.74,15.32,10.74,-34.43,-3.86,0.9999999521793099,1.0,0
-8.91,-4.67,-0.42,0.0,0.02,0.0,56.19,15.68,9.69,-37.31,-3.13,0.9999999519800183,1.0,0
-8.56,-5.09,-0.66,0.0,0.03,0.0,56.55,16.75,12.48,-33.79,-5.67,0.9999999519273325,1.0,0
-8.69,-5.17,-1.06,0.02,0.0,0.0,53.66,16.39,13.17,-34.35,-6.21,0.999999951907664,1.0,0
-8.59,-5.13,-0.89,0.0,0.01,0.0,53.12,15.5,13.69,-34.21,-6.98,0.9999999518992165,1.0,0
-8.75,-5.13,-1.2,0.01,0.0,-0.01,54.93,16.21,12.3,-35.52,-6.87,0.9999999518305352,1.0,0
-8.57,-5.05,-0.79,0.0,0.0,0.0,53.84,14.42,11.96,-34.7,-6.53,0.999999951783062,1.0,0
-8.71,-5.03,-0.96,0.0,0.0,0.0,54.2,17.29,9.88,-34.64,-5.67,0.9999999515885737,1.0,0
-8.66,-5.17,-0.88,-0.01,0.04,-0.02,54.93,16.21,13.69,-35.07,-7.95,0.9999999514836518,1.0,0
-8.61,-5.09,-0.71,0.0,0.01,0.0,52.76,14.78,13.69,-34.69,-6.46,0.999999951324049,1.0,0
-8.67,-5.09,-0.78,0.0,0.0,0.0,54.56,16.93,11.26,-34.44,-6.0,0.9999999512422496,1.0,0
-8.68,-5.05,-0.82,0.01,0.0,0.0,57.27,17.82,13.17,-34.82,-5.47,0.9999999511719134,1.0,0
-8.69,-5.01,-0.8,0.0,0.01,0.0,52.58,15.68,13.17,-34.48,-6.66,0.9999999511421482,1.0,0
-8.69,-4.98,-0.98,0.0,0.0,0.0,55.29,16.93,11.26,-36.03,-5.27,0.9999999511099902,1.0,0
-8.68,-5.05,-0.69,0.0,0.0,0.0,51.5,16.04,12.13,-34.47,-5.74,0.9999999510693441,1.0,0
-8.76,-5.12,-1.25,0.02,-0.01,0.0,54.2,17.64,10.92,-34.96,-4.8,0.9999999507734455,1.0,0
-8.71,-5.03,-0.92,0.0,0.0,0.0,55.83,17.82,12.82,-34.24,-5.22,0.9999999506454819,1.0,0
-8.66,-5.09,-0.71,0.0,0.0,0.0,54.38,17.11,12.13,-34.89,-4.81,0.9999999506410304,1.0,0
-8.61,-5.09,-0.47,0.0,0.0,0.0,56.19,15.68,10.74,-34.89,-4.0,0.9999999506273299,1.0,0
-8.6,-5.16,-0.5,0.01,0.0,-0.03,56.37,15.14,11.96,-34.71,-4.57,0.9999999506116747,1.0,0
-8.64,-5.13,-0.81,0.0,0.0,-0.02,56.37,16.57,11.26,-34.25,-5.37,0.9999999505956676,1.0,0
-10.02,-4.47,0.19,-0.02,0.05,-0.01,78.02,19.62,0.43,-41.79,-2.33,0.9999999504900019,1.0,0
-8.69,-5.14,-0.77,0.0,0.01,-0.01,52.04,15.5,11.96,-34.57,-6.04,0.9999999503619345,1.0,0
-8.61,-5.14,-0.74,0.0,0.0,0.0,52.76,16.21,13.0,-34.54,-6.12,0.999999950165895,1.0,0
-8.58,-5.09,-1.06,0.0,0.0,0.0,53.66,16.75,13.52,-34.35,-6.72,0.9999999501336101,1.0,0
