v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_supervised_xgboost,anomaly_vote_count,GERCEK_ETIKET_label
-3.07,-5.01,-0.25,0.84,-0.83,0.01,59.07,35.75,20.11,-37.18,-3.68,0.9998929044405469,8.0,1
-6.9,-13.97,-14.22,0.5,-2.06,0.07,54.02,36.47,19.76,-37.58,-1.9,0.9998929044405469,9.0,0
-6.47,-4.38,-8.35,0.39,-0.14,1.03,55.83,18.19,9.69,-37.19,-4.37,0.9998929044405469,7.0,0
-5.61,-10.36,-7.95,0.71,0.31,0.57,47.71,19.44,13.34,-36.68,-5.99,0.9998929044405469,6.0,1
-3.64,0.38,-5.7,0.46,-0.35,0.07,63.76,33.6,18.37,-37.81,-5.59,0.9998929044405469,7.0,1
1.05,-4.38,-14.03,0.26,-0.03,0.97,52.4,18.01,10.92,-37.69,-3.27,0.9998929044405469,7.0,1
2.09,-13.47,-16.44,-0.91,0.65,-0.28,56.01,16.21,11.96,-35.82,-6.16,0.9998929044405469,9.0,1
-2.87,-5.29,-6.62,0.21,-0.33,0.63,55.29,19.8,13.69,-35.69,-5.75,0.9998929044405469,7.0,1
-6.38,-8.1,-8.86,0.63,-1.57,0.04,49.69,33.6,21.15,-37.75,-6.64,0.9998815965853868,9.0,1
-3.67,-7.64,-15.31,1.21,-1.3,0.15,51.14,31.45,21.84,-38.17,-6.38,0.9998815965853868,10.0,1
-5.94,-10.18,-15.01,-0.42,-1.84,0.43,46.27,17.29,6.76,-37.31,1.66,0.9998815965853868,8.0,1
1.79,0.68,-12.09,-1.3,-0.94,0.14,48.79,20.16,9.18,-36.83,-1.29,0.9998815965853868,8.0,1
-9.48,-8.89,-3.26,0.36,-0.77,0.87,48.25,17.47,10.74,-38.22,-2.08,0.9998815965853868,7.0,1
-9.99,-12.14,3.84,0.59,-0.65,0.68,46.99,16.93,11.61,-37.84,-2.25,0.9998815965853868,7.0,1
7.3,-4.59,-20.98,0.53,0.81,-0.01,45.18,18.72,8.84,-37.56,-1.7,0.9998815965853868,10.0,1
-6.88,-12.82,-6.45,0.66,-0.74,0.6,46.27,16.93,11.61,-32.91,-7.94,0.9998815965853868,7.0,1
-4.34,-10.88,-10.49,-0.28,-1.05,0.78,43.74,16.21,6.06,-36.04,0.48,0.9998815965853868,7.0,1
-12.23,-11.84,-14.49,0.41,-0.72,0.6,86.31,19.26,-0.6,-43.9,1.67,0.9998075271425918,9.0,1
-1.43,-8.0,24.39,1.03,-1.03,0.0,54.38,35.75,19.76,-36.24,-3.4,0.999795142348845,10.0,1
2.25,-13.59,-21.67,-0.95,1.41,0.01,57.63,16.39,13.17,-37.05,-5.0,0.9996906194760156,8.0,0
-2.42,-8.97,-10.52,0.09,0.1,0.93,51.86,18.54,10.74,-37.36,-2.76,0.9996906194760156,7.0,1
2.9,-10.59,-33.63,-1.37,-1.08,-0.52,57.99,37.18,20.8,-37.99,-3.28,0.9996906194760156,9.0,0
-1.71,-15.48,-17.91,-0.26,-1.59,-0.26,61.42,35.21,19.93,-37.29,-2.84,0.9996906194760156,9.0,0
11.19,-8.02,-9.01,-0.75,0.78,0.06,51.86,16.75,11.44,-39.95,-8.97,0.9996906194760156,7.0,1
4.16,-5.23,-14.06,-0.92,-1.7,-0.24,60.34,33.42,19.23,-36.35,-3.44,0.9996906194760156,8.0,0
0.97,-6.99,-4.74,1.2,-1.39,0.0,50.78,35.75,19.76,-36.16,-8.02,0.9996906194760156,7.0,1
-5.52,-5.44,-10.97,0.56,-0.86,-0.03,55.65,37.0,22.71,-36.72,-6.29,0.9996906194760156,5.0,0
2.25,-1.98,-12.21,0.21,-1.4,-0.06,49.69,36.47,21.84,-37.95,-2.89,0.9996906194760156,9.0,0
-5.01,-6.25,-17.43,-0.26,-1.63,0.0,54.2,36.29,20.63,-37.11,-3.13,0.9996906194760156,8.0,0
-2.74,-21.57,-22.26,0.98,-0.79,0.13,51.68,36.65,17.51,-37.18,-5.71,0.9996906194760156,7.0,0
1.01,-24.61,-52.35,-0.26,-0.63,-0.25,57.45,37.72,23.75,-34.06,-6.97,0.9996906194760156,10.0,1
-6.31,-4.17,-4.04,-0.19,-1.06,-0.25,64.13,36.47,18.03,-38.5,0.12,0.9996906194760156,9.0,0
-0.76,-7.0,4.92,0.39,-0.43,0.77,55.47,18.89,12.82,-35.81,-4.57,0.9996906194760156,4.0,1
-11.9,3.64,-25.73,0.42,-0.65,0.9,55.83,18.89,13.52,-37.13,-3.58,0.9996471829530196,10.0,1
-5.05,-8.23,-8.24,0.12,0.26,0.45,54.38,19.26,14.21,-34.64,-5.31,0.9996406016616565,6.0,0
-10.57,-7.94,7.58,1.15,-0.59,1.0,48.43,18.72,11.26,-37.71,-2.29,0.9996212765970177,7.0,0
-11.66,-7.27,7.32,1.13,-0.69,1.11,49.51,18.01,14.04,-38.05,-1.43,0.9996212765970177,9.0,1
1.01,-13.52,1.41,-0.33,0.3,-0.61,45.73,16.75,10.05,-37.04,-3.08,0.9995331471226745,5.0,1
9.15,-6.37,-8.76,-0.86,-0.43,-0.45,48.07,20.52,12.65,-37.56,-5.42,0.9994844455665879,9.0,1
-5.76,-26.44,20.9,0.51,0.08,-0.17,48.61,19.62,13.86,-36.81,-6.17,0.9994844455665879,9.0,0
-0.98,-7.82,-2.57,0.15,-1.22,0.27,54.74,28.58,18.03,-36.86,-6.19,0.9994844455665879,5.0,1
-1.22,-12.41,-2.97,1.5,-1.6,0.13,49.51,30.91,19.93,-36.94,-2.91,0.9994844455665879,9.0,0
-1.99,-5.37,-10.19,-0.27,-2.04,-0.08,53.3,36.83,22.19,-37.91,-5.41,0.9994844455665879,9.0,1
49.54,-78.5,-2.84,0.49,1.51,-0.35,50.42,33.6,22.88,-34.49,-6.27,0.9994844455665879,6.0,1
-6.34,-8.6,-5.4,0.97,-0.8,0.15,51.14,37.54,18.72,-37.63,-1.06,0.9994844455665879,9.0,0
4.23,-19.41,-11.14,-0.67,0.28,0.05,49.15,14.06,6.41,-37.0,-1.69,0.9994844455665879,8.0,1
11.35,-12.7,-13.2,-0.75,-0.22,-0.32,47.89,18.54,11.78,-36.76,-5.47,0.9994844455665879,7.0,1
-5.39,-11.8,-17.98,0.98,-1.34,0.07,50.42,34.67,20.8,-38.31,-3.64,0.9994844455665879,9.0,0
0.39,-8.4,-19.75,0.08,-1.05,0.15,53.48,30.91,18.55,-37.23,-6.84,0.9994844455665879,9.0,0
-10.22,-6.49,-25.48,1.34,-1.47,0.96,54.38,19.62,13.86,-34.74,-5.7,0.999442265471943,6.0,1
-9.48,-10.11,-8.85,1.6,-1.83,1.04,52.94,19.26,13.52,-37.78,-3.33,0.999442265471943,6.0,1
-10.48,0.28,-11.8,-0.32,0.28,0.65,53.84,18.01,14.38,-36.5,-5.31,0.9994320345553696,5.0,1
4.05,-7.09,9.81,1.44,0.38,0.21,47.17,17.82,5.54,-34.97,-2.68,0.999376871367763,6.0,1
6.5,-5.42,-0.59,0.0,0.0,-0.01,48.61,17.82,7.97,-34.21,-2.33,0.9993751961299614,5.0,0
28.24,-34.79,-2.67,0.13,-0.13,0.15,47.89,16.39,9.01,-34.29,-1.7,0.9993425888227536,7.0,1
-5.74,0.36,-7.2,0.16,-0.56,0.76,47.89,14.6,6.93,-37.14,-1.18,0.9993188961738467,7.0,1
-12.91,-7.44,-13.44,-0.09,0.0,0.49,47.17,17.82,5.54,-34.37,-2.04,0.9992201169734796,5.0,0
-7.1,-5.14,-2.87,0.68,-0.68,0.9,48.61,16.75,11.78,-36.47,-0.04,0.9992201169734796,7.0,1
-8.74,-11.76,-20.02,0.36,-1.48,0.18,50.78,33.6,14.9,-37.55,-2.7,0.9992201169734796,9.0,0
-11.79,-2.76,-8.94,-0.22,-1.2,0.15,52.22,31.09,20.8,-35.65,-8.43,0.9992201169734796,6.0,1
-4.53,-9.81,-9.41,0.76,-0.86,0.06,55.65,35.57,20.63,-35.7,-2.09,0.9991535861007914,8.0,1
5.43,-43.65,11.93,-0.01,0.17,0.28,55.65,35.57,20.63,-35.27,-2.28,0.999005028405751,7.0,0
24.49,-36.4,-20.07,0.16,0.37,0.25,56.55,35.03,19.41,-35.23,-2.55,0.999005028405751,7.0,1
0.35,-41.85,-23.58,1.29,1.39,0.23,52.22,31.09,20.8,-34.75,-6.21,0.999005028405751,4.0,0
-3.31,-3.59,5.09,0.87,-1.13,1.02,83.25,23.03,1.99,-45.13,2.71,0.9988802830194606,10.0,1
-6.86,-51.59,-4.66,0.65,-1.76,0.28,51.14,20.7,13.86,-35.85,-0.45,0.9988132136774791,8.0,0
4.98,2.29,15.34,0.56,-1.19,-0.27,56.19,38.61,21.15,-38.3,-5.54,0.9987768370852179,10.0,1
-4.32,0.12,-13.19,0.85,-0.82,1.09,50.42,19.98,13.52,-36.47,0.39,0.9986976820990969,6.0,1
-5.19,-2.95,-6.44,1.05,-1.27,1.1,52.58,16.04,12.48,-35.35,-5.77,0.9986976820990969,6.0,1
-6.1,3.5,-5.39,0.51,-0.44,0.82,54.2,18.01,12.3,-37.75,-4.23,0.9986976820990969,5.0,1
-3.76,-10.32,-16.95,0.19,-0.51,0.41,47.89,16.39,9.01,-35.49,-0.04,0.998682664788805,6.0,0
-4.74,-6.32,7.33,-1.17,1.71,-0.25,51.68,20.52,13.0,-34.63,-7.75,0.9986610661871499,8.0,1
10.99,-52.52,23.27,-0.01,0.0,-0.5,83.43,23.2,5.63,-40.64,-2.4,0.9984136096318995,7.0,1
-11.33,5.18,-5.73,0.76,-0.44,1.04,55.65,17.64,11.61,-37.11,-1.94,0.9983818997735139,6.0,1
-11.92,-3.29,-4.03,0.73,-0.66,0.11,50.78,33.6,22.19,-36.22,-9.9,0.9983692158301597,9.0,0
-7.67,-1.91,-6.55,0.06,-0.42,0.0,49.87,37.0,20.63,-35.39,-6.71,0.9983692158301597,4.0,0
-6.12,-9.35,-5.87,0.0,-1.15,-0.25,54.74,35.03,19.76,-35.23,-3.76,0.998329309272531,6.0,1
-9.86,-19.37,-44.93,0.98,-1.78,0.86,50.42,19.62,15.25,-37.57,-1.71,0.9983162065197264,8.0,1
0.49,-13.76,-27.34,0.06,-1.27,0.06,54.38,19.62,13.86,-35.09,-3.99,0.9983032832566863,8.0,0
1.99,-13.27,2.41,0.09,-0.04,0.42,80.72,19.8,-2.5,-43.53,-3.08,0.9983013686991988,10.0,1
-7.2,2.75,-15.8,0.72,-0.97,0.81,82.89,24.1,6.15,-45.36,4.51,0.9981842217129367,10.0,1
-7.02,-0.16,-6.61,1.52,-1.82,1.1,89.02,23.03,4.76,-43.82,0.85,0.9981842217129367,10.0,1
5.29,-0.89,-3.05,0.05,-0.59,0.46,84.87,23.56,1.47,-43.5,2.69,0.9981842217129367,7.0,1
-12.46,-6.61,-17.93,0.85,-0.98,0.91,52.04,16.21,13.34,-36.22,-5.27,0.9981113488685714,5.0,0
-13.76,-0.55,-3.7,0.76,-0.57,1.12,51.5,17.82,12.82,-38.02,-5.25,0.9981113488685714,5.0,1
-0.5,-7.99,-10.97,0.08,-1.18,0.04,55.47,17.82,14.21,-38.0,-1.9,0.9979393378443101,7.0,0
1.95,-10.21,-17.14,-0.35,-0.74,-0.13,53.12,20.52,14.73,-35.83,-6.78,0.9979393378443101,7.0,0
-8.17,-24.48,6.88,-0.21,-1.55,0.36,52.94,16.39,10.05,-46.43,5.98,0.997623555518727,9.0,0
4.95,-13.82,-6.45,-0.26,-0.34,-0.32,48.25,21.05,12.48,-36.49,-1.38,0.9973529447838629,8.0,1
2.21,-11.73,-8.98,-0.73,0.78,-0.02,57.81,14.42,11.96,-38.3,-5.88,0.9972167718825695,6.0,1
28.96,-7.75,-39.21,0.35,0.86,0.17,86.49,24.1,3.03,-41.45,-1.73,0.9971168559136943,7.0,1
-4.42,-11.81,-16.72,0.97,-1.3,1.02,52.22,16.39,13.17,-36.14,-5.67,0.9971047104396333,6.0,1
-0.68,-13.82,-24.9,0.47,-0.52,0.91,52.58,16.75,10.74,-36.5,-4.58,0.9968833397301492,6.0,1
37.15,-23.29,-9.19,-0.11,0.07,0.35,89.74,23.03,4.76,-40.87,1.33,0.996631814740238,7.0,1
4.09,-6.66,-17.76,-1.82,0.56,-0.27,80.9,23.92,0.43,-44.48,2.01,0.996519035338244,8.0,0
10.31,-47.09,-30.34,0.24,0.87,0.49,88.84,20.34,3.9,-40.73,-1.88,0.9962753480680471,7.0,1
-3.0,-3.62,-4.8,0.97,0.02,0.09,79.81,22.49,-0.6,-45.54,5.75,0.9949252260598797,9.0,1
-7.28,-9.77,-3.37,0.26,-0.35,0.09,82.71,17.82,0.08,-40.01,-3.59,0.9944581338628681,4.0,1
0.95,-6.52,-8.28,0.08,-0.21,0.54,85.59,20.34,2.5,-43.07,1.84,0.9934500595158144,9.0,1
3.31,-9.93,0.33,0.18,0.19,0.28,75.67,21.23,1.3,-44.58,0.92,0.9925124648162669,7.0,1
-5.05,-68.88,20.71,-0.02,-1.11,0.71,81.08,21.95,2.68,-43.01,2.18,0.9920606292492333,9.0,0
-14.5,-4.55,-9.34,1.12,-0.72,1.0,85.77,21.23,-1.82,-44.04,1.92,0.9911130429527981,7.0,0
3.52,78.88,-21.89,0.22,0.56,-0.17,85.05,22.67,-0.43,-41.78,2.16,0.990699977174885,6.0,0
-13.93,2.25,-14.6,1.11,-0.79,0.99,82.35,20.34,-1.99,-42.82,0.51,0.9902289362030556,6.0,0
5.77,-13.06,9.34,1.1,0.51,0.0,83.79,15.32,-2.34,-42.29,2.12,0.9887987019300236,7.0,1
2.78,-11.72,-9.86,0.43,0.55,0.04,89.74,21.59,3.72,-43.96,1.02,0.9871774905476204,10.0,1
6.51,-10.32,-2.74,0.07,-0.16,-0.06,82.17,17.64,-0.78,-43.28,0.97,0.9871774905476204,10.0,1
0.33,-20.72,-6.01,-0.6,0.23,0.07,81.26,18.54,1.47,-43.49,-0.85,0.9854876542452771,9.0,0
7.0,-9.55,-2.7,0.21,0.11,-0.11,83.79,19.98,4.24,-42.98,-0.1,0.9850313314341322,9.0,1
-3.63,-2.27,-7.82,0.79,-0.56,0.92,83.61,23.03,5.11,-44.45,6.89,0.9847342758739731,7.0,1
6.53,-15.78,-16.48,-0.67,0.0,0.03,89.56,22.13,2.5,-45.36,1.83,0.9846517105823277,10.0,1
-11.28,-2.54,-17.91,0.21,-1.23,1.12,80.9,25.71,-0.95,-43.16,-2.16,0.9837890827743972,9.0,1
-12.02,-6.86,-12.9,1.01,-0.84,1.05,84.87,23.56,0.08,-42.55,2.89,0.9834027011414652,6.0,1
0.27,-14.05,-6.06,0.57,0.35,0.06,79.09,21.05,-0.6,-43.11,1.71,0.982638613214216,7.0,0
7.42,-1.91,1.34,0.46,-0.07,0.47,80.9,19.98,1.12,-45.26,-0.52,0.9819401587108328,10.0,1
11.44,-10.23,-7.35,0.9,-1.24,0.41,82.35,20.34,-1.99,-42.56,1.22,0.980682055121905,9.0,0
-21.32,-78.02,-36.44,0.07,0.19,0.78,89.74,22.31,3.38,-40.6,-0.19,0.97870192404053,5.0,0
-10.92,-10.3,-12.65,0.62,-0.6,0.63,83.07,18.54,0.08,-43.43,-0.44,0.9781714121267474,7.0,1
-0.41,-9.53,-6.83,0.03,0.92,-0.33,83.25,22.31,-1.47,-42.86,3.98,0.978039726469565,6.0,1
-1.33,-11.36,-6.63,0.4,0.85,0.07,81.08,21.59,1.99,-44.67,2.67,0.9754466378426049,8.0,1
40.35,-36.58,-41.82,0.37,0.63,0.22,85.41,21.23,1.99,-40.88,-0.36,0.9746691480129437,7.0,1
-4.67,-5.82,11.55,1.05,-0.55,0.71,85.95,19.98,2.16,-42.36,-0.32,0.9728265659210563,6.0,1
6.01,-9.31,8.85,0.64,0.0,0.3,80.0,19.44,1.99,-43.37,0.29,0.9697385043536739,8.0,1
11.22,-18.62,-6.63,0.19,0.47,-0.08,80.9,25.71,-0.95,-43.19,-2.42,0.9677310309981816,9.0,0
-12.5,1.44,24.72,0.41,-0.46,0.99,79.09,21.05,-0.6,-43.0,1.04,0.9665726040584431,5.0,0
-9.39,-24.57,-41.4,0.28,-1.12,0.52,90.1,20.87,4.42,-44.6,2.32,0.9644022736566762,7.0,0
12.49,-9.63,-0.87,0.1,-0.12,0.01,88.12,23.2,3.2,-41.19,2.65,0.9643435206737807,5.0,1
-4.18,-8.43,-26.28,-0.93,-1.07,0.06,82.35,25.36,3.9,-41.54,3.31,0.9629399705457298,8.0,0
