v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_xgboost,anomaly_vote_count,GERCEK_ETIKET_label
15.82,-29.84,-4.96,0.27,-0.03,1.03,0.0,0.0,0.0,-8.88,-30.74,0.8641852406721766,2.0,1
2.71,-6.46,-1.44,0.43,-0.57,0.85,51.68,17.29,7.1,-36.21,-2.65,0.8633633121635438,2.0,1
68.66,-82.52,25.73,0.12,0.0,2.39,0.0,0.0,0.0,-8.21,-30.63,0.8619576127669635,2.0,1
77.59,-55.97,6.81,-0.62,-0.41,1.91,0.0,0.0,0.0,-7.97,-31.84,0.8601379009664912,2.0,1
77.59,-47.28,28.02,-0.46,-0.01,2.95,0.0,0.0,0.0,-7.78,-32.33,0.8592158189718035,3.0,1
-2.06,-9.13,-2.22,0.79,-0.6,1.14,46.63,18.37,10.57,-37.88,-0.64,0.8590756040913269,3.0,1
73.4,-38.94,-10.22,-0.64,-0.86,2.67,0.0,0.0,0.0,-8.04,-31.89,0.8586313781608725,2.0,1
78.02,-57.72,2.61,-1.17,-0.21,3.42,0.0,0.0,0.0,-13.34,-35.94,0.8569278979980625,2.0,1
37.43,-30.65,18.46,-1.21,1.33,0.39,0.0,0.0,0.0,-12.88,-33.99,0.8565743126472951,2.0,0
16.1,-4.64,11.31,-0.66,1.04,0.13,0.0,0.0,0.0,-6.45,-27.72,0.8494700473749437,2.0,1
-3.49,-3.71,-2.71,0.38,-0.17,0.91,51.68,18.72,11.26,-37.39,-4.26,0.847095237390224,2.0,1
77.59,-56.57,53.17,-0.36,1.25,2.7,0.0,0.0,0.0,-5.72,-28.78,0.8469762590683287,4.0,1
60.83,-62.18,48.46,-0.45,1.1,1.18,0.0,0.0,0.0,-5.51,-30.63,0.8460109000488977,4.0,1
-9.99,-12.14,3.84,0.59,-0.65,0.68,46.99,16.93,11.61,-37.84,-2.25,0.8409170066581636,3.0,1
-6.47,-4.38,-8.35,0.39,-0.14,1.03,55.83,18.19,9.69,-37.19,-4.37,0.8394348690491495,2.0,0
2.65,-11.08,2.82,-1.5,1.41,1.01,0.0,0.0,0.0,-9.67,-35.63,0.838957883884795,2.0,0
78.02,-16.15,-23.57,-2.1,0.42,2.71,0.0,0.0,0.0,-18.63,-40.5,0.83802340831491,4.0,1
-5.19,-2.95,-6.44,1.05,-1.27,1.1,52.58,16.04,12.48,-35.35,-5.77,0.8364119085777542,3.0,1
49.54,-78.5,-2.84,0.49,1.51,-0.35,50.42,33.6,22.88,-34.49,-6.27,0.834610418682437,2.0,1
40.11,-44.39,24.61,-1.25,0.97,1.63,0.0,0.0,0.0,-12.81,-34.63,0.8295322684818185,2.0,1
-5.01,-6.25,-17.43,-0.26,-1.63,0.0,54.2,36.29,20.63,-37.11,-3.13,0.8239944841221218,4.0,0
7.3,-4.59,-20.98,0.53,0.81,-0.01,45.18,18.72,8.84,-37.56,-1.7,0.8231065012073017,6.0,1
30.37,-4.09,-45.08,-1.55,0.39,2.03,0.0,0.0,0.0,-13.47,-35.66,0.818617347293903,3.0,0
-2.74,-10.64,-14.95,0.18,-0.78,0.19,61.96,36.47,15.25,-37.42,-2.46,0.8175047392026671,2.0,1
77.59,-14.49,-39.32,-1.49,-0.64,2.67,0.0,0.0,0.0,-9.61,-33.44,0.8159162848161486,3.0,1
-6.31,-4.17,-4.04,-0.19,-1.06,-0.25,64.13,36.47,18.03,-38.5,0.12,0.8138981418279211,5.0,0
-10.22,-6.49,-25.48,1.34,-1.47,0.96,54.38,19.62,13.86,-34.74,-5.7,0.8122639317016198,2.0,1
10.41,-12.32,-24.03,0.22,-0.9,0.16,53.84,18.01,12.3,-37.66,-3.5,0.8091015602573282,2.0,1
-6.9,-13.97,-14.22,0.5,-2.06,0.07,54.02,36.47,19.76,-37.58,-1.9,0.8086722736094091,5.0,0
22.82,-11.76,-54.12,-2.44,-0.18,1.68,0.0,0.0,0.0,-13.36,-39.65,0.8037695762382069,2.0,0
75.7,-65.28,52.83,-0.36,1.14,2.83,0.0,0.0,0.0,-8.0,-31.21,0.8037349412199526,4.0,1
-1.45,-8.42,12.31,1.46,0.73,0.12,51.14,15.32,9.01,-38.05,-4.05,0.8030538975147801,3.0,1
78.02,-46.99,14.82,-2.42,1.75,2.09,0.0,0.0,0.0,-13.56,-34.99,0.8020279774576275,2.0,1
-0.98,-7.82,-2.57,0.15,-1.22,0.27,54.74,28.58,18.03,-36.86,-6.19,0.7992938207844812,1.0,1
4.05,-7.09,9.81,1.44,0.38,0.21,47.17,17.82,5.54,-34.97,-2.68,0.7975307844684252,2.0,1
2.09,-13.47,-16.44,-0.91,0.65,-0.28,56.01,16.21,11.96,-35.82,-6.16,0.7973957949872209,5.0,1
-6.1,3.5,-5.39,0.51,-0.44,0.82,54.2,18.01,12.3,-37.75,-4.23,0.7968140338682245,2.0,1
4.16,-5.23,-14.06,-0.92,-1.7,-0.24,60.34,33.42,19.23,-36.35,-3.44,0.79079611570615,4.0,0
-5.52,-5.44,-10.97,0.56,-0.86,-0.03,55.65,37.0,22.71,-36.72,-6.29,0.7886703830867492,2.0,0
1.31,-9.42,-13.7,-0.52,0.55,-0.24,51.68,17.64,12.3,-38.44,-5.32,0.7825719401820409,2.0,1
78.02,-76.82,21.23,-1.92,1.52,2.08,0.0,0.0,0.0,-13.95,-34.9,0.772957808451467,3.0,1
0.48,-8.77,-4.47,-0.85,1.0,-0.18,56.01,13.71,12.3,-36.25,-7.48,0.7716734321072246,2.0,1
-10.71,0.18,-21.1,0.32,-1.03,1.08,49.15,16.93,8.49,-38.59,0.55,0.7705911045348494,4.0,1
1.01,-24.61,-52.35,-0.26,-0.63,-0.25,57.45,37.72,23.75,-34.06,-6.97,0.7676234127096047,5.0,1
-4.42,-11.81,-16.72,0.97,-1.3,1.02,52.22,16.39,13.17,-36.14,-5.67,0.7644343113382657,3.0,1
1.01,-13.52,1.41,-0.33,0.3,-0.61,45.73,16.75,10.05,-37.04,-3.08,0.7644340433690722,2.0,1
-6.88,-12.82,-6.45,0.66,-0.74,0.6,46.27,16.93,11.61,-32.91,-7.94,0.7622976589742314,3.0,1
3.16,-4.18,1.91,-0.85,1.12,-0.32,54.38,16.75,10.4,-37.75,-4.64,0.7601324008987955,2.0,1
-6.38,-8.1,-8.86,0.63,-1.57,0.04,49.69,33.6,21.15,-37.75,-6.64,0.7595904332050275,4.0,1
-3.16,-8.24,13.13,0.36,0.5,-0.32,47.71,17.29,7.45,-35.9,1.67,0.7580016438570173,3.0,1
9.07,37.98,-24.5,-0.5,-0.91,-0.43,30.53,2.68,12.35,-5.23,-32.0,0.7513721530031743,4.0,1
17.04,-22.47,30.96,-0.18,-0.15,-0.24,56.37,19.44,13.69,-33.34,-6.36,0.751305361681705,2.0,1
-7.82,-11.28,-4.38,1.45,-1.9,1.0,53.12,19.8,15.42,-37.2,-7.54,0.748943548202868,3.0,1
-5.54,-14.52,-30.31,0.83,-0.91,1.83,0.0,0.0,0.0,-13.61,-34.41,0.745158818306771,5.0,1
-3.07,-5.01,-0.25,0.84,-0.83,0.01,59.07,35.75,20.11,-37.18,-3.68,0.7413563354516075,3.0,1
-9.48,-8.89,-3.26,0.36,-0.77,0.87,48.25,17.47,10.74,-38.22,-2.08,0.7387863769017523,4.0,1
-4.03,-17.08,-28.11,0.6,-0.64,2.46,0.0,0.0,0.0,-7.35,-31.69,0.7383068460300598,5.0,1
-7.1,-5.14,-2.87,0.68,-0.68,0.9,48.61,16.75,11.78,-36.47,-0.04,0.738160534850432,2.0,1
52.62,12.19,-6.33,0.18,-0.6,-0.13,30.35,6.81,13.55,-3.68,-31.72,0.7366753825879916,2.0,1
-9.84,-10.82,-14.03,0.78,-1.03,0.88,51.5,16.39,14.21,-37.64,-4.33,0.7358631679626215,2.0,1
-11.66,-7.27,7.32,1.13,-0.69,1.11,49.51,18.01,14.04,-38.05,-1.43,0.7355055630739523,6.0,1
-9.05,1.75,-3.79,0.54,-0.4,1.05,56.91,18.54,13.52,-36.31,-5.46,0.7348356400903083,2.0,1
-9.86,-19.37,-44.93,0.98,-1.78,0.86,50.42,19.62,15.25,-37.57,-1.71,0.7198111433515268,4.0,1
-3.67,-7.64,-15.31,1.21,-1.3,0.15,51.14,31.45,21.84,-38.17,-6.38,0.7161524929609517,6.0,1
-14.73,-38.03,-12.56,-0.67,0.66,0.8,35.69,1.43,12.87,-8.95,-33.48,0.7150154996731111,5.0,1
-2.74,-21.57,-22.26,0.98,-0.79,0.13,51.68,36.65,17.51,-37.18,-5.71,0.713384639161728,3.0,0
-3.64,0.38,-5.7,0.46,-0.35,0.07,63.76,33.6,18.37,-37.81,-5.59,0.712004530823123,2.0,1
2.06,-44.44,-10.49,-0.68,0.65,-0.72,0.0,0.0,0.0,-6.32,-35.32,0.708849260562458,6.0,0
5.72,-9.43,-19.52,-0.66,0.66,-0.35,52.94,14.6,13.17,-38.66,-6.31,0.7063360444893174,5.0,1
7.42,-11.23,-11.47,-0.4,0.11,-0.27,57.09,15.14,10.57,-38.25,-2.5,0.7060381967307893,5.0,0
-4.38,-38.36,-9.27,-1.07,1.08,-0.8,0.0,0.0,0.0,-10.37,-32.81,0.7044726537103115,6.0,0
2.25,-1.98,-12.21,0.21,-1.4,-0.06,49.69,36.47,21.84,-37.95,-2.89,0.698457281255575,5.0,0
-1.12,6.74,23.75,1.12,-1.2,0.07,47.17,36.11,19.76,-36.68,-1.52,0.6946820642658458,3.0,1
-4.96,-0.08,-23.35,-0.3,-0.56,0.99,47.53,17.82,5.54,-37.74,-4.21,0.6902690805956875,3.0,1
-10.68,-3.1,6.86,0.94,-0.64,0.81,54.74,21.05,15.94,-37.81,-2.84,0.690183866392168,2.0,1
-3.82,3.98,1.58,0.18,0.1,3.18,0.0,0.0,0.0,-4.79,-36.46,0.6877798477653614,5.0,1
24.04,-26.83,-34.85,-1.74,0.08,2.4,0.0,0.0,0.0,-14.09,-34.62,0.6864787903388263,4.0,1
-7.21,-1.21,-9.21,0.67,-0.47,1.09,55.83,18.89,10.4,-37.03,-3.64,0.6859721275862963,2.0,1
-7.12,-29.56,9.88,0.15,-0.42,0.4,55.65,18.72,12.3,-38.57,-2.04,0.6784389776198159,4.0,0
-7.61,-12.09,-3.67,1.22,-1.09,0.67,53.12,19.8,14.38,-36.98,-3.81,0.678380158381852,2.0,1
-4.67,-7.71,-10.39,0.75,-0.71,0.83,53.12,16.21,11.61,-34.08,-7.18,0.675524209710279,2.0,1
-12.89,-4.76,-4.16,1.23,0.06,0.49,58.35,38.26,20.8,-37.28,-3.76,0.6752279697669117,5.0,1
-1.43,-8.0,24.39,1.03,-1.03,0.0,54.38,35.75,19.76,-36.24,-3.4,0.672424074111168,5.0,1
31.96,18.93,-35.17,0.33,-0.01,-0.29,0.0,0.0,0.0,-8.45,-31.76,0.6670989902987783,2.0,1
-4.32,0.12,-13.19,0.85,-0.82,1.09,50.42,19.98,13.52,-36.47,0.39,0.6603442238469939,2.0,1
69.37,27.94,-35.86,-2.27,-0.82,2.04,0.0,0.0,0.0,-16.31,-40.99,0.658774058357929,4.0,1
11.19,-8.02,-9.01,-0.75,0.78,0.06,51.86,16.75,11.44,-39.95,-8.97,0.6559412890215902,2.0,1
-4.54,-19.26,-18.23,0.43,-0.72,1.79,0.0,0.0,0.0,-14.95,-38.47,0.6518416953231806,6.0,1
-1.71,-15.48,-17.91,-0.26,-1.59,-0.26,61.42,35.21,19.93,-37.29,-2.84,0.6507880404545052,5.0,0
0.95,-6.52,-8.28,0.08,-0.21,0.54,85.59,20.34,2.5,-43.07,1.84,0.6502456038146487,5.0,1
-7.2,2.75,-15.8,0.72,-0.97,0.81,82.89,24.1,6.15,-45.36,4.51,0.6475489628285863,6.0,1
-6.21,-1.48,-4.73,0.36,-0.36,1.34,52.04,19.07,11.26,-37.83,-4.21,0.6475450772752812,2.0,1
34.03,12.9,-31.01,-3.03,0.51,0.82,0.0,0.0,0.0,-13.59,-35.18,0.6467933566953342,2.0,1
-0.42,-36.18,-12.51,-1.24,1.26,-0.5,0.0,0.0,0.0,-8.47,-34.25,0.6453073335330151,6.0,1
-5.53,-19.27,-24.76,1.19,-0.93,2.28,0.0,0.0,0.0,-11.87,-31.99,0.640160516226573,4.0,1
-6.71,-5.09,-5.96,0.13,-0.72,0.78,47.35,16.93,10.22,-39.39,0.96,0.6399323404583439,3.0,1
-5.42,0.37,7.74,-0.94,1.26,0.54,0.0,0.0,0.0,-17.34,-34.4,0.6391161732873704,4.0,0
5.57,-14.3,-17.05,-0.54,0.63,-0.36,50.42,17.11,12.48,-38.19,-6.31,0.6358530454263387,4.0,1
6.0,-17.32,-5.65,0.12,-0.14,0.35,54.02,17.47,11.09,-37.08,-1.46,0.635127853796544,4.0,0
3.63,10.38,-20.31,-0.98,-0.9,-3.02,0.0,0.0,0.0,-7.63,-31.65,0.6350276333181909,5.0,0
-4.19,-5.33,-20.12,0.17,-0.1,0.56,44.46,16.21,6.76,-40.02,-1.25,0.6344597396049558,2.0,1
4.23,-19.41,-11.14,-0.67,0.28,0.05,49.15,14.06,6.41,-37.0,-1.69,0.6337476114733422,5.0,1
-3.12,-19.61,-24.46,0.64,-1.02,1.72,0.0,0.0,0.0,-14.32,-33.88,0.6328101882423292,6.0,1
-0.53,-0.14,1.27,0.52,-0.54,0.77,83.61,24.46,-1.47,-43.47,3.39,0.628938837304447,5.0,1
2.65,-35.61,-10.19,-0.94,0.72,-0.57,0.0,0.0,0.0,-4.88,-36.34,0.6288398226874644,6.0,0
-7.02,-0.16,-6.61,1.52,-1.82,1.1,89.02,23.03,4.76,-43.82,0.85,0.6287666001053521,6.0,1
2.19,-7.07,-6.41,-0.21,0.01,-0.15,49.51,21.59,13.34,-30.76,-7.34,0.6281349297240741,5.0,0
-4.88,3.36,-16.21,1.49,-0.63,1.13,83.25,23.38,-1.82,-43.93,5.33,0.6241358914655094,6.0,1
-15.75,-20.77,-5.23,1.15,-0.43,0.9,49.51,19.44,9.52,-37.22,-0.81,0.6233774046634277,4.0,0
-8.1,0.95,-4.13,0.33,-0.08,0.84,48.07,14.06,6.76,-38.91,0.35,0.6232134075170316,3.0,1
20.0,-40.46,-11.36,0.85,-0.32,0.6,0.0,0.0,0.0,-10.9,-34.52,0.6200028686102159,5.0,0
-0.68,-13.82,-24.9,0.47,-0.52,0.91,52.58,16.75,10.74,-36.5,-4.58,0.6192569763602267,2.0,1
8.73,-20.39,-15.64,-0.44,-0.09,-0.5,0.0,0.0,0.0,-10.65,-34.61,0.6189068746089743,5.0,0
-6.42,-7.74,-7.81,-0.61,-0.5,0.45,46.27,14.78,7.1,-39.94,-2.07,0.6187864894488135,2.0,1
-5.88,7.31,-45.71,1.38,-0.66,0.82,86.67,21.77,3.9,-44.41,1.53,0.616696664701336,6.0,1
26.71,29.92,-30.93,-2.48,0.66,1.42,0.0,0.0,0.0,-16.36,-40.99,0.6161196600355233,4.0,1
28.24,-34.79,-2.67,0.13,-0.13,0.15,47.89,16.39,9.01,-34.29,-1.7,0.6152585410323473,3.0,1
-11.33,5.18,-5.73,0.76,-0.44,1.04,55.65,17.64,11.61,-37.11,-1.94,0.6135635018991312,2.0,1
2.83,-4.72,-27.98,-0.78,-0.83,0.42,81.08,24.1,2.34,-43.64,-0.18,0.6123820257251765,5.0,1
-0.89,-43.51,-5.58,0.53,-0.18,-0.19,0.0,0.0,0.0,-16.82,-40.55,0.6117441250601507,6.0,0
2.9,-10.59,-33.63,-1.37,-1.08,-0.52,57.99,37.18,20.8,-37.99,-3.28,0.6116327838602691,5.0,0
11.35,-12.7,-13.2,-0.75,-0.22,-0.32,47.89,18.54,11.78,-36.76,-5.47,0.610072131277572,3.0,1
-9.3,-13.13,-4.62,-0.38,-0.56,0.91,35.87,3.04,10.98,-5.4,-32.24,0.6072172544827729,5.0,1
13.9,-41.83,-3.45,2.38,-1.53,0.31,0.0,0.0,0.0,-9.15,-31.88,0.6058957644052367,5.0,0
5.29,-0.89,-3.05,0.05,-0.59,0.46,84.87,23.56,1.47,-43.5,2.69,0.6049082979273454,3.0,1
26.72,20.89,-22.87,-2.31,0.32,-0.04,0.0,0.0,0.0,-14.26,-40.74,0.6046777774286735,2.0,0
-15.37,-2.37,-8.24,0.73,-0.62,0.47,49.51,30.91,19.93,-36.95,-4.18,0.5983733332064946,2.0,1
-5.51,-17.62,-27.3,0.46,-0.66,2.33,0.0,0.0,0.0,-9.31,-31.2,0.5973591368015558,4.0,1
-3.55,-5.54,-15.86,1.24,-1.27,1.06,86.31,22.85,3.2,-43.27,3.37,0.5964326333151762,7.0,1
-16.44,-5.44,3.52,1.82,-0.39,0.85,57.99,37.18,20.8,-37.88,-3.72,0.5943751658478087,5.0,1
7.44,-18.0,-13.26,0.19,-0.14,0.02,56.73,16.57,9.88,-37.17,-3.08,0.591139437836808,5.0,1
6.61,-45.94,-6.96,1.59,-0.81,0.4,0.0,0.0,0.0,-8.95,-33.37,0.5887220877426268,5.0,0
-14.84,-1.51,6.43,-0.06,-0.23,0.34,50.78,33.6,14.9,-37.22,-3.39,0.5883372839808217,3.0,1
-1.99,-5.37,-10.19,-0.27,-2.04,-0.08,53.3,36.83,22.19,-37.91,-5.41,0.5848486600434954,4.0,1
-0.85,-4.96,-16.34,0.17,0.56,-0.01,46.99,18.37,11.26,-36.96,0.26,0.5836344246356406,2.0,0
2.78,-11.72,-9.86,0.43,0.55,0.04,89.74,21.59,3.72,-43.96,1.02,0.5800039110103785,5.0,1
12.02,-30.84,-4.0,-0.43,0.47,-1.49,0.0,0.0,0.0,-15.07,-32.95,0.5778081044468885,5.0,0
-7.86,-21.46,-15.62,1.2,-0.68,2.03,0.0,0.0,0.0,-18.15,-34.76,0.576539873246552,4.0,1
-11.28,-2.54,-17.91,0.21,-1.23,1.12,80.9,25.71,-0.95,-43.16,-2.16,0.5752153685155893,5.0,1
0.49,-24.08,-34.1,0.69,-1.23,-0.04,59.62,34.5,20.28,-37.5,-7.92,0.5728717099496091,5.0,0
-15.44,-5.62,-2.47,0.44,-0.28,0.41,51.14,37.54,18.72,-37.43,-2.21,0.5708693101514971,5.0,1
0.33,-20.72,-6.01,-0.6,0.23,0.07,81.26,18.54,1.47,-43.49,-0.85,0.5702726097499653,5.0,0
-6.96,-0.06,2.91,0.71,-0.43,0.84,55.29,19.07,15.08,-36.19,-3.63,0.569484043405918,2.0,1
0.63,-7.15,-16.93,-0.71,0.3,-0.59,0.0,0.0,0.0,-13.1,-35.69,0.5683566970090418,6.0,0
-11.53,6.31,10.77,0.19,-0.39,0.43,52.76,30.91,18.55,-38.09,-3.51,0.567891636473796,5.0,1
12.78,-56.94,-21.92,-0.09,0.01,-0.22,85.23,21.05,2.5,-40.62,-2.8,0.5656093428531176,2.0,1
-6.12,-9.35,-5.87,0.0,-1.15,-0.25,54.74,35.03,19.76,-35.23,-3.76,0.5627268652313924,2.0,1
