v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_ts_vae,anomaly_vote_count,GERCEK_ETIKET_label
-1.65,0.61,9.36,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.23,0.9997264621385027,1,0
-1.62,0.64,9.39,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.999726292919858,1,0
-1.63,0.63,9.4,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.9997262511248917,1,0
-1.65,0.62,9.36,0.0,0.0,0.0,26.96,37.9,-21.84,-10.55,89.23,0.9997261466374755,1,0
-1.62,0.64,9.39,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997259483662323,1,0
-0.96,0.82,9.39,0.0,0.0,0.0,24.26,32.34,-64.66,-7.39,92.26,0.9997257689536934,1,0
-1.62,0.62,9.38,0.0,0.0,0.0,26.06,38.08,-21.67,-10.51,89.25,0.9997257113581908,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.24,38.61,-21.49,-10.56,89.23,0.9997255660951977,1,0
-1.64,0.63,9.35,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.999724743957626,1,0
-1.61,0.63,9.41,0.0,0.0,0.0,25.34,38.79,-23.05,-10.55,89.24,0.9997247220407534,1,0
-1.65,0.63,9.41,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997247174535009,1,0
-1.62,0.62,9.4,0.0,0.0,0.0,26.06,38.08,-21.67,-10.51,89.25,0.9997244253984305,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.16,38.26,-21.84,-11.68,89.47,0.9997240426177012,1,0
-1.63,0.65,9.4,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.999724018152355,1,0
-7.83,-4.41,3.72,0.0,0.01,0.0,60.88,36.11,-12.82,-32.87,27.18,0.9997237933769867,1,0
-1.64,0.63,9.35,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.9997236430170464,1,0
-1.62,0.63,9.38,0.0,0.0,0.0,25.7,38.44,-20.63,-10.56,89.25,0.9997234799147383,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.9997233173221249,1,0
-1.64,0.6,9.39,0.0,0.0,0.0,28.05,38.26,-21.49,-10.55,89.25,0.9997232429066969,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,25.7,38.44,-20.63,-10.56,89.25,0.9997229172117754,1,0
-1.63,0.62,9.34,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997226975333543,1,0
-1.62,0.62,9.36,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997226460541883,1,0
-1.64,0.61,9.36,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.999722458486534,1,0
-1.64,0.64,9.4,0.0,0.0,0.0,26.06,38.79,-22.01,-10.54,89.22,0.9997221521600116,1,0
-1.63,0.61,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.49,89.42,0.9997218636728041,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.7,38.44,-21.32,-10.54,89.23,0.9997218035288281,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.7,38.44,-21.32,-10.54,89.23,0.9997212484712859,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.9997205991202218,1,0
-1.63,0.61,9.42,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.24,0.9997202678186585,1,0
-1.64,0.62,9.4,0.0,0.0,0.0,25.88,39.69,-22.53,-10.55,89.24,0.9997199492594631,1,0
-1.63,0.64,9.36,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997199151099173,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997198702567826,1,0
-1.66,0.61,9.36,0.0,0.0,0.0,26.06,38.79,-22.01,-10.54,89.22,0.9997198427332681,1,0
-1.64,0.64,9.39,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.9997198055255541,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.47,89.42,0.9997196383456882,1,0
-1.64,0.61,9.38,0.0,0.0,0.0,27.14,37.72,-21.67,-10.54,89.25,0.9997195226449885,1,0
-1.63,0.6,9.36,0.0,0.0,0.0,26.06,38.79,-22.01,-10.54,89.22,0.9997193743238271,1,0
-1.64,0.63,9.38,0.0,0.0,0.0,26.06,37.0,-19.59,-11.53,89.43,0.999718920185838,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997188921526288,1,0
-1.65,0.62,9.35,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997186240532099,1,0
-1.64,0.61,9.39,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.9997183146685192,1,0
-1.61,0.61,9.4,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.23,0.9997181811285045,1,0
-1.63,0.61,9.38,0.0,0.0,0.0,26.42,39.51,-22.01,-10.53,89.22,0.9997180159874176,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.25,0.9997179099709173,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.06,38.44,-22.01,-10.55,89.24,0.9997177591012824,1,0
-1.66,0.62,9.36,0.0,0.0,0.0,26.24,38.61,-22.19,-10.54,89.21,0.9997177060930322,1,0
-1.63,0.63,9.4,0.0,0.0,0.0,26.6,37.54,-22.53,-10.56,89.25,0.9997176214837099,1,0
-1.63,0.62,9.41,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.999717257561685,1,0
-1.61,0.63,9.41,0.0,0.0,0.0,25.34,38.79,-23.05,-10.55,89.24,0.9997170715231148,1,0
-1.65,0.61,9.36,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.23,0.9997170613292206,1,0
-1.64,0.65,9.36,0.0,0.0,0.0,25.88,39.69,-22.53,-10.55,89.24,0.9997169481769943,1,0
-1.62,0.62,9.4,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997169293182899,1,0
-1.63,0.65,9.39,0.0,0.0,0.0,26.6,38.97,-21.84,-10.57,89.23,0.9997167876231599,1,0
-1.66,0.64,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.51,89.43,0.9997167152465106,1,0
-1.65,0.63,9.38,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997166260499358,1,0
-1.62,0.63,9.38,0.0,0.0,0.0,25.7,38.44,-20.63,-10.56,89.25,0.9997165842549695,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997164344047239,1,0
-1.66,0.63,9.34,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997163640668535,1,0
-1.66,0.63,9.34,0.0,0.0,0.0,26.6,38.97,-21.84,-10.57,89.23,0.999716034804069,1,0
-1.65,0.62,9.36,0.0,0.0,0.0,28.05,38.26,-21.49,-10.56,89.25,0.9997159823055136,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,25.7,38.44,-21.32,-10.54,89.23,0.9997157218515155,1,0
-1.64,0.61,9.39,0.0,0.0,0.0,25.16,37.9,-21.15,-11.44,89.41,0.9997157050315899,1,0
-1.64,0.6,9.39,0.0,0.0,0.0,28.05,38.26,-21.49,-10.55,89.25,0.999715642848835,1,0
-1.64,0.64,9.39,0.0,0.0,0.0,26.06,38.44,-22.01,-10.55,89.24,0.9997153757688054,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.16,38.26,-21.84,-11.67,89.46,0.9997153655749113,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.6,38.26,-21.15,-10.58,89.25,0.9997151209214491,1,0
-1.64,0.61,9.35,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.22,0.9997149297859318,1,0
-1.58,0.63,9.38,0.0,0.0,0.0,26.42,39.51,-20.28,-11.74,89.48,0.9997148436475254,1,0
-1.65,0.63,9.35,0.0,0.0,0.0,26.06,39.51,-21.32,-10.55,89.25,0.9997146127558204,1,0
-1.63,0.61,9.39,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997144863515317,1,0
-1.64,0.63,9.34,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997143997034306,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.44,-22.01,-10.51,89.25,0.9997143696314424,1,0
-1.63,0.6,9.38,0.0,0.0,0.0,26.24,38.26,-21.84,-10.56,89.24,0.9997143497533487,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997142773766995,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.42,38.08,-21.32,-10.56,89.23,0.9997142009224925,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,26.42,38.44,-21.67,-10.55,89.24,0.9997140673824778,1,0
-1.63,0.64,9.36,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997137391390828,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,27.69,37.9,-20.45,-10.54,89.25,0.9997135785852482,1,0
-1.64,0.63,9.39,0.0,0.0,0.0,26.6,38.61,-21.49,-10.53,89.22,0.9997131076273337,1,0
-1.64,0.62,9.34,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.22,0.9997130169016748,1,0
-1.63,0.6,9.36,0.0,0.0,0.0,26.06,38.79,-22.01,-10.54,89.22,0.9997128471733354,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,27.14,37.72,-21.67,-10.54,89.25,0.9997122166809758,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,25.34,38.79,-21.32,-10.69,89.28,0.9997119827311026,1,0
-1.62,0.63,9.38,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.25,0.999711967949956,1,0
-1.62,0.63,9.36,0.0,0.0,0.0,25.7,38.44,-21.32,-10.54,89.22,0.9997119108641481,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.06,38.44,-22.01,-10.55,89.24,0.9997118991411698,1,0
-1.64,0.61,9.38,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997118700885711,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,26.6,38.26,-21.84,-10.54,89.22,0.9997118655013186,1,0
-1.64,0.61,9.36,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997117370582511,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,25.7,37.72,-22.36,-10.55,89.25,0.999711680482138,1,0
-1.63,0.61,9.42,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.24,0.9997114878175365,1,0
-1.62,0.63,9.34,0.0,0.0,0.0,26.42,39.15,-20.97,-10.54,89.25,0.9997113180891972,1,0
-1.64,0.62,9.4,0.0,0.0,0.0,26.6,38.26,-21.84,-10.54,89.22,0.9997112941335456,1,0
-1.64,0.61,9.38,0.0,0.0,0.0,26.42,38.79,-21.32,-10.53,89.21,0.9997112620227788,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,27.14,37.72,-21.67,-10.54,89.25,0.9997111254245957,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.24,38.97,-21.15,-10.56,89.24,0.9997111182888698,1,0
-1.66,0.62,9.36,0.0,0.0,0.0,26.24,38.61,-22.19,-10.54,89.21,0.9997110810811557,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.48,89.42,0.9997110321504633,1,0
-1.64,0.64,9.36,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.23,0.9997109128819005,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,26.24,38.61,-21.49,-10.56,89.23,0.9997106131814094,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997102548660264,1,0
-1.64,0.62,9.4,0.0,0.0,0.0,26.6,38.26,-21.84,-10.54,89.22,0.9997101977802185,1,0
-1.63,0.63,9.34,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997101493592209,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,27.51,38.44,-20.28,-10.54,89.22,0.9997101335586848,1,0
-1.63,0.61,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.5,89.42,0.999710099409139,1,0
-1.63,0.6,9.36,0.0,0.0,0.0,26.6,38.26,-20.8,-10.54,89.22,0.999710081569824,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,26.24,37.54,-20.8,-10.55,89.24,0.9997099556752299,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.9997095932822891,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,26.6,38.97,-21.49,-10.52,89.22,0.9997095570939646,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,27.51,38.44,-20.28,-10.54,89.22,0.9997095550551858,1,0
-1.7,0.67,9.36,0.0,0.0,0.0,26.24,38.97,-21.15,-10.54,89.22,0.9997095382352602,1,0
-1.64,0.62,9.34,0.0,0.0,0.0,26.24,37.54,-20.8,-10.55,89.24,0.9997094041855508,1,0
-1.66,0.6,9.39,0.0,0.0,0.0,25.16,38.26,-21.84,-11.6,89.44,0.999709222734233,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,25.7,38.44,-21.32,-10.54,89.22,0.9997090942911654,1,0
-1.64,0.63,9.33,0.0,0.0,0.0,28.05,38.26,-21.49,-10.55,89.25,0.9997090672773457,1,0
-1.64,0.62,9.34,0.0,0.0,0.0,25.88,37.18,-20.11,-10.54,89.22,0.9997089745129079,1,0
-1.67,0.57,9.32,0.0,0.0,0.0,26.42,39.51,-20.28,-11.8,89.49,0.9997088389341143,1,0
-1.64,0.63,9.41,0.0,0.0,0.0,28.05,38.26,-21.49,-10.55,89.25,0.9997085927515681,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.42,38.08,-20.97,-10.54,89.25,0.9997084882641519,1,0
-1.65,0.63,9.36,0.0,0.0,0.0,26.24,40.04,-21.84,-10.56,89.24,0.9997081895830503,1,0
-1.64,0.63,9.38,0.0,0.0,0.0,26.6,39.33,-21.15,-10.55,89.25,0.9997081778600718,1,0
-1.66,0.64,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.52,89.43,0.9997081533947256,1,0
-1.63,0.61,9.35,0.0,0.0,0.0,26.06,38.79,-21.32,-10.55,89.24,0.9997080030347854,1,0
-1.64,0.64,9.36,0.0,0.0,0.0,25.34,38.79,-23.05,-10.55,89.24,0.9997079459489776,1,0
-1.64,0.63,9.4,0.0,0.0,0.0,25.34,38.79,-23.05,-10.55,89.24,0.9997079357550833,1,0
-1.64,0.62,9.34,0.0,0.0,0.0,26.24,38.97,-21.49,-10.54,89.25,0.9997078684753812,1,0
-1.64,0.61,9.38,0.0,0.0,0.0,26.6,38.26,-21.84,-10.54,89.22,0.9997077502262078,1,0
-1.64,0.63,9.33,0.0,0.0,0.0,28.05,38.26,-21.49,-10.56,89.25,0.9997077415613977,1,0
-1.64,0.65,9.39,0.0,0.0,0.0,25.16,38.26,-21.84,-11.64,89.45,0.9997077130184938,1,0
-1.63,0.62,9.41,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997076447194023,1,0
-1.64,0.63,9.41,0.0,0.0,0.0,26.24,38.26,-21.84,-10.53,89.24,0.9997075402319862,1,0
-1.63,0.64,9.38,0.0,0.0,0.0,28.05,38.26,-21.49,-10.55,89.25,0.9997074770298419,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.6,38.61,-21.49,-10.53,89.22,0.9997074331960966,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.7,37.72,-22.36,-10.55,89.24,0.9997073801878464,1,0
-1.62,0.61,9.36,0.0,0.0,0.0,26.6,38.97,-21.49,-10.52,89.22,0.9997073113790602,1,0
-1.64,0.62,9.39,0.0,0.0,0.0,25.7,37.72,-20.63,-10.54,89.22,0.999707309849976,1,0
-1.62,0.63,9.39,0.0,0.0,0.0,26.42,38.44,-21.67,-10.55,89.24,0.9997071758002666,1,0
-1.65,0.63,9.38,0.0,0.0,0.0,26.42,39.51,-20.28,-11.73,89.48,0.999707173251793,1,0
-1.62,0.63,9.38,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.25,0.9997069413406987,1,0
-1.65,0.62,9.35,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997068251303042,1,0
-1.64,0.64,9.36,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997068246206094,1,0
-1.64,0.61,9.39,0.0,0.0,0.0,25.16,37.9,-21.15,-11.45,89.41,0.9997066599892173,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.25,0.9997065172746977,1,0
-1.61,0.62,9.34,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997065142165295,1,0
-1.62,0.63,9.36,0.0,0.0,0.0,26.06,38.79,-21.32,-10.55,89.24,0.9997065106486664,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997064606985846,1,0
-1.63,0.63,9.4,0.0,0.0,0.0,26.42,38.44,-21.67,-10.55,89.24,0.9997064285878177,1,0
-1.62,0.62,9.4,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997064015739979,1,0
-1.63,0.62,9.36,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997063715020098,1,0
-1.65,0.62,9.41,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.24,0.9997060585494562,1,0
-1.63,0.62,9.39,0.0,0.0,0.0,26.96,37.9,-21.84,-10.54,89.22,0.999705938261504,1,0
-1.63,0.62,9.38,0.0,0.0,0.0,26.24,38.61,-22.19,-10.54,89.21,0.9997058026827104,1,0
-1.62,0.62,9.34,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.9997057771979747,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,26.6,38.97,-22.19,-10.54,89.22,0.9997055977854359,1,0
-1.63,0.62,9.41,0.0,0.0,0.0,26.42,38.44,-21.67,-10.55,89.24,0.9997053674034257,1,0
-1.63,0.63,9.36,0.0,0.0,0.0,26.6,39.33,-21.15,-10.54,89.25,0.9997053485447214,1,0
-1.65,0.66,9.38,0.0,0.0,0.0,25.52,38.61,-21.84,-10.58,89.25,0.9997052328440216,1,0
-1.63,0.63,9.38,0.0,0.0,0.0,26.6,38.61,-21.49,-10.53,89.22,0.9997052262179903,1,0
-1.64,0.61,9.36,0.0,0.0,0.0,26.6,38.97,-21.84,-10.56,89.23,0.9997051803454661,1,0
-1.62,0.62,9.38,0.0,0.0,0.0,25.7,37.72,-22.36,-10.55,89.24,0.9997051630158459,1,0
-1.64,0.63,9.35,0.0,0.0,0.0,26.24,38.61,-22.19,-10.54,89.21,0.9997049627058238,1,0
-1.64,0.62,9.36,0.0,0.0,0.0,25.52,37.54,-21.49,-10.56,89.24,0.9997049560797925,1,0
-1.64,0.63,9.38,0.0,0.0,0.0,26.06,37.0,-19.59,-11.54,89.43,0.9997049362016986,1,0
-1.61,0.62,9.36,0.0,0.0,0.0,28.05,38.26,-21.49,-10.56,89.25,0.9997048755480279,1,0
-1.62,0.62,9.36,0.0,0.0,0.0,27.14,37.72,-21.67,-10.54,89.25,0.9997048250882513,1,0
-1.62,0.63,9.34,0.0,0.0,0.0,26.42,39.15,-20.97,-10.54,89.25,0.9997046237588397,1,0
-1.64,0.62,9.38,0.0,0.0,0.0,26.78,38.08,-21.67,-10.56,89.25,0.999704593177157,1,0
-1.63,0.63,9.39,0.0,0.0,0.0,26.24,39.69,-21.49,-10.54,89.22,0.9997045906286834,1,0
-1.62,0.64,9.36,0.0,0.0,0.0,26.6,38.61,-21.49,-10.53,89.22,0.9997045707505896,1,0
-1.62,0.61,9.39,0.0,0.0,0.0,26.42,38.79,-21.32,-10.53,89.21,0.999704412235534,1,0
-1.63,0.64,9.36,0.0,0.0,0.0,27.69,38.26,-21.15,-10.56,89.23,0.9997042873603293,1,0
-1.63,0.63,9.39,0.0,0.0,0.0,26.06,37.72,-20.97,-10.54,89.22,0.9997042715597932,1,0
-1.64,0.65,9.36,0.0,0.0,0.0,27.32,38.97,-20.8,-10.56,89.24,0.999704239958721,1,0
-1.64,0.63,9.36,0.0,0.0,0.0,26.6,38.26,-21.84,-10.54,89.22,0.9997041262968002,1,0
-1.62,0.61,9.38,0.0,0.0,0.0,26.96,37.9,-20.8,-10.54,89.25,0.9997040651334346,1,0
-1.64,0.63,9.41,0.0,0.0,0.0,26.24,38.26,-21.84,-10.53,89.24,0.9997040381196148,1,0
-1.62,0.65,9.36,0.0,0.0,0.0,26.06,37.0,-19.59,-11.57,89.44,0.9997040039700691,1,0
-1.62,0.62,9.38,0.0,0.0,0.0,25.7,37.72,-22.36,-10.55,89.25,0.999703922418915,1,0
-1.63,0.6,9.38,0.0,0.0,0.0,26.24,38.61,-22.19,-10.54,89.21,0.9997038948954006,1,0
-1.63,0.61,9.4,0.0,0.0,0.0,26.6,38.26,-21.15,-10.58,89.25,0.999703800092184,1,0
-1.64,0.62,9.34,0.0,0.0,0.0,26.24,37.54,-20.8,-10.55,89.24,0.9997037348512607,1,0
