age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,score_hbos,anomaly_vote_count
52,?,115209,Prof-school,15,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,0.8662019222116746,5
28,?,173800,Bachelors,13,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Female,0,0,10,Taiwan,0.8613431872458157,5
52,Private,310045,9th,5,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,30,China,0.8596639274950796,5
53,Private,224894,5th-6th,3,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,10,Haiti,0.8542795625319802,6
26,Private,39014,12th,8,Married-civ-spouse,Priv-house-serv,Wife,Other,Female,0,0,40,Dominican-Republic,0.8504986513454832,6
39,Private,130620,7th-8th,4,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Female,0,0,40,Dominican-Republic,0.8494202487726988,5
68,Private,121846,7th-8th,4,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,20,United-States,0.848916810773037,4
63,Self-emp-not-inc,795830,1st-4th,2,Widowed,Other-service,Unmarried,White,Female,0,0,30,El-Salvador,0.8484649544693524,5
23,Private,256278,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Female,0,0,30,El-Salvador,0.8472010743128471,5
47,Private,334679,Masters,14,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,42,India,0.8460190302956087,3
77,Private,344425,9th,5,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,10,United-States,0.8459545733578222,5
33,Local-gov,269604,5th-6th,3,Never-married,Other-service,Unmarried,Other,Female,0,0,40,El-Salvador,0.8458289817456414,5
20,?,114746,11th,7,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,0,1762,40,South,0.8445034573165746,5
39,Self-emp-not-inc,315640,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,60,Iran,0.8439220311814659,2
28,Private,95566,1st-4th,2,Married-spouse-absent,Other-service,Own-child,Other,Female,0,0,35,Dominican-Republic,0.8431745816225464,5
26,Private,261203,7th-8th,4,Never-married,Other-service,Unmarried,Other,Female,0,0,30,?,0.8428063713693508,2
54,Private,217718,5th-6th,3,Married-spouse-absent,Other-service,Unmarried,Black,Female,0,0,30,Haiti,0.841290914523657,3
22,?,291547,5th-6th,3,Married-civ-spouse,?,Wife,Other,Female,0,0,40,Mexico,0.83974081177612,5
59,Private,221336,10th,6,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0.8395305035912364,4
48,Private,208748,5th-6th,3,Divorced,Machine-op-inspct,Unmarried,Other,Female,0,0,40,Dominican-Republic,0.8383809222212234,4
45,Private,129371,9th,5,Separated,Other-service,Unmarried,Other,Female,0,0,40,Trinadad&Tobago,0.8375783999186996,4
69,Private,113035,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0,4,United-States,0.8359594440522365,5
53,?,220640,Bachelors,13,Divorced,?,Other-relative,Other,Female,0,0,20,United-States,0.8359414912200046,2
58,Local-gov,239405,5th-6th,3,Divorced,Other-service,Other-relative,Black,Female,0,0,40,Haiti,0.8358026574569861,3
72,Private,497280,9th,5,Widowed,Other-service,Unmarried,Black,Female,0,0,20,United-States,0.833267110488124,4
39,Local-gov,214284,Bachelors,13,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,10,Japan,0.8319327555195735,3
29,Self-emp-not-inc,341672,HS-grad,9,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,1564,50,India,0.8296156153160267,5
27,?,291547,Bachelors,13,Married-civ-spouse,?,Not-in-family,Other,Female,0,0,6,Mexico,0.8265677748525417,3
74,Private,145463,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0,15,United-States,0.8259907693251913,5
81,Private,114670,9th,5,Widowed,Priv-house-serv,Not-in-family,Black,Female,2062,0,5,United-States,0.8252680231270962,5
30,?,33811,Bachelors,13,Married-civ-spouse,?,Wife,Other,Female,0,0,40,Taiwan,0.8246276291344345,3
67,Self-emp-not-inc,105907,1st-4th,2,Widowed,Other-service,Not-in-family,Black,Female,0,0,20,United-States,0.824626579037184,3
18,Private,74054,11th,7,Never-married,Sales,Own-child,Other,Female,0,0,20,?,0.8241471219329144,2
50,Self-emp-not-inc,324506,HS-grad,9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,48,South,0.8233569739261648,4
22,?,110622,Bachelors,13,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,15,Taiwan,0.8211650645449021,2
65,Private,109351,9th,5,Widowed,Priv-house-serv,Unmarried,Black,Female,0,0,24,United-States,0.81932906929274,3
60,Private,166386,11th,7,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,30,Hong,0.815776440974154,3
56,Private,99894,10th,6,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,30,Japan,0.8156535072471837,2
60,?,386261,Bachelors,13,Married-spouse-absent,?,Unmarried,Black,Female,0,0,15,United-States,0.813995518279983,2
57,Self-emp-not-inc,174760,Assoc-acdm,12,Married-spouse-absent,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,0.8136312981580315,2
74,?,89667,Bachelors,13,Widowed,?,Not-in-family,Other,Female,0,0,35,United-States,0.8135825383255996,2
60,?,24215,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,0.8134024022665134,4
18,?,85154,12th,8,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,24,Germany,0.8126930857433498,4
39,Private,70240,5th-6th,3,Married-spouse-absent,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,0.8108325920822193,4
31,Private,395170,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,24,Mexico,0.8072963116696494,4
43,Private,143582,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,2129,72,?,0.8060215436037923,6
48,?,61985,9th,5,Separated,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,0.8058039559904187,4
25,Local-gov,244408,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,0.8052615531200003,2
36,Private,250238,1st-4th,2,Never-married,Other-service,Other-relative,Other,Female,0,0,40,El-Salvador,0.804068222463565,5
27,State-gov,553473,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,48,United-States,0.8026385719165794,2
17,?,659273,11th,7,Never-married,?,Own-child,Black,Female,0,0,40,Trinadad&Tobago,0.8026127232802135,4
47,Private,103020,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,0,0,40,Puerto-Rico,0.8019145687247983,4
27,Private,164170,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,20,Philippines,0.8018317547173722,2
29,Private,157308,11th,7,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,2829,0,14,Philippines,0.8011039153713384,5
39,Private,299828,5th-6th,3,Separated,Sales,Unmarried,Black,Female,0,0,30,Puerto-Rico,0.8010291222610543,3
50,Self-emp-not-inc,99894,5th-6th,3,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,0.8009114729662392,4
46,Private,171199,Bachelors,13,Divorced,Machine-op-inspct,Unmarried,Other,Female,0,0,40,Puerto-Rico,0.8002423308552866,2
45,Private,88061,11th,7,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,40,South,0.7985290569625292,3
54,Private,249860,11th,7,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,10,United-States,0.7971914543081345,2
70,Private,304570,Bachelors,13,Widowed,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,0,0,32,Philippines,0.7970981717621094,6
32,Private,390997,1st-4th,2,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,50,Mexico,0.7967572674415198,4
48,Self-emp-inc,56975,HS-grad,9,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,84,?,0.7960583496505018,5
24,Private,132327,Some-college,10,Married-spouse-absent,Sales,Unmarried,Other,Female,0,0,30,Ecuador,0.7956615974912209,4
19,?,109938,11th,7,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,Laos,0.7953463062475145,4
51,Self-emp-not-inc,136836,Assoc-acdm,12,Divorced,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,0.7947805722639404,1
42,Private,143582,7th-8th,4,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,48,?,0.794216110348635,2
63,Private,30602,7th-8th,4,Married-spouse-absent,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0.793521942078488,4
46,Private,134727,11th,7,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,43,Germany,0.7930469812675172,2
40,Private,214891,Bachelors,13,Married-spouse-absent,Transport-moving,Own-child,Other,Male,0,0,45,?,0.7929871431159624,2
37,Private,147638,Bachelors,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,36,Philippines,0.7925451732239313,2
48,Local-gov,148121,Bachelors,13,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,0.7920725441693097,2
58,Private,119751,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander,Female,0,0,60,Philippines,0.7893000054268559,6
28,State-gov,130620,11th,7,Separated,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,India,0.7889265109245356,2
38,Private,167725,Bachelors,13,Married-spouse-absent,Transport-moving,Not-in-family,Other,Male,0,0,84,India,0.7888915930420948,3
65,?,106910,11th,7,Divorced,?,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,0.7867667072854896,2
58,Private,247276,7th-8th,4,Widowed,Other-service,Not-in-family,Other,Female,0,0,30,United-States,0.7857314433934094,2
41,Private,529216,Bachelors,13,Divorced,Tech-support,Unmarried,Black,Male,7430,0,45,?,0.7854887024398692,4
24,Private,52028,1st-4th,2,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,5,Vietnam,0.785054887796754,6
42,Self-emp-not-inc,126614,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Other,Male,0,0,30,Iran,0.7848789928573433,2
31,Private,130620,11th,7,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,India,0.7844504477613592,2
39,Self-emp-not-inc,160120,Doctorate,16,Divorced,Adm-clerical,Other-relative,Other,Male,0,0,40,?,0.7843645994661277,2
71,Private,228806,9th,5,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,6,United-States,0.7838584582879811,5
60,?,41517,11th,7,Married-spouse-absent,?,Unmarried,Black,Female,0,0,20,United-States,0.7837010208439065,3
28,Private,162551,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,0,48,China,0.7827411913353504,4
30,?,203834,Bachelors,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,0,0,50,Taiwan,0.782106495957635,2
47,Private,217509,HS-grad,9,Widowed,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,0,0,45,Thailand,0.7815828496469162,5
30,Private,356015,11th,7,Married-spouse-absent,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,Mexico,0.7814501133119923,2
27,Private,110622,5th-6th,3,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,20,Vietnam,0.7813746421948126,5
36,Private,208068,Preschool,1,Divorced,Other-service,Not-in-family,Other,Male,0,0,72,Mexico,0.7810572377139806,4
17,Private,220562,9th,5,Never-married,Sales,Other-relative,Other,Female,0,0,32,Mexico,0.7810485954560246,5
48,Private,162096,9th,5,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,0,45,China,0.7808737861826053,4
23,Private,180771,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,0,0,35,Mexico,0.7805824163768813,5
71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,0.7803704431702044,6
72,?,75890,Some-college,10,Widowed,?,Unmarried,Asian-Pac-Islander,Female,0,0,4,United-States,0.7802925234031655,4
34,Self-emp-not-inc,306982,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,60,South,0.7799073856419849,2
19,Private,86150,11th,7,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,19,Philippines,0.7785542478323183,2
36,Private,152744,Bachelors,13,Divorced,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,40,South,0.7782268529283365,2
33,?,152875,Bachelors,13,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,China,0.7778522970733248,2
24,?,174182,11th,7,Married-civ-spouse,?,Wife,Other,Female,0,0,24,United-States,0.7776791109539416,2
22,Private,95566,Some-college,10,Married-spouse-absent,Sales,Own-child,Other,Female,0,0,22,Dominican-Republic,0.7771757810936584,2
54,Self-emp-not-inc,118365,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,10,United-States,0.7771555244504218,1
66,?,206560,HS-grad,9,Widowed,?,Not-in-family,Other,Female,0,0,35,Puerto-Rico,0.7767266360048479,4
31,Private,237824,HS-grad,9,Married-spouse-absent,Priv-house-serv,Other-relative,Black,Female,0,0,60,Jamaica,0.7762604055392206,4
34,Private,122612,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,50,Philippines,0.775928691490347,2
53,Private,223696,12th,8,Married-spouse-absent,Handlers-cleaners,Not-in-family,Other,Male,0,0,56,Dominican-Republic,0.7756006648432966,4
53,Self-emp-inc,135643,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,50,South,0.7754560624357255,2
57,Private,190942,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0,30,United-States,0.7754323098093425,3
43,Private,95634,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,45,?,0.7750841647724648,2
59,Private,138370,10th,6,Married-spouse-absent,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,India,0.7749599861354857,3
36,?,200904,Assoc-acdm,12,Married-civ-spouse,?,Wife,Black,Female,0,0,21,Haiti,0.7747758873106666,1
59,Local-gov,171328,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,0.7744344395117517,1
64,?,380687,Bachelors,13,Married-civ-spouse,?,Wife,Black,Female,0,0,8,United-States,0.773836203028488,1
45,Private,77927,Bachelors,13,Widowed,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,0.7732148301084865,2
22,Self-emp-not-inc,361280,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,20,India,0.7730596504762377,2
76,Private,97077,10th,6,Widowed,Sales,Unmarried,Black,Female,0,0,12,United-States,0.7729068295361768,3
32,Self-emp-not-inc,180303,Bachelors,13,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,0,47,Iran,0.7719809553024954,2
52,Private,82285,Bachelors,13,Married-spouse-absent,Other-service,Other-relative,Black,Female,0,0,40,Haiti,0.7712618655441643,1
36,Self-emp-not-inc,288585,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,20,South,0.7710161572465255,2
41,?,217921,9th,5,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,0.7707959633859331,5
73,State-gov,74040,7th-8th,4,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,0.7705775411516124,3
70,Private,405362,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,38,United-States,0.7691996487746521,3
33,Self-emp-not-inc,520078,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Male,0,0,60,United-States,0.7684094353764955,1
27,Self-emp-not-inc,153805,Some-college,10,Married-civ-spouse,Transport-moving,Other-relative,Other,Male,0,0,50,Ecuador,0.7682780275451252,3
18,Federal-gov,101709,11th,7,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,15,Philippines,0.7681240774425616,3
45,Self-emp-inc,185497,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,70,?,0.767632739400713,2
44,Private,219441,10th,6,Never-married,Sales,Unmarried,Other,Female,0,0,35,Dominican-Republic,0.7672366328023575,2
36,Self-emp-not-inc,160120,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,0,0,45,?,0.7668435551687375,2
73,?,131982,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,5,Vietnam,0.7668131272806469,3
42,Private,119359,Prof-school,15,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,15024,0,40,South,0.7663411262424134,5
66,Private,178120,5th-6th,3,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,15,United-States,0.7658346823840698,3
18,Private,20057,7th-8th,4,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0.7654244687932281,5
46,State-gov,363875,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0.7653802746673898,2
19,Self-emp-not-inc,30800,10th,6,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0.7651732993330255,4
53,?,251804,5th-6th,3,Widowed,?,Unmarried,Black,Female,0,0,30,United-States,0.7650972307570235,3
40,Private,177027,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,52,Japan,0.7644759976640021,2
59,Private,151977,10th,6,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,30,United-States,0.764422888695904,1
52,Private,90189,7th-8th,4,Divorced,Priv-house-serv,Own-child,Black,Female,0,0,16,United-States,0.763901815593948,3
36,Private,110998,Masters,14,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,India,0.7638130923176965,2
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,0.763518215847281,3
49,Private,176341,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,India,0.7634165471341938,2
68,Local-gov,177596,10th,6,Separated,Other-service,Not-in-family,Black,Female,0,0,90,United-States,0.7631841329867137,3
19,Private,294029,11th,7,Never-married,Sales,Own-child,Other,Female,0,0,32,Nicaragua,0.7622555669568013,3
45,Self-emp-inc,108100,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,99999,0,25,?,0.7612251818195411,5
36,Self-emp-not-inc,609935,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,48,?,0.7600413752685039,2
30,Local-gov,99502,Assoc-voc,11,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,0.7586926526724539,2
46,Federal-gov,119890,Assoc-voc,11,Separated,Tech-support,Not-in-family,Other,Female,0,0,30,United-States,0.7585410705362978,2
53,Private,83434,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,21,Japan,0.7584871483197992,2
58,?,97969,1st-4th,2,Married-spouse-absent,?,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,0.7582851706862659,4
62,Local-gov,407669,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,35,United-States,0.7580513976651274,2
24,Private,281356,1st-4th,2,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,66,Mexico,0.7578247301544819,4
27,Local-gov,282664,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,45,?,0.7572451722446646,3
80,Local-gov,20101,HS-grad,9,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,32,United-States,0.7566403930671664,4
50,Private,71898,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,35,Philippines,0.7563216946242023,5
37,Self-emp-not-inc,352882,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,70,South,0.7562548270652006,3
27,?,190650,Bachelors,13,Never-married,?,Unmarried,Asian-Pac-Islander,Male,0,0,25,Philippines,0.7560211690005916,2
43,Self-emp-inc,140988,Bachelors,13,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,45,India,0.7554040045984685,2
47,Self-emp-not-inc,162924,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,60,Japan,0.755104216598266,2
17,?,181337,10th,6,Never-married,?,Own-child,Other,Female,0,0,20,United-States,0.753712055831022,2
17,Private,168203,7th-8th,4,Never-married,Farming-fishing,Other-relative,Other,Male,0,0,40,Mexico,0.753615757323818,4
43,Private,598606,9th,5,Separated,Handlers-cleaners,Unmarried,Black,Female,0,0,50,United-States,0.7535048986904809,5
19,Private,247298,12th,8,Married-spouse-absent,Other-service,Own-child,Other,Female,0,0,20,United-States,0.7531311039071888,4
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,0.7523872301820113,4
42,Federal-gov,158926,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,0.7516186774862522,2
33,?,182771,Bachelors,13,Never-married,?,Own-child,Asian-Pac-Islander,Male,0,0,80,Philippines,0.7512739975626328,2
28,Private,118861,10th,6,Married-civ-spouse,Craft-repair,Wife,Other,Female,0,0,48,Guatemala,0.7500783936678392,3
53,Private,191565,1st-4th,2,Divorced,Other-service,Unmarried,Black,Female,0,0,40,Dominican-Republic,0.7496998252817876,3
56,Self-emp-not-inc,62539,11th,7,Widowed,Other-service,Unmarried,White,Female,0,0,65,Greece,0.7494962471032854,2
61,Private,98350,Preschool,1,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,China,0.7491110893259533,4
41,State-gov,518030,Bachelors,13,Never-married,Protective-serv,Not-in-family,Black,Male,0,1590,40,Puerto-Rico,0.7490341212662882,4
23,Private,150463,HS-grad,9,Never-married,Priv-house-serv,Unmarried,Other,Female,0,0,40,Guatemala,0.7485765869557528,3
62,Private,416829,11th,7,Separated,Other-service,Not-in-family,Black,Female,0,0,21,United-States,0.7485480116187497,1
35,Federal-gov,35309,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,28,?,0.7482447970566499,2
24,State-gov,123160,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,10,China,0.7481565850640461,5
19,Private,126501,11th,7,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,15,South,0.7477710261403918,2
44,Private,52028,1st-4th,2,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,Vietnam,0.74752821340345,5
48,Private,114561,Bachelors,13,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,36,Philippines,0.7471038377283356,3
43,Self-emp-inc,82488,Bachelors,13,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,0.7470462158196738,2
48,Private,102938,Bachelors,13,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,0.7469383003251463,2
90,?,166343,1st-4th,2,Widowed,?,Not-in-family,Black,Female,0,0,40,United-States,0.7462759908934152,4
57,Private,122497,9th,5,Widowed,Other-service,Unmarried,Black,Male,0,0,52,?,0.7462254666788628,1
48,Self-emp-inc,138370,Masters,14,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,0.7461452114633357,2
66,?,357750,11th,7,Widowed,?,Not-in-family,Black,Female,0,0,40,United-States,0.7457478625454373,1
46,Local-gov,197988,1st-4th,2,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,0.7455918627815489,4
37,Self-emp-not-inc,73199,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,3137,0,77,Vietnam,0.7454273763860235,2
22,Private,459463,12th,8,Married-spouse-absent,Other-service,Unmarried,Black,Female,0,0,50,United-States,0.7453681050731106,2
90,?,225063,Some-college,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,0,0,10,South,0.7447886858700554,4
58,Private,473836,7th-8th,4,Widowed,Farming-fishing,Other-relative,White,Female,0,0,45,Guatemala,0.7443161922373189,3
