Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,graph_node_count,graph_edge_count,graph_density,graph_max_in_degree,graph_max_out_degree,graph_self_loops,score_hbos,anomaly_vote_count
8541,6280a41c-690f-301a-acf7-3f85a2b8b91c,2.788362204724409,0.3070866141732283,127.0,21248,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,70,0.04723346828609987,12,9,6,0.8561380754770479,3
13555,89cc92a2-6518-345f-982f-d1d0cfd74672,9.351244897959184,0.3605442176870748,147.0,82478,private_ip,outlier,outlier,1.0,1.0,53.0,E,53,90,0.03265602322206096,12,10,7,0.8561380754770479,4
15762,bc338893-32db-3896-a8a0-5288e54d9f8f,6.826319727891157,0.3265306122448979,147.0,60209,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,88,0.03900709219858156,13,9,7,0.8561380754770479,4
13235,990cc0a7-e230-3491-91f9-63df277d72e6,1.8653301886792453,0.3867924528301887,106.0,11864,private_ip,outlier,outlier,1.0,1.0,41.0,E,41,70,0.042682926829268296,12,10,5,0.8561380754770479,3
32852,3c1d272a-ab46-3ba9-9c1c-a9cc3071bd29,0.0468966836734693,0.0293367346938775,784.0,2207,private_ip,outlier,outlier,33.0,1.0,23.0,F,23,128,0.25296442687747034,11,12,1,0.8518980654548828,4
6499,66df3cbb-bc3a-3fec-973b-1f20a9a7f36e,1.2088532608695652,0.3206521739130434,184.0,13346,private_ip,outlier,outlier,1.0,1.0,59.0,E,59,100,0.029222676797194622,13,12,3,0.8503909717628099,4
16091,41a7c079-a042-3dac-a56b-4359565aed51,1.7195125628140704,0.1959798994974874,199.0,20531,private_ip,outlier,outlier,1.0,1.0,39.0,E,38,87,0.061877667140825036,12,11,7,0.847497160676476,3
2433,0498b5e0-2a82-3631-8259-dfb1795d45d1,4.944101123595505,0.2415730337078651,178.0,52803,private_ip,outlier,outlier,1.0,1.0,43.0,E,43,93,0.05149501661129568,11,11,7,0.8474760005019623,4
595,d5e2b495-6814-3aa0-b2f9-5174f99163ac,2.856984375,0.2291666666666666,192.0,32913,private_ip,outlier,outlier,1.0,1.0,44.0,E,43,90,0.04983388704318937,11,11,6,0.8474760005019623,3
610,fafc82ac-403c-3899-a64e-97d45c95acec,3.5861329787234046,0.2553191489361702,188.0,40452,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,83,0.03679078014184397,11,8,5,0.8474760005019623,3
15734,754a6876-5b61-31e6-af85-32e8a7e24af2,4.57145652173913,0.233695652173913,184.0,50469,private_ip,outlier,outlier,1.0,1.0,43.0,E,43,87,0.04817275747508306,13,9,8,0.8474760005019623,4
14451,84157623-46d4-32af-aa5f-d7d3d5e99f2c,2.9714410256410257,0.2666666666666666,195.0,34766,private_ip,outlier,outlier,1.0,1.0,52.0,E,52,98,0.03695324283559578,11,8,7,0.8474760005019623,4
15698,f9112062-2d8d-3330-b0ce-baefb6941650,3.2194207650273223,0.2349726775956284,183.0,35350,private_ip,outlier,outlier,1.0,1.0,43.0,E,43,90,0.04983388704318937,13,9,5,0.8474760005019623,3
13432,fe567250-43af-3910-84c6-3c80a1f8503c,2.232663043478261,0.2065217391304347,184.0,24649,private_ip,outlier,outlier,1.0,1.0,38.0,E,38,75,0.05334281650071124,11,8,5,0.8474760005019623,3
4315,da825601-c982-3430-bee0-8a5cd77f4aca,3.2048854166666665,0.25,192.0,36921,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,91,0.040336879432624116,13,11,5,0.8474760005019623,4
5082,96ed1d7b-d039-3512-b1b3-267c115d0c2b,2.959255,0.265,200.0,35512,private_ip,outlier,outlier,1.0,1.0,53.0,E,53,109,0.03955007256894049,13,10,7,0.8474760005019623,4
6198,ed8a9a29-2c1c-3263-b824-fad78e33c52c,0.6853787878787879,0.2373737373737373,198.0,8143,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,99,0.04579093432007401,12,8,7,0.8474760005019623,3
1404,01602914-01c7-383f-b263-0793e7d17dc9,1.6968,0.245,200.0,20362,private_ip,outlier,outlier,1.0,1.0,49.0,E,49,93,0.039540816326530615,11,10,8,0.8474760005019623,4
3088,53784915-d09c-32f3-9412-b8b749784ad5,3.687025641025641,0.2628205128205128,156.0,34511,private_ip,outlier,outlier,1.0,1.0,41.0,E,41,77,0.04695121951219512,12,8,7,0.8474760005019623,3
3494,0f99ca8a-408a-3c99-8a15-11a3babff3c5,1.8033333333333328,0.2901234567901234,162.0,17529,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,86,0.039777983348751156,12,9,6,0.8474760005019623,3
23811,25dabbfc-bd81-3768-ab5c-72b356654118,0.3099343434343434,0.0488215488215488,594.0,11047,private_ip,outlier,outlier,16.0,1.0,29.0,F,29,144,0.17733990147783252,9,12,1,0.8364139092772848,4
16373,7d56e99d-5bcf-310f-8aa8-4dda908e9e4a,24.30963402061856,0.2319587628865979,194.0,282965,private_ip,outlier,outlier,1.0,1.0,45.0,E,45,80,0.04040404040404041,6,5,11,0.8361204418622542,4
16434,5dd7e752-f504-3e04-93c1-405eba63b1fb,12.26120942408377,0.2827225130890052,191.0,140514,private_ip,outlier,outlier,1.0,1.0,54.0,E,54,108,0.03773584905660377,14,10,4,0.8289538752655362,4
21685,4fe2ca9b-2f83-33cd-aa2b-8f3e02b0c459,0.0035785024154589,0.0301932367149758,828.0,178,private_ip,outlier,outlier,39.0,1.0,25.0,F,25,115,0.19166666666666668,11,11,2,0.827647969407174,4
16639,98cf7f2c-fc47-3a22-92d4-dc9679d461ca,10.30415652173913,0.4782608695652174,115.0,71099,private_ip,outlier,outlier,1.0,1.0,55.0,E,55,91,0.03063973063973064,11,9,4,0.8273950514446465,4
6561,1a71f3be-0427-32a4-b0ba-d4e07e59444d,1.8598279569892475,0.3548387096774194,186.0,20756,private_ip,outlier,outlier,1.0,1.0,66.0,E,66,109,0.025407925407925407,11,9,4,0.8261408757151011,4
10419,82e1b7e3-0866-3c77-885b-d554d5a3c172,5.488988764044945,0.3258426966292135,178.0,58623,private_ip,outlier,outlier,1.0,1.0,58.0,E,58,102,0.030852994555353903,13,10,3,0.8261408757151011,4
28013,a619ecbf-735d-30f4-987d-348e7d6658b7,0.4505620253164556,0.0582278481012658,395.0,10679,private_ip,outlier,outlier,19.0,1.0,23.0,F,23,114,0.22529644268774704,10,9,1,0.825446409148045,3
24446,c0ebdf5e-2f1b-3836-99a8-3c508bb1385a,0.2023977528089887,0.049438202247191,445.0,5405,private_ip,outlier,outlier,19.0,1.0,22.0,F,22,124,0.2683982683982684,11,9,4,0.825446409148045,4
15461,5c43b27b-e1db-36d8-a2ab-d5898a23de99,12.00873,0.47,100.0,72053,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,80,0.03700277520814061,9,8,7,0.8252802940630458,3
13297,5f635c84-f7bf-37e7-9025-d1c2ae79f077,14.328446601941748,0.3883495145631068,103.0,88550,private_ip,outlier,outlier,1.0,1.0,40.0,E,40,67,0.04294871794871795,9,8,5,0.8240261183335004,3
4753,eaf5ae1f-d1bf-3da5-8825-d3e97615a9d5,3.608496,0.368,125.0,27064,private_ip,outlier,outlier,1.0,1.0,46.0,E,46,85,0.04106280193236715,8,8,6,0.8240261183335004,3
9883,96100674-0dcc-350c-94a0-9657ea91c32c,3.0327165775401066,0.2459893048128342,187.0,34028,private_ip,outlier,outlier,1.0,1.0,46.0,E,46,90,0.043478260869565216,15,7,5,0.8225094423848144,3
6597,949eea97-0316-36c1-aca8-f61fb36b4055,1.793553846153846,0.4076923076923077,130.0,13990,private_ip,outlier,outlier,1.0,1.0,53.0,E,53,91,0.0330188679245283,13,7,7,0.8209506185639249,3
8222,fe71a324-56d3-3dac-a12b-552e62ead1f7,2.1844204545454544,0.4431818181818182,88.0,11534,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,68,0.04588394062078273,11,7,7,0.8209506185639249,3
5321,1ea00bd0-252a-3ee1-91dc-cc796f6e1678,1.4286916666666667,0.3333333333333333,120.0,10287,private_ip,outlier,outlier,1.0,1.0,40.0,E,40,76,0.04871794871794872,10,6,5,0.8196964428343795,3
13300,6636d26a-fc3f-3431-a5c1-555eb1e5d626,1.2351532258064517,0.3870967741935484,124.0,9190,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,77,0.034131205673758866,10,7,5,0.8196964428343795,3
4978,8e42a83b-ef0a-3226-aba1-c9f8408de75e,10.15996,0.29,200.0,121920,private_ip,outlier,outlier,1.0,1.0,58.0,E,58,109,0.03297035692679976,10,9,4,0.8174788007400154,4
13722,bff9f4fd-6f1f-349c-a7db-c43443adf4d2,2.762140703517588,0.1809045226130653,199.0,32980,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,72,0.05714285714285714,8,8,5,0.815385203532928,3
1758,5a5c1c22-7ca0-31cb-bea2-93faaa808ae6,1.0220717948717948,0.1846153846153846,195.0,11959,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,83,0.06587301587301587,9,9,8,0.815385203532928,3
17530,211f9456-858f-3ce0-8471-92c06a614ab0,1.3875650000000002,0.18,200.0,16651,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,79,0.0626984126984127,7,9,6,0.815385203532928,3
946,e372f3ca-37ad-35e3-ab1f-f71f73d40523,1.8309657142857143,0.2742857142857143,175.0,19226,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,98,0.04343971631205674,9,11,5,0.8153640433584147,3
1845,4c85d4a8-8ef1-3bbb-be88-0506ef8bbfb0,1.887374358974359,0.241025641025641,195.0,22083,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,91,0.04209065679925995,9,10,8,0.8153640433584147,3
4361,960c3c1d-56b5-30b0-8a4b-e420f631ae73,3.626280423280423,0.2592592592592592,189.0,41123,private_ip,outlier,outlier,1.0,1.0,49.0,E,49,87,0.036989795918367346,9,9,6,0.8153640433584147,3
4578,d6c42158-201c-33a2-b966-f3a4c9c31555,0.9089777777777778,0.2888888888888888,135.0,7363,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,73,0.049257759784075573,7,9,6,0.8153640433584147,3
7757,a3fee840-f5ff-3baf-b148-ebea80c02d4d,3.093106741573034,0.2078651685393258,178.0,33035,private_ip,outlier,outlier,1.0,1.0,37.0,E,37,67,0.0503003003003003,8,10,5,0.8153640433584147,3
12088,ec53350f-45bb-35c5-9377-e2c45908b877,7.74756,0.21,200.0,92971,private_ip,outlier,outlier,1.0,1.0,42.0,E,42,85,0.04936120789779326,7,8,5,0.8153640433584147,3
13414,d620f7de-a4d7-3e4d-8af6-99dff60ac617,1.084,0.205,200.0,13008,private_ip,outlier,outlier,1.0,1.0,41.0,E,41,78,0.0475609756097561,9,9,6,0.8153640433584147,3
14863,a2c75850-fbc0-3c9d-96e5-f65224c555ae,4.106038043478261,0.25,184.0,45331,private_ip,outlier,outlier,1.0,1.0,46.0,E,46,92,0.044444444444444446,9,8,8,0.8153640433584147,3
22028,cceaf493-8c70-3a1a-b74a-8b0ea751e319,0.1238858156028368,0.0411347517730496,705.0,5241,private_ip,outlier,outlier,28.0,1.0,29.0,F,29,150,0.18472906403940886,9,11,3,0.8121638132295762,4
10744,3d59642c-43a7-3f04-a39c-827c57a4dde1,0.5940828025477707,0.2292993630573248,157.0,5597,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,73,0.05793650793650794,12,7,6,0.8110343678592938,3
11865,509b67e3-7213-30e5-abfa-90fc76f9e144,6.154050632911392,0.2974683544303797,158.0,58341,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,86,0.039777983348751156,11,7,7,0.8110343678592938,3
16604,45b2376a-2eb5-3f03-b777-c62e7219043b,1.1031910828025475,0.2484076433121019,157.0,10393,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,79,0.053306342780026994,12,7,5,0.8110343678592938,3
26225,c4d20459-4a81-3301-8131-7c56c62e238e,0.1773475728155339,0.0446601941747572,515.0,5481,private_ip,outlier,outlier,21.0,1.0,23.0,F,23,130,0.25691699604743085,9,10,3,0.8099622529704474,4
12637,b82d3ee1-1cd5-37a8-ba37-75b6ffb0a170,3.338877192982456,0.3040935672514619,171.0,34257,private_ip,outlier,outlier,1.0,1.0,52.0,E,52,103,0.038838612368024134,14,10,4,0.797500654359376,4
15920,597ec2e3-a5c1-301a-ab6b-540aa6b359b1,9.040198581560285,0.3120567375886525,141.0,76481,private_ip,outlier,outlier,1.0,1.0,44.0,E,43,84,0.046511627906976744,14,11,3,0.797500654359376,3
27450,05dc072b-b1cf-3c6a-9d15-5c70956fbdb2,0.0545025817555938,0.0413080895008605,581.0,1900,private_ip,outlier,outlier,25.0,1.0,24.0,F,24,116,0.21014492753623187,8,10,1,0.7955360122636262,4
31113,3f8de0e5-2891-3c40-823d-1382c07f7f76,0.2289938650306748,0.0674846625766871,326.0,4480,private_ip,outlier,outlier,15.0,1.0,22.0,F,22,111,0.24025974025974026,9,9,1,0.7933344520044975,3
19605,713cbdbf-e3d7-3422-9b06-d1f03d06a7fa,0.3220876963350785,0.0654450261780104,382.0,7383,private_ip,outlier,outlier,16.0,1.0,25.0,F,25,106,0.17666666666666667,8,11,1,0.7933344520044975,3
20468,decfe046-b80c-315e-a13f-d9ede4b841cc,0.5372367601246105,0.0623052959501557,321.0,10348,private_ip,outlier,outlier,15.0,1.0,20.0,F,20,96,0.25263157894736843,9,8,1,0.7933344520044975,3
20900,0d6845a8-c2e9-3372-b8d6-d37461ab3652,0.3420079365079365,0.0767195767195767,378.0,7757,private_ip,outlier,outlier,16.0,1.0,29.0,F,29,124,0.15270935960591134,9,11,3,0.7933344520044975,4
20649,059ba3c3-2a1e-307d-b5b8-ca834dd27c12,0.4434757281553398,0.0744336569579288,309.0,8223,private_ip,outlier,outlier,12.0,1.0,23.0,F,23,108,0.2134387351778656,8,9,1,0.7933344520044975,3
27226,52ea44c0-ee0f-3e9d-8551-e61b101eca09,0.6908980263157894,0.0921052631578947,304.0,12602,private_ip,outlier,outlier,11.0,1.0,28.0,F,28,119,0.1574074074074074,9,11,1,0.7933344520044975,3
27759,b449448b-b121-3dce-9a3c-3f96ad9d32f2,0.1970921610169491,0.0466101694915254,472.0,5582,private_ip,outlier,outlier,20.0,1.0,22.0,F,22,116,0.2510822510822511,9,11,1,0.7933344520044975,3
34146,71307d0c-8c5e-3d4f-9f03-f2edef27b6f2,0.1983466076696165,0.0648967551622418,339.0,4035,private_ip,outlier,outlier,14.0,1.0,22.0,F,22,112,0.24242424242424243,9,8,1,0.7933344520044975,3
17566,939246ec-82ca-3108-a92c-a2ad38a9d158,1.890139896373057,0.2901554404145077,193.0,21888,private_ip,outlier,outlier,1.0,1.0,56.0,E,56,101,0.03279220779220779,14,7,4,0.7925122426228678,4
12082,d915efe8-23a6-3adc-9116-a879ab4a8d5d,6.614061855670103,0.211340206185567,194.0,76988,private_ip,outlier,outlier,1.0,1.0,41.0,E,40,90,0.057692307692307696,14,10,3,0.7888385793842904,3
13416,d9ba9373-0617-3d96-82c4-855c4af013a2,1.3088121827411163,0.2284263959390862,197.0,15471,private_ip,outlier,outlier,1.0,1.0,45.0,E,45,88,0.044444444444444446,14,10,4,0.7888385793842904,3
15620,3d082390-41f1-3eda-bcfc-56c51e0fa93d,2.3466296296296294,0.3425925925925926,108.0,15207,private_ip,outlier,outlier,1.0,1.0,37.0,E,37,74,0.05555555555555555,8,7,6,0.7875844856908317,3
2006,12198e57-c394-33dc-a4c6-2c42016b35d0,0.9264174757281552,0.3980582524271844,103.0,5726,private_ip,outlier,outlier,1.0,1.0,41.0,E,41,65,0.039634146341463415,11,8,4,0.7860255798338552,3
16760,36e8e668-5033-37fb-88d5-75312c342997,4.712011235955056,0.5280898876404494,89.0,25163,private_ip,outlier,outlier,1.0,1.0,47.0,E,47,71,0.03283996299722479,9,10,3,0.7841095812626727,3
3147,eb42bfa8-5f42-3239-b229-b787add7c301,2.937946808510638,0.1861702127659574,188.0,33141,private_ip,outlier,outlier,1.0,1.0,35.0,E,35,92,0.0773109243697479,10,11,5,0.783277875427964,3
883,49b2aad7-6c4f-3173-8102-5195fcf60772,17.728387978142077,0.180327868852459,183.0,194658,private_ip,outlier,outlier,1.0,1.0,33.0,E,33,79,0.07481060606060606,10,8,6,0.783277875427964,3
10545,0edbab9c-cc03-3637-8fe6-1619654a3dc5,1.8529747899159663,0.2773109243697479,119.0,13231,private_ip,outlier,outlier,1.0,1.0,33.0,E,33,70,0.06628787878787878,12,9,5,0.7832567152534505,3
1034,e8078de3-909b-39f8-b2a8-9ec9627ee4e7,28.20842,0.2,200.0,338502,private_ip,outlier,outlier,1.0,1.0,40.0,E,40,82,0.052564102564102565,12,7,4,0.7795066911334402,4
10365,fe3ae553-d3c3-3599-aef4-009a8654fcef,3.974795918367347,0.3877551020408163,98.0,23372,private_ip,outlier,outlier,1.0,1.0,38.0,E,38,62,0.044096728307254626,11,8,6,0.7794244175704396,3
12963,7b2895f5-ad9c-3d11-bfbd-37c39cfcbc45,9.12258549222798,0.2020725388601036,193.0,105640,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,72,0.048582995951417005,9,7,7,0.7789224107157461,3
5737,dc06783e-743f-30fa-8dca-3cff63bab1ab,12.291708542713568,0.2110552763819095,199.0,146763,private_ip,outlier,outlier,1.0,1.0,42.0,E,42,76,0.04413472706155633,6,5,7,0.7789224107157461,3
4910,d459fb3b-5830-3d6d-81b6-cdc5a40d0200,4.785951724137931,0.2689655172413793,145.0,41638,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,66,0.044534412955465584,9,7,5,0.7789224107157461,3
14746,88ef5ae3-8c69-30ec-9911-ddadfd510c2b,9.851095744680851,0.2074468085106383,188.0,111121,private_ip,outlier,outlier,1.0,1.0,39.0,E,39,74,0.04993252361673414,9,7,5,0.7789224107157461,3
16121,a391c6d7-b10f-31d3-8053-5add4a994ec6,11.39671710526316,0.2631578947368421,152.0,103939,private_ip,outlier,outlier,1.0,1.0,40.0,E,40,68,0.04358974358974359,6,6,7,0.7789224107157461,3
914,9210089d-2795-354d-bc82-b2f63d696fba,6.876225641025641,0.2102564102564102,195.0,80452,private_ip,outlier,outlier,1.0,1.0,41.0,E,41,89,0.05426829268292683,8,6,8,0.7789224107157461,3
8473,c6a1b30b-eb58-3358-a63f-7205000e98e5,16.87733163265306,0.2346938775510204,196.0,198478,private_ip,outlier,outlier,1.0,1.0,46.0,E,46,98,0.04734299516908213,6,5,8,0.7789224107157461,4
10587,866736cd-6815-39c2-8370-ddc9f967da2e,1.6947249999999998,0.21,200.0,20337,private_ip,outlier,outlier,1.0,1.0,42.0,E,42,84,0.04878048780487805,8,7,7,0.7789224107157461,3
9691,43a4ac9f-b8d7-3cb0-9c70-bc54598bc5c2,2.329357575757576,0.2545454545454545,165.0,23061,private_ip,outlier,outlier,1.0,1.0,42.0,E,42,92,0.053426248548199766,9,7,6,0.7789224107157461,3
11387,01a07012-137a-3073-923e-af98c5f7ebad,17.17050561797753,0.2359550561797752,178.0,183381,private_ip,outlier,outlier,1.0,1.0,42.0,E,42,72,0.041811846689895474,7,7,6,0.7789224107157461,3
1583,2c057ec7-4400-3239-aaf1-2fd34a8ec239,10.31018,0.18,200.0,123723,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,70,0.05555555555555555,12,9,1,0.7773846650332829,3
1776,904b458a-772f-3510-a95e-0c96e1492bde,2.5185765306122447,0.2448979591836734,196.0,29619,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,99,0.043882978723404256,13,11,4,0.7773635048587694,4
2173,2f9d582b-dea1-34f0-a4fd-f991dc31e017,7.458857142857143,0.2592592592592592,189.0,84584,private_ip,outlier,outlier,1.0,1.0,49.0,E,49,95,0.04039115646258504,12,10,4,0.7773635048587694,4
9520,8863c2e7-463b-37b4-8abc-17235ad67d77,1.4527902097902097,0.2517482517482518,143.0,12465,private_ip,outlier,outlier,1.0,1.0,36.0,E,36,71,0.05634920634920635,10,8,3,0.7773635048587694,3
12820,b801259c-5353-3146-8aa2-3e6ee00d1938,3.452419689119171,0.2487046632124352,193.0,39980,private_ip,outlier,outlier,1.0,1.0,48.0,E,48,116,0.051418439716312055,10,10,3,0.7773635048587694,3
